OA, NHH, Npers, detached, semi, terraced, flat, zero_to_nine, Age_10_to_19, Age_20_to_29, Age_30_to_39, Age_40_to_49, Age_50_to_59, Age_60_to_69, Age_70_to_79, Age_80plus, car_none, car_one, car_two_plus, Economically_Active, Economically_Inactive, White, Asian, Black, Other, Good, Fair, Not_good, house_size_1, house_size_2, house_size_3, house_size_4, house_size_5, house_size_6, house_size_7, house_size_8_plus, house_represent_1, house_represent_0, with_LLTI, without_LLTI, SWD, Married, Prof_manag, Intermediate, Non_manual, unemployed, student, no_qualifications, Level_1_2, Level_3_plus, room_1_4, room_5_6, room_7_plus, Males, Females, Owned, Council, Private_rented
46UD,64914, 127766, 0.5,0.5,0.5,0.5,14432.5770456,13769.4523536,13727.4506224,13147.1125765,13783.533316,12513.5943774,11807.4476989,15009.598339,19575.1435406,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,63183.7618473,64582.1480227,0.5,0.5,0.5,
46UF,70018, 143054, 0.5,0.5,0.5,0.5,16195.4977345,16070.1836493,16005.2987885,15066.1261999,15419.4198604,13402.0951879,12896.4143943,16921.8939713,21077.2730905,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,70399.6466017,72654.5562748,0.5,0.5,0.5,
46UC,75745, 153751, 0.5,0.5,0.5,0.5,17783.5732211,17221.8245491,16685.7449681,16236.9940245,17087.4165128,13826.332301,13505.2735873,19138.8910504,22264.6433851,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,77924.9159193,75825.77768,0.5,0.5,0.5,
46UB,42145, 88140, 0.5,0.5,0.5,0.5,9925.09795449,9207.22364859,9149.84035834,9385.10983355,10192.8995011,9249.29834698,7295.61040057,10167.4571433,13567.1518615,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,44567.6888476,43572.0002008,0.5,0.5,0.5,
35UG,41452, 71837, 0.5,0.5,0.5,0.5,7960.27322295,8024.8174313,8346.63196446,7777.4583916,6742.17153443,7118.18961972,6496.41223548,8134.11091515,11237.3864292,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,37216.5295157,34620.9222286,0.5,0.5,0.5,
23UB,70191, 134385, 0.5,0.5,0.5,0.5,15158.0897511,16061.5071448,15715.662545,13273.0843434,12663.3626199,16728.9130674,14351.0038373,13942.5737104,16490.9652796,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,66680.4314893,67704.7308096,0.5,0.5,0.5,
23UC,45253, 82251, 0.5,0.5,0.5,0.5,7194.22547591,8051.53429871,8007.75996209,8192.59827607,9691.87903815,8212.07595917,6994.64243488,10801.2816946,15105.2623069,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,42194.4471253,40056.8123211,0.5,0.5,0.5,
23UF,60998, 117016, 0.5,0.5,0.5,0.5,12000.5460812,12070.2724641,11890.338311,11960.3492576,13558.4020912,10844.4439001,9721.57423888,14818.6326076,20151.8964323,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,58860.7268072,58155.7285769,0.5,0.5,0.5,
23UG,43798, 85465, 0.5,0.5,0.5,0.5,9056.49449644,9186.51085531,9152.9517106,8823.90959599,8941.44239907,8066.56118468,8015.15812919,10451.0304847,13771.1937885,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,41910.260599,43554.9920454,0.5,0.5,0.5,
23UD,48006, 87915, 0.5,0.5,0.5,0.5,8847.64737079,9193.65732866,9159.76011303,8633.38269213,9741.7143138,9774.74479379,7075.84576158,10515.2480867,14973.1565345,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,43261.0002402,44654.1567547,0.5,0.5,0.5,
