Age,Yr0,Yr1,Yr2,Yr3,Yr4,Yr5,Yr6,Yr7,Yr8,Yr9,Yr10,Yr11,Yr12,Yr13,Yr14,Yr15,Yr16,Yr17,Yr18,Yr19,Yr20,Yr21,Yr22,Yr23,Yr24,Yr25,Yr26,Yr27,Yr28,Yr29,Yr30,Yr31,Yr32,Yr33,Yr34,Yr35,Yr36,Yr37,Yr38,Yr39,Yr40,Yr41,Yr42,Yr43,Yr44,Yr45,Yr46,Yr47,Yr48,Yr49,Yr50,Yr51,Yr52,Yr53,Yr54,Yr55,Yr56,Yr57,Yr58,Yr59,Yr60,Yr61,Yr62,Yr63,Yr64,Yr65,Yr66,Yr67,Yr68,Yr69,Yr70,Yr71,Yr72,Yr73,Yr74,Yr75,Yr76,Yr77,Yr78,Yr79,Yr80,Yr81,Yr82,Yr83,Yr84,Yr85,Yr86,Yr87,Yr88,Yr89,Yr90,
0,-1.0489785269,-1.04414685159,-0.965522222658,-1.00125048912,-1.0360791522,-1.09163845515,-1.12636401081,-1.16190562428,-1.08273694642,-1.13805770105,-1.07868656782,-1.13318603075,-1.113810602,-1.0943697148,-1.07483050767,-1.07522906177,-0.960954260639,-0.96199262461,-0.982265211283,-0.982508974232,-1.00277789026,-1.00300103036,-1.00380028445,-1.00397185786,-1.00884632762,-1.00566048517,-1.00247464272,-0.999288800267,-0.996102957815,-0.992917115362,-0.98973127291,-0.986545430458,-0.983359588005,-0.980173745553,-0.9769879031,-0.973802060648,-0.970616218196,-0.967430375743,-0.964244533291,-0.961058690839,-0.957872848386,-0.954687005934,-0.951501163482,-0.948315321029,-0.945129478577,-0.941943636125,-0.938757793672,-0.93557195122,-0.932386108768,-0.929200266315,-0.926014423863,-0.922828581411,-0.919642738958,-0.916456896506,-0.913271054053,-0.910085211601,-0.906899369149,-0.903713526696,-0.900527684244,-0.897341841792,-0.894155999339,-0.890970156887,-0.887784314435,-0.884598471982,-0.88141262953,-0.878226787078,-0.875040944625,-0.871855102173,-0.868669259721,-0.865483417268,-0.862297574816,-0.859111732364,-0.855925889911,-0.852740047459,-0.849554205006,-0.846368362554,-0.843182520102,-0.839996677649,-0.836810835197,-0.833624992745,-0.830439150292,-0.82725330784,-0.824067465388,-0.820881622935,-0.817695780483,-0.814509938031,-0.811324095578,-0.808138253126,-0.804952410674,-0.801766568221,-0.798580725769,
1,0.121000623619,-0.924619092451,-0.960056082027,-0.882280028455,-0.917815090112,-0.972494022554,-1.00765963033,-1.04222495701,-1.07758052387,-1.01924718185,-1.07418721011,-1.01542608225,-1.10956311501,-1.09041088092,-1.07119029521,-1.07186981616,-1.07228389637,-0.959061495494,-0.980101915881,-0.98019899025,-1.0004433334,-1.00053722024,-1.00079608565,-1.00158572936,-1.13321627132,-1.14683813286,-1.16045999439,-1.17408185593,-1.18770371746,-1.201325579,-1.21494744053,-1.22856930207,-1.2421911636,-1.25581302514,-1.26943488667,-1.28305674821,-1.29667860974,-1.31030047128,-1.32392233281,-1.33754419435,-1.35116605588,-1.36478791742,-1.37840977895,-1.39203164049,-1.40565350202,-1.41927536356,-1.43289722509,-1.44651908663,-1.46014094816,-1.4737628097,-1.48738467123,-1.50100653277,-1.5146283943,-1.52825025584,-1.54187211737,-1.5554939789,-1.56911584044,-1.58273770197,-1.59635956351,-1.60998142504,-1.62360328658,-1.63722514811,-1.65084700965,-1.66446887118,-1.67809073272,-1.69171259425,-1.70533445579,-1.71895631732,-1.73257817886,-1.74620004039,-1.75982190193,-1.77344376346,-1.787065625,-1.80068748653,-1.81430934807,-1.8279312096,-1.84155307114,-1.85517493267,-1.86879679421,-1.88241865574,-1.89604051728,-1.90966237881,-1.92328424035,-1.93690610188,-1.95052796342,-1.96414982495,-1.97777168648,-1.99139354802,-2.00501540955,-2.01863727109,-2.03225913262,
2,0.12065496717,0.240418296403,-0.84508057645,-0.880151797812,-0.802388390721,-0.857931621769,-0.892422920683,-0.927811695039,-0.962384735578,-1.01776061574,-0.95924296554,-1.0141775084,-0.995429838661,-1.08917953491,-1.07003497063,-1.07083288093,-1.07131710147,-1.07176665397,-0.978566439631,-0.979431914548,-0.999729677092,-0.999787223545,-1.0000973472,-1.00036731913,-1.23719214289,-1.2657514461,-1.29431074931,-1.32287005253,-1.35142935574,-1.37998865895,-1.40854796216,-1.43710726537,-1.46566656858,-1.4942258718,-1.52278517501,-1.55134447822,-1.57990378143,-1.60846308464,-1.63702238785,-1.66558169107,-1.69414099428,-1.72270029749,-1.7512596007,-1.77981890391,-1.80837820712,-1.83693751034,-1.86549681355,-1.89405611676,-1.92261541997,-1.95117472318,-1.97973402639,-2.00829332961,-2.03685263282,-2.06541193603,-2.09397123924,-2.12253054245,-2.15108984566,-2.17964914888,-2.20820845209,-2.2367677553,-2.26532705851,-2.29388636172,-2.32244566493,-2.35100496815,-2.37956427136,-2.40812357457,-2.43668287778,-2.46524218099,-2.4938014842,-2.52236078742,-2.55092009063,-2.57947939384,-2.60803869705,-2.63659800026,-2.66515730347,-2.69371660669,-2.7222759099,-2.75083521311,-2.77939451632,-2.80795381953,-2.83651312274,-2.86507242596,-2.89363172917,-2.92219103238,-2.95075033559,-2.9793096388,-3.00786894201,-3.03642824523,-3.06498754844,-3.09354685165,-3.12210615486,
3,0.120561526689,0.23998381654,0.319712921352,-0.76527409813,-0.8003418066,-0.742609772192,-0.777952269858,-0.812650488116,-0.848044294487,-0.902635514583,-0.957815673259,-0.899291888355,-0.994255973571,-0.975130979994,-1.06887905181,-1.06975286753,-1.07035518502,-1.07085975791,-1.09132256384,-0.97793116148,-0.999009096569,-0.999107897735,-0.99938037687,-0.999701600526,-1.31982598131,-1.3616052463,-1.4033845113,-1.44516377629,-1.48694304128,-1.52872230627,-1.57050157126,-1.61228083626,-1.65406010125,-1.69583936624,-1.73761863123,-1.77939789623,-1.82117716122,-1.86295642621,-1.9047356912,-1.94651495619,-1.98829422119,-2.03007348618,-2.07185275117,-2.11363201616,-2.15541128115,-2.19719054615,-2.23896981114,-2.28074907613,-2.32252834112,-2.36430760612,-2.40608687111,-2.4478661361,-2.48964540109,-2.53142466608,-2.57320393108,-2.61498319607,-2.65676246106,-2.69854172605,-2.74032099104,-2.78210025604,-2.82387952103,-2.86565878602,-2.90743805101,-2.949217316,-2.990996581,-3.03277584599,-3.07455511098,-3.11633437597,-3.15811364097,-3.19989290596,-3.24167217095,-3.28345143594,-3.32523070093,-3.36700996593,-3.40878923092,-3.45056849591,-3.4923477609,-3.53412702589,-3.57590629089,-3.61768555588,-3.65946482087,-3.70124408586,-3.74302335086,-3.78480261585,-3.82658188084,-3.86836114583,-3.91014041082,-3.95191967582,-3.99369894081,-4.0354782058,-4.07725747079,
4,0.120472041223,0.239809251064,0.319210010392,0.399326534065,-0.685574532662,-0.740657477729,-0.662722187176,-0.698269346803,-0.732984195563,-0.788380644012,-0.842774516182,-0.89794117742,-0.87942925035,-0.973993961074,-0.954889047293,-1.06863475745,-1.06931309443,-1.06993446298,-1.09045255529,-1.09071636595,-0.997532982354,-0.998423531706,-0.99873606698,-0.999008077723,-1.38104056781,-1.43431864526,-1.4875967227,-1.54087480015,-1.59415287759,-1.64743095503,-1.70070903248,-1.75398710992,-1.80726518737,-1.86054326481,-1.91382134225,-1.9670994197,-2.02037749714,-2.07365557459,-2.12693365203,-2.18021172947,-2.23348980692,-2.28676788436,-2.34004596181,-2.39332403925,-2.44660211669,-2.49988019414,-2.55315827158,-2.60643634902,-2.65971442647,-2.71299250391,-2.76627058136,-2.8195486588,-2.87282673624,-2.92610481369,-2.97938289113,-3.03266096858,-3.08593904602,-3.13921712346,-3.19249520091,-3.24577327835,-3.2990513558,-3.35232943324,-3.40560751068,-3.45888558813,-3.51216366557,-3.56544174302,-3.61871982046,-3.6719978979,-3.72527597535,-3.77855405279,-3.83183213023,-3.88511020768,-3.93838828512,-3.99166636257,-4.04494444001,-4.09822251745,-4.1515005949,-4.20477867234,-4.25805674979,-4.31133482723,-4.36461290467,-4.41789098212,-4.47116905956,-4.52444713701,-4.57772521445,-4.63100329189,-4.68428136934,-4.73755944678,-4.79083752423,-4.84411560167,-4.89739367911,
5,-0.659571667078,-0.560318991664,-0.420997331862,-0.261222990936,-0.101112218954,-1.16592902607,-1.18081043848,-1.08308751477,-1.13863666697,-1.19335299953,-1.24856356981,-1.28294436606,-1.33811429439,-1.25921141426,-1.31377593205,-1.2546765864,-1.32821991526,-1.3089410245,-1.28956388621,-1.26988307593,-1.2703477773,-1.15698362011,-1.17808640675,-1.17839845901,-1.49653276681,-1.53144622091,-1.56635967501,-1.6012731291,-1.6361865832,-1.6711000373,-1.7060134914,-1.74092694549,-1.77584039959,-1.81075385369,-1.84566730778,-1.88058076188,-1.91549421598,-1.95040767008,-1.98532112417,-2.02023457827,-2.05514803237,-2.09006148646,-2.12497494056,-2.15988839466,-2.19480184876,-2.22971530285,-2.26462875695,-2.29954221105,-2.33445566514,-2.36936911924,-2.40428257334,-2.43919602744,-2.47410948153,-2.50902293563,-2.54393638973,-2.57884984382,-2.61376329792,-2.64867675202,-2.68359020612,-2.71850366021,-2.75341711431,-2.78833056841,-2.8232440225,-2.8581574766,-2.8930709307,-2.9279843848,-2.96289783889,-2.99781129299,-3.03272474709,-3.06763820118,-3.10255165528,-3.13746510938,-3.17237856348,-3.20729201757,-3.24220547167,-3.27711892577,-3.31203237986,-3.34694583396,-3.38185928806,-3.41677274216,-3.45168619625,-3.48659965035,-3.52151310445,-3.55642655854,-3.59134001264,-3.62625346674,-3.66116692084,-3.69608037493,-3.73099382903,-3.76590728313,-3.80082073722,
6,0.0603494371418,-0.552568749446,-0.413140867721,-0.25404198754,-0.095067808819,0.00422693010921,-1.06070826957,-1.07599033646,-1.01847684843,-1.07383907863,-1.12835587105,-1.16356558878,-1.21814858332,-1.25331996974,-1.19502443087,-1.24998780558,-1.21129358122,-1.30526000853,-1.28618262302,-1.26700695821,-1.26772718523,-1.2682048449,-1.17505857551,-1.17596086671,-1.5734303989,-1.62382364924,-1.67421689957,-1.72461014991,-1.77500340025,-1.82539665059,-1.87578990093,-1.92618315127,-1.9765764016,-2.02696965194,-2.07736290228,-2.12775615262,-2.17814940296,-2.2285426533,-2.27893590363,-2.32932915397,-2.37972240431,-2.43011565465,-2.48050890499,-2.53090215533,-2.58129540566,-2.631688656,-2.68208190634,-2.73247515668,-2.78286840702,-2.83326165736,-2.88365490769,-2.93404815803,-2.98444140837,-3.03483465871,-3.08522790905,-3.13562115939,-3.18601440972,-3.23640766006,-3.2868009104,-3.33719416074,-3.38758741108,-3.43798066142,-3.48837391176,-3.53876716209,-3.58916041243,-3.63955366277,-3.68994691311,-3.74034016345,-3.79073341379,-3.84112666412,-3.89151991446,-3.9419131648,-3.99230641514,-4.04269966548,-4.09309291582,-4.14348616615,-4.19387941649,-4.24427266683,-4.29466591717,-4.34505916751,-4.39545241785,-4.44584566818,-4.49623891852,-4.54663216886,-4.5970254192,-4.64741866954,-4.69781191988,-4.74820517021,-4.79859842055,-4.84899167089,-4.89938492123,
7,0.0603228883845,0.160056237138,-0.413219372916,-0.254210572937,-0.0953084971487,0.00364495726445,0.103547731234,-0.961324498283,-1.01661787037,-0.958711549121,-1.01407307742,-1.04857655481,-1.10398706412,-1.13837071099,-1.19375530685,-1.13526575867,-1.21022795153,-1.19135066127,-1.28511309536,-1.266037525,-1.26686316865,-1.26739649826,-1.28788587374,-1.17454480927,-1.62215464358,-1.68540945306,-1.74866426254,-1.81191907202,-1.87517388149,-1.93842869097,-2.00168350045,-2.06493830993,-2.1281931194,-2.19144792888,-2.25470273836,-2.31795754784,-2.38121235731,-2.44446716679,-2.50772197627,-2.57097678575,-2.63423159522,-2.6974864047,-2.76074121418,-2.82399602366,-2.88725083313,-2.95050564261,-3.01376045209,-3.07701526157,-3.14027007105,-3.20352488052,-3.26677969,-3.33003449948,-3.39328930896,-3.45654411843,-3.51979892791,-3.58305373739,-3.64630854687,-3.70956335634,-3.77281816582,-3.8360729753,-3.89932778478,-3.96258259425,-4.02583740373,-4.08909221321,-4.15234702269,-4.21560183216,-4.27885664164,-4.34211145112,-4.4053662606,-4.46862107007,-4.53187587955,-4.59513068903,-4.65838549851,-4.72164030799,-4.78489511746,-4.84814992694,-4.91140473642,-4.9746595459,-5.03791435537,-5.10116916485,-5.16442397433,-5.22767878381,-5.29093359328,-5.35418840276,-5.41744321224,-5.48069802172,-5.54395283119,-5.60720764067,-5.67046245015,-5.73371725963,-5.7969720691,
8,0.0603101986081,0.160025751431,0.299339115681,-0.254294525637,-0.0954919100082,0.00340342056428,0.102948524832,0.20283921711,-0.90196242502,-0.956865536038,-0.898965029445,-0.934313003435,-0.989029269144,-1.02423932762,-1.07882270483,-1.13400677205,-1.09552277561,-1.19029560682,-1.17122096713,-1.26497971925,-1.26590577187,-1.26654472453,-1.28708949414,-1.28737854241,-1.6419126779,-1.71570548588,-1.78949829385,-1.86329110183,-1.9370839098,-2.01087671778,-2.08466952576,-2.15846233373,-2.23225514171,-2.30604794968,-2.37984075766,-2.45363356564,-2.52742637361,-2.60121918159,-2.67501198957,-2.74880479754,-2.82259760552,-2.89639041349,-2.97018322147,-3.04397602945,-3.11776883742,-3.1915616454,-3.26535445337,-3.33914726135,-3.41294006933,-3.4867328773,-3.56052568528,-3.63431849325,-3.70811130123,-3.78190410921,-3.85569691718,-3.92948972516,-4.00328253314,-4.07707534111,-4.15086814909,-4.22466095706,-4.29845376504,-4.37224657302,-4.44603938099,-4.51983218897,-4.59362499694,-4.66741780492,-4.7412106129,-4.81500342087,-4.88879622885,-4.96258903682,-5.0363818448,-5.11017465278,-5.18396746075,-5.25776026873,-5.33155307671,-5.40534588468,-5.47913869266,-5.55293150063,-5.62672430861,-5.70051711659,-5.77430992456,-5.84810273254,-5.92189554051,-5.99568834849,-6.06948115647,-6.14327396444,-6.21706677242,-6.29085958039,-6.36465238837,-6.43844519635,-6.51223800432,
9,0.0603048919561,0.160000986853,0.299304600423,0.458201426971,-0.0955815353909,0.0032055008451,0.102705756902,0.202232808615,0.26211410592,-0.842219959264,-0.897131754335,-0.819224433838,-0.874771721412,-0.909299139354,-0.964707939953,-1.01909028941,-1.09427383384,-1.07560635104,-1.17017642658,-1.15110433873,-1.26485943716,-1.2655990984,-1.28624929654,-1.28659390796,-1.61244240284,-1.69320973045,-1.77397705807,-1.85474438568,-1.93551171329,-2.0162790409,-2.09704636851,-2.17781369612,-2.25858102374,-2.33934835135,-2.42011567896,-2.50088300657,-2.58165033418,-2.66241766179,-2.7431849894,-2.82395231702,-2.90471964463,-2.98548697224,-3.06625429985,-3.14702162746,-3.22778895507,-3.30855628269,-3.3893236103,-3.47009093791,-3.55085826552,-3.63162559313,-3.71239292074,-3.79316024836,-3.87392757597,-3.95469490358,-4.03546223119,-4.1162295588,-4.19699688641,-4.27776421403,-4.35853154164,-4.43929886925,-4.52006619686,-4.60083352447,-4.68160085208,-4.7623681797,-4.84313550731,-4.92390283492,-5.00467016253,-5.08543749014,-5.16620481775,-5.24697214536,-5.32773947298,-5.40850680059,-5.4892741282,-5.57004145581,-5.65080878342,-5.73157611103,-5.81234343865,-5.89311076626,-5.97387809387,-6.05464542148,-6.13541274909,-6.2161800767,-6.29694740432,-6.37771473193,-6.45848205954,-6.53924938715,-6.62001671476,-6.70078404237,-6.78155136999,-6.8623186976,-6.94308602521,
