Age,Yr0,Yr1,Yr2,Yr3,Yr4,Yr5,Yr6,Yr7,Yr8,Yr9,Yr10,Yr11,Yr12,Yr13,Yr14,Yr15,Yr16,Yr17,Yr18,Yr19,Yr20,Yr21,Yr22,Yr23,Yr24,Yr25,Yr26,Yr27,Yr28,Yr29,Yr30,Yr31,Yr32,Yr33,Yr34,Yr35,Yr36,Yr37,Yr38,Yr39,Yr40,Yr41,Yr42,Yr43,Yr44,Yr45,Yr46,Yr47,Yr48,Yr49,Yr50,Yr51,Yr52,Yr53,Yr54,Yr55,Yr56,Yr57,Yr58,Yr59,Yr60,Yr61,Yr62,Yr63,Yr64,Yr65,Yr66,Yr67,Yr68,Yr69,Yr70,Yr71,Yr72,Yr73,Yr74,Yr75,Yr76,Yr77,Yr78,Yr79,Yr80,Yr81,Yr82,Yr83,Yr84,Yr85,Yr86,Yr87,Yr88,Yr89,Yr90,
0,-1.05366604048,-1.04946751158,-1.06406460885,-1.09964831607,-1.1351223244,-1.1704455902,-1.20571700793,-1.24092764839,-1.16158216051,-1.19669091277,-1.13718070541,-1.09765817498,-1.17266421844,-1.15395920251,-1.13427836691,-1.01996890888,-1.02025565135,-1.0413447921,-1.04158433554,-1.04181006838,-1.06276196571,-1.0629724334,-1.08387970291,-1.06410171293,-1.06263363499,-1.05927181792,-1.05591000085,-1.05254818378,-1.04918636671,-1.04582454964,-1.04246273257,-1.0391009155,-1.03573909843,-1.03237728136,-1.02901546429,-1.02565364723,-1.02229183016,-1.01893001309,-1.01556819602,-1.01220637895,-1.00884456188,-1.00548274481,-1.00212092774,-0.998759110669,-0.9953972936,-0.99203547653,-0.988673659461,-0.985311842391,-0.981950025321,-0.978588208252,-0.975226391182,-0.971864574113,-0.968502757043,-0.965140939974,-0.961779122904,-0.958417305835,-0.955055488765,-0.951693671696,-0.948331854626,-0.944970037557,-0.941608220487,-0.938246403417,-0.934884586348,-0.931522769278,-0.928160952209,-0.924799135139,-0.92143731807,-0.918075501,-0.914713683931,-0.911351866861,-0.907990049792,-0.904628232722,-0.901266415653,-0.897904598583,-0.894542781514,-0.891180964444,-0.887819147374,-0.884457330305,-0.881095513235,-0.877733696166,-0.874371879096,-0.871010062027,-0.867648244957,-0.864286427888,-0.860924610818,-0.857562793749,-0.854200976679,-0.85083915961,-0.84747734254,-0.844115525471,-0.840753708401,
1,0.161280019135,-0.929273964884,-0.9452755676,-0.979943385927,-1.01538201476,-1.05069303584,-1.08585273886,-1.12094713039,-1.15598319384,-1.07748588836,-1.13240914828,-1.09352829683,-1.05442674375,-1.14889192052,-1.13039085547,-1.13092589543,-1.01764185549,-1.03797492085,-1.03886265744,-1.03912541583,-1.05939466561,-1.06015811041,-1.08039609455,-1.06110424655,-1.19484042729,-1.20947836904,-1.2241163108,-1.23875425255,-1.25339219431,-1.26803013606,-1.28266807782,-1.29730601957,-1.31194396133,-1.32658190308,-1.34121984484,-1.35585778659,-1.37049572835,-1.3851336701,-1.39977161186,-1.41440955361,-1.42904749537,-1.44368543712,-1.45832337888,-1.47296132063,-1.48759926239,-1.50223720414,-1.5168751459,-1.53151308765,-1.54615102941,-1.56078897116,-1.57542691292,-1.59006485467,-1.60470279643,-1.61934073818,-1.63397867994,-1.64861662169,-1.66325456345,-1.6778925052,-1.69253044696,-1.70716838871,-1.72180633047,-1.73644427222,-1.75108221398,-1.76572015573,-1.78035809749,-1.79499603924,-1.809633981,-1.82427192275,-1.83890986451,-1.85354780626,-1.86818574802,-1.88282368977,-1.89746163153,-1.91209957328,-1.92673751504,-1.94137545679,-1.95601339855,-1.9706513403,-1.98528928206,-1.99992722381,-2.01456516557,-2.02920310732,-2.04384104908,-2.05847899083,-2.07311693259,-2.08775487434,-2.1023928161,-2.11703075785,-2.13166869961,-2.14630664136,-2.16094458312,
2,0.160849733301,0.280450033885,-0.82953280258,-0.86537879714,-0.899878775426,-0.935346229811,-0.970672744565,-1.00584746295,-1.04097055425,-1.07602179604,-1.01753671692,-1.09228390119,-1.05322400776,-1.03415235885,-1.12842060786,-1.12993317157,-1.13026892519,-1.03702972246,-1.03717316099,-1.03825988454,-1.05855265629,-1.0586318997,-1.07962322131,-1.05966032283,-1.30506837217,-1.33568350877,-1.36629864536,-1.39691378196,-1.42752891856,-1.45814405516,-1.48875919175,-1.51937432835,-1.54998946495,-1.58060460154,-1.61121973814,-1.64183487474,-1.67245001133,-1.70306514793,-1.73368028453,-1.76429542112,-1.79491055772,-1.82552569432,-1.85614083091,-1.88675596751,-1.91737110411,-1.9479862407,-1.9786013773,-2.0092165139,-2.0398316505,-2.07044678709,-2.10106192369,-2.13167706029,-2.16229219688,-2.19290733348,-2.22352247008,-2.25413760667,-2.28475274327,-2.31536787987,-2.34598301646,-2.37659815306,-2.40721328966,-2.43782842625,-2.46844356285,-2.49905869945,-2.52967383605,-2.56028897264,-2.59090410924,-2.62151924584,-2.65213438243,-2.68274951903,-2.71336465563,-2.74397979222,-2.77459492882,-2.80521006542,-2.83582520201,-2.86644033861,-2.89705547521,-2.9276706118,-2.9582857484,-2.988900885,-3.0195160216,-3.05013115819,-3.08074629479,-3.11136143139,-3.14197656798,-3.17259170458,-3.20320684118,-3.23382197777,-3.26443711437,-3.29505225097,-3.32566738756,
3,0.160652561644,0.279846494122,0.379823012366,-0.749839107426,-0.78551084954,-0.820024340854,-0.855504850333,-0.890844562684,-0.926032219578,-0.9611683851,-1.01623234852,-0.977569389451,-1.05212662757,-1.0330910054,-1.01383428561,-1.1280951695,-1.12942098765,-1.1497744088,-1.03635434,-1.0366969976,-1.0578098832,-1.05790139288,-1.07819394219,-1.05899532288,-1.39229806126,-1.43703291167,-1.48176776207,-1.52650261248,-1.57123746289,-1.61597231329,-1.6607071637,-1.7054420141,-1.75017686451,-1.79491171491,-1.83964656532,-1.88438141573,-1.92911626613,-1.97385111654,-2.01858596694,-2.06332081735,-2.10805566775,-2.15279051816,-2.19752536856,-2.24226021897,-2.28699506938,-2.33172991978,-2.37646477019,-2.42119962059,-2.465934471,-2.5106693214,-2.55540417181,-2.60013902221,-2.64487387262,-2.68960872303,-2.73434357343,-2.77907842384,-2.82381327424,-2.86854812465,-2.91328297505,-2.95801782546,-3.00275267587,-3.04748752627,-3.09222237668,-3.13695722708,-3.18169207749,-3.22642692789,-3.2711617783,-3.3158966287,-3.36063147911,-3.40536632952,-3.45010117992,-3.49483603033,-3.53957088073,-3.58430573114,-3.62904058154,-3.67377543195,-3.71851028235,-3.76324513276,-3.80797998317,-3.85271483357,-3.89744968398,-3.94218453438,-3.98691938479,-4.03165423519,-4.0763890856,-4.12112393601,-4.16585878641,-4.21059363682,-4.25532848722,-4.30006333763,-4.34479818803,
4,0.160557283098,0.279569665888,0.379146183026,0.459297679737,-0.670063946296,-0.705757851634,-0.740283191535,-0.775775275885,-0.81111384294,-0.846312972328,-0.901447741729,-0.976311120778,-0.937467997464,-1.03203937743,-1.01280693407,-1.01356439953,-1.12761875832,-1.14896110588,-1.14912599897,-1.03591283872,-1.05628057229,-1.05719224079,-1.07749610312,-1.05761000603,-1.45637315335,-1.51336776741,-1.57036238146,-1.62735699552,-1.68435160957,-1.74134622363,-1.79834083768,-1.85533545174,-1.91233006579,-1.96932467985,-2.0263192939,-2.08331390796,-2.14030852201,-2.19730313607,-2.25429775012,-2.31129236418,-2.36828697823,-2.42528159229,-2.48227620634,-2.5392708204,-2.59626543445,-2.65326004851,-2.71025466256,-2.76724927662,-2.82424389067,-2.88123850473,-2.93823311878,-2.99522773284,-3.05222234689,-3.10921696095,-3.166211575,-3.22320618906,-3.28020080311,-3.33719541717,-3.39419003122,-3.45118464528,-3.50817925933,-3.56517387339,-3.62216848744,-3.6791631015,-3.73615771555,-3.79315232961,-3.85014694366,-3.90714155772,-3.96413617177,-4.02113078583,-4.07812539988,-4.13512001394,-4.19211462799,-4.24910924205,-4.3061038561,-4.36309847016,-4.42009308421,-4.47708769827,-4.53408231232,-4.59107692638,-4.64807154043,-4.70506615449,-4.76206076854,-4.8190553826,-4.87604999665,-4.93304461071,-4.99003922476,-5.04703383882,-5.10402845287,-5.16102306693,-5.21801768098,
5,-0.599495821815,-0.50057130785,-0.361168976388,-0.22141158507,-0.0810895455828,-1.15035000515,-1.14605208465,-1.18058786823,-1.2160902325,-1.27142671842,-1.30662311385,-1.34156918712,-1.3962313183,-1.31741023997,-1.3717773874,-1.31255989554,-1.2731191738,-1.34718233003,-1.32834843091,-1.32871295538,-1.19551938979,-1.21569747126,-1.2168315269,-1.21693447927,-1.55390147886,-1.59189106035,-1.62988064185,-1.66787022334,-1.70585980483,-1.74384938632,-1.78183896781,-1.8198285493,-1.8578181308,-1.89580771229,-1.93379729378,-1.97178687527,-2.00977645676,-2.04776603825,-2.08575561975,-2.12374520124,-2.16173478273,-2.19972436422,-2.23771394571,-2.27570352721,-2.3136931087,-2.35168269019,-2.38967227168,-2.42766185317,-2.46565143466,-2.50364101616,-2.54163059765,-2.57962017914,-2.61760976063,-2.65559934212,-2.69358892361,-2.73157850511,-2.7695680866,-2.80755766809,-2.84554724958,-2.88353683107,-2.92152641256,-2.95951599406,-2.99750557555,-3.03549515704,-3.07348473853,-3.11147432002,-3.14946390151,-3.18745348301,-3.2254430645,-3.26343264599,-3.30142222748,-3.33941180897,-3.37740139047,-3.41539097196,-3.45338055345,-3.49137013494,-3.52935971643,-3.56734929792,-3.60533887942,-3.64332846091,-3.6813180424,-3.71930762389,-3.75729720538,-3.79528678687,-3.83327636837,-3.87126594986,-3.90925553135,-3.94724511284,-3.98523469433,-4.02322427582,-4.06121385732,
6,0.0803797737677,-0.493076434516,-0.353558119753,-0.214377528727,-0.0750438693401,0.064675183259,-1.02511895146,-1.06121640365,-1.09576165749,-1.15126097594,-1.18640687319,-1.22160079008,-1.27674465889,-1.31161962451,-1.25321447245,-1.30797765663,-1.26916232575,-1.23013648929,-1.32461730856,-1.32618314289,-1.3065592521,-1.21357088203,-1.2137702217,-1.21490323299,-1.6271760967,-1.68074743138,-1.73431876607,-1.78789010076,-1.84146143544,-1.89503277013,-1.94860410481,-2.0021754395,-2.05574677419,-2.10931810887,-2.16288944356,-2.21646077824,-2.27003211293,-2.32360344762,-2.3771747823,-2.43074611699,-2.48431745168,-2.53788878636,-2.59146012105,-2.64503145573,-2.69860279042,-2.75217412511,-2.80574545979,-2.85931679448,-2.91288812916,-2.96645946385,-3.02003079854,-3.07360213322,-3.12717346791,-3.1807448026,-3.23431613728,-3.28788747197,-3.34145880665,-3.39503014134,-3.44860147603,-3.50217281071,-3.5557441454,-3.60931548008,-3.66288681477,-3.71645814946,-3.77002948414,-3.82360081883,-3.87717215351,-3.9307434882,-3.98431482289,-4.03788615757,-4.09145749226,-4.14502882695,-4.19860016163,-4.25217149632,-4.305742831,-4.35931416569,-4.41288550038,-4.46645683506,-4.52002816975,-4.57359950443,-4.62717083912,-4.68074217381,-4.73431350849,-4.78788484318,-4.84145617786,-4.89502751255,-4.94859884724,-5.00217018192,-5.05574151661,-5.1093128513,-5.16288418598,
7,0.0803361308568,0.179888388229,-0.353726484723,-0.214624292839,-0.0754598418792,0.0638663880163,0.183566891884,-0.945953713387,-0.981670733869,-1.03621285731,-1.07152109623,-1.10686415124,-1.16205543941,-1.197009072,-1.2520937711,-1.19349129749,-1.26825128448,-1.22924869812,-1.21022351964,-1.32449917309,-1.3058868992,-1.32646252758,-1.2130879118,-1.21348635675,-1.67090612813,-1.73733138064,-1.80375663315,-1.87018188565,-1.93660713816,-2.00303239067,-2.06945764317,-2.13588289568,-2.20230814819,-2.26873340069,-2.3351586532,-2.40158390571,-2.46800915821,-2.53443441072,-2.60085966323,-2.66728491574,-2.73371016824,-2.80013542075,-2.86656067326,-2.93298592576,-2.99941117827,-3.06583643078,-3.13226168328,-3.19868693579,-3.2651121883,-3.3315374408,-3.39796269331,-3.46438794582,-3.53081319832,-3.59723845083,-3.66366370334,-3.73008895584,-3.79651420835,-3.86293946086,-3.92936471336,-3.99578996587,-4.06221521838,-4.12864047088,-4.19506572339,-4.2614909759,-4.3279162284,-4.39434148091,-4.46076673342,-4.52719198592,-4.59361723843,-4.66004249094,-4.72646774345,-4.79289299595,-4.85931824846,-4.92574350097,-4.99216875347,-5.05859400598,-5.12501925849,-5.19144451099,-5.2578697635,-5.32429501601,-5.39072026851,-5.45714552102,-5.52357077353,-5.58999602603,-5.65642127854,-5.72284653105,-5.78927178355,-5.85569703606,-5.92212228857,-5.98854754107,-6.05497279358,
8,0.0803354432198,0.179844098484,0.319197051092,-0.214787573505,-0.0756995362156,0.0634509105107,0.182760599067,0.26265384424,-0.866405739967,-0.922141045484,-0.956479329486,-0.991996120667,-1.04733603067,-1.08233564341,-1.13748619669,-1.19238034941,-1.15378055744,-1.22834789588,-1.20934640457,-1.21012207154,-1.30420286187,-1.32580173336,-1.32598604986,-1.21281545716,-1.68439204716,-1.76124604877,-1.83810005037,-1.91495405198,-1.99180805358,-2.06866205519,-2.14551605679,-2.2223700584,-2.29922406,-2.3760780616,-2.45293206321,-2.52978606481,-2.60664006642,-2.68349406802,-2.76034806963,-2.83720207123,-2.91405607284,-2.99091007444,-3.06776407605,-3.14461807765,-3.22147207925,-3.29832608086,-3.37518008246,-3.45203408407,-3.52888808567,-3.60574208728,-3.68259608888,-3.75945009049,-3.83630409209,-3.9131580937,-3.9900120953,-4.0668660969,-4.14372009851,-4.22057410011,-4.29742810172,-4.37428210332,-4.45113610493,-4.52799010653,-4.60484410814,-4.68169810974,-4.75855211135,-4.83540611295,-4.91226011455,-4.98911411616,-5.06596811776,-5.14282211937,-5.21967612097,-5.29653012258,-5.37338412418,-5.45023812579,-5.52709212739,-5.60394612899,-5.6808001306,-5.7576541322,-5.83450813381,-5.91136213541,-5.98821613702,-6.06507013862,-6.14192414023,-6.21877814183,-6.29563214344,-6.37248614504,-6.44934014664,-6.52619414825,-6.60304814985,-6.67990215146,-6.75675615306,
9,0.0803258517286,0.17984273627,0.319151559079,0.458085183007,-0.075869777123,0.0632066086762,0.182334328872,0.261839454114,0.342126653115,-0.806874284354,-0.842415080343,-0.87696126729,-0.932474039048,-0.967621494633,-1.0228291062,-1.07777651885,-1.15266800401,-1.11388117066,-1.20844485203,-1.20924464916,-1.18983080502,-1.324118271,-1.32532584281,-1.32570968582,-1.66750722683,-1.7523573634,-1.83720749997,-1.92205763654,-2.00690777311,-2.09175790968,-2.17660804625,-2.26145818281,-2.34630831938,-2.43115845595,-2.51600859252,-2.60085872909,-2.68570886566,-2.77055900222,-2.85540913879,-2.94025927536,-3.02510941193,-3.1099595485,-3.19480968507,-3.27965982164,-3.3645099582,-3.44936009477,-3.53421023134,-3.61906036791,-3.70391050448,-3.78876064105,-3.87361077761,-3.95846091418,-4.04331105075,-4.12816118732,-4.21301132389,-4.29786146046,-4.38271159703,-4.46756173359,-4.55241187016,-4.63726200673,-4.7221121433,-4.80696227987,-4.89181241644,-4.97666255301,-5.06151268957,-5.14636282614,-5.23121296271,-5.31606309928,-5.40091323585,-5.48576337242,-5.57061350898,-5.65546364555,-5.74031378212,-5.82516391869,-5.91001405526,-5.99486419183,-6.0797143284,-6.16456446496,-6.24941460153,-6.3342647381,-6.41911487467,-6.50396501124,-6.58881514781,-6.67366528437,-6.75851542094,-6.84336555751,-6.92821569408,-7.01306583065,-7.09791596722,-7.18276610379,-7.26761624035,
