Region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,
East Midlands,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,
0-4,255.3,255.3,255.3,255.3,255.3,261.0,270.030246473,278.830948825,287.408139747,296.217302818,305.275567235,
5-9,240.5,240.5,240.5,240.5,240.5,240.7,244.722564242,248.771961276,252.830189303,256.90918701,260.950812909,
10-14,264.3,264.3,264.3,264.3,264.3,260.2,256.272199809,252.346092835,248.422419716,244.522166885,240.649421301,
15-19,296.8,296.8,296.8,296.8,296.8,295.3,288.209173103,281.123593652,274.076327768,267.058769563,260.059199788,
20-24,308.6,308.6,308.6,308.6,308.6,313.5,309.804906306,306.132363237,302.45416382,298.746251601,295.046626224,
25-29,269.9,269.9,269.9,269.9,269.9,279.2,285.937677342,292.673634435,299.414644071,306.159372964,312.884712118,
30-34,251.6,251.6,251.6,251.6,251.6,250.8,256.280377061,261.811595724,267.373215464,272.95321916,278.533880937,
35-39,317.8,317.8,317.8,317.8,317.8,306.5,295.068550349,283.660724982,272.309092448,261.04691823,249.891869219,
40-44,342.7,342.7,342.7,342.7,342.7,343.2,335.40538371,327.706076664,320.046304193,312.426123778,304.828911447,
45-49,316.6,316.6,316.6,316.6,316.6,325.6,328.39919875,331.267974068,334.212529213,337.207369229,340.237209011,
50-54,277.6,277.6,277.6,277.6,277.6,282.2,289.818182935,297.529266165,305.31576737,313.175846755,321.093520498,
55-59,273.9,273.9,273.9,273.9,273.9,269.9,270.856519016,272.018731504,273.336922044,274.797217642,276.361940557,
60-64,282.0,282.0,282.0,282.0,282.0,285.8,280.177596656,275.001837642,270.107417837,265.591933405,261.390528764,
65-69,208.0,208.0,208.0,208.0,208.0,217.0,227.643431302,238.415805129,249.378784429,260.351845088,271.32715457,
70-74,176.0,176.0,176.0,176.0,176.0,180.3,183.671250104,187.526584931,191.723775398,196.171082637,200.761654883,
75-79,145.3,145.3,145.3,145.3,145.3,145.5,146.676668749,148.738608514,151.460257562,154.693322212,158.219495823,
80-84,106.6,106.6,106.6,106.6,106.6,108.0,107.930514184,108.731010454,110.180060046,112.145513982,114.489226506,
85-89,66.7,66.7,66.7,66.7,66.7,68.3,67.9839344039,68.4439850738,69.2905877993,70.3308408782,71.4164657907,
90+,29.7,29.7,29.7,29.7,29.7,30.7,34.8839496252,37.2285643725,38.4145801723,38.8615495921,38.8332502919,
Total,4429.9,4429.9,4429.9,4429.9,4429.9,4463.7,4479.77232412,4497.95935948,4517.7551784,4539.36583343,4562.25144787,
Births,na,na,na,na,na,na,61.525,61.295,61.065,61.295,61.525,
Deaths,na,na,na,na,na,na,45.8292302272,43.4707368843,41.6294503463,40.0365353622,38.9936993632,
Migration,na,na,na,na,na,na,0.376554346751,0.362772249434,0.36026926246,0.352190391054,0.354313806941,
West Midlands,
0-4,337.0,337.0,337.0,337.0,337.0,343.9,356.366278977,368.847993881,380.756389619,392.544184074,405.044404252,
5-9,309.8,309.8,309.8,309.8,309.8,311.0,317.523759234,324.071662781,330.629294175,337.209502401,343.740949873,
10-14,334.8,334.8,334.8,334.8,334.8,330.7,326.718445585,322.722802092,318.735100069,314.784416957,310.868296771,
15-19,365.1,365.1,365.1,365.1,365.1,360.7,354.568569109,348.46877933,342.415630552,336.394856595,330.392888527,
20-24,367.9,367.9,367.9,367.9,367.9,372.8,370.289313382,367.799902555,365.290510047,362.752592634,360.226182083,
25-29,340.5,340.5,340.5,340.5,340.5,349.9,354.344494633,358.800191712,363.280129555,367.757518535,372.220658966,
30-34,307.8,307.8,307.8,307.8,307.8,306.2,314.685110904,323.22302943,331.782654378,340.377716627,348.956559329,
35-39,382.2,382.2,382.2,382.2,382.2,367.6,354.946411783,342.32228293,329.768391584,317.317446291,304.994119969,
40-44,406.0,406.0,406.0,406.0,406.0,405.6,397.480095759,389.439072461,381.43738102,373.470875991,365.535069956,
45-49,374.7,374.7,374.7,374.7,374.7,382.9,386.60248291,390.380451262,394.226242517,398.138659178,402.099208545,
50-54,332.2,332.2,332.2,332.2,332.2,335.9,344.054636963,352.335987043,360.694973051,369.130321438,377.636261165,
55-59,323.9,323.9,323.9,323.9,323.9,319.4,320.961494342,322.745321295,324.700830127,326.795089247,328.995966709,
60-64,327.0,327.0,327.0,327.0,327.0,329.8,324.932756332,320.544852383,316.456764543,312.784821692,309.416452421,
65-69,254.6,254.6,254.6,254.6,254.6,262.1,272.009010248,282.118146366,292.442514469,302.846446055,313.307129973,
70-74,217.7,217.7,217.7,217.7,217.7,223.3,226.308612086,229.917385208,233.931280994,238.286661856,242.810557516,
75-79,180.3,180.3,180.3,180.3,180.3,179.7,181.46729903,184.258459084,187.78901213,191.919641286,196.392348961,
