Year, ExpectedPop, ProjectedPop, Residual
0,61393.282,64393.45,-3000.168
1,61393.282,64393.45,-3000.168
2,61393.282,64393.45,-3000.168
3,61393.282,64393.45,-3000.168
4,61393.282,64393.45,-3000.168
5,61793.692,64800.92,-3007.228
6,62222.403,65087.0312515,-2864.62825145
7,62649.014,65405.2149156,-2756.20091565
8,63073.914,65746.8809509,-2672.96695092
9,63497.831,66110.3658366,-2612.5348366
10,63921.121,66495.0024227,-2573.8814227
11,64344.156,66897.5422937,-2553.38629367
12,64773.434,67319.22802,-2545.79402002
13,65207.649,67755.9399019,-2548.29090189
14,65645.082,68202.1683192,-2557.08631924
15,66083.824,68656.896492,-2573.072492
16,66521.962,69116.4121629,-2594.45016289
17,66957.701,69578.1289505,-2620.42795046
18,67389.398,70039.6469929,-2650.24899286
19,67815.679,70498.7449445,-2683.06594449
20,68235.368,70954.6264368,-2719.25843676
21,68647.528,71403.5068983,-2755.97889828
22,69051.452,71847.5052774,-2796.05327744
23,69446.572,72286.8499952,-2840.27799515
24,69832.443,72719.9348431,-2887.49184305
25,70208.788,73146.2796001,-2937.49160015
26,70575.666,73565.4153143,-2989.74931431
27,70933.3,73978.3711756,-3045.0711756
28,71282.124,74384.222256,-3102.09825599
29,71622.768,74784.1392837,-3161.3712837
30,72107.096,75209.66717,-3102.57117
31,72107.096,75636.7198556,-3529.62385562
32,72605.961,76067.5713972,-3461.61039722
33,73363.095,76504.6020545,-3141.50705452
34,73363.095,76962.5273768,-3599.43237678
35,73363.095,77429.6248462,-4066.52984623
36,73363.095,77907.4436164,-4544.34861642
37,74165.074,78410.3787975,-4245.3047975
38,74875.493,78925.1254193,-4049.63241931
39,74875.493,79463.7523707,-4588.25937071
40,74875.493,80012.9365958,-5137.44359583
41,74875.493,80571.6300887,-5696.13708874
42,75654.303,81151.210593,-5496.90759301
43,76321.954,81750.1375861,-5428.18358615
44,76321.954,82354.4591793,-6032.50517932
45,76321.954,82963.1685564,-6641.21455638
46,76321.954,83574.8262866,-7252.87228657
47,77073.28,84200.9334597,-7127.65345971
48,77695.865,84827.6806177,-7131.81561768
49,77695.865,85466.307148,-7770.44214799
50,77695.865,86104.1520514,-8408.28705135
51,77695.865,86741.3137314,-9045.44873136
52,78414.473,87378.5750529,-8964.10205294
53,78652.42,88016.9975491,-9364.57754909
54,78931.87,88679.8225671,-9747.9525671
55,78931.87,89345.6481363,-10413.7781363
56,78931.87,90016.4861038,-11084.6161038
57,78931.87,90710.172294,-11778.302294
58,78931.87,91412.1367391,-12480.2667391
59,78931.87,92124.6353456,-13192.7653456
60,78931.87,92849.9114295,-13918.0414295
61,78931.87,93590.7059704,-14658.8359704
62,78931.87,94373.4480993,-15441.5780993
63,78931.87,95175.8637963,-16243.9937963
64,78931.87,96000.5730882,-17068.7030882
65,78931.87,96850.0120401,-17918.1420401
66,78931.87,97726.1135602,-18794.2435602
67,78931.87,98650.623946,-19718.753946
68,78931.87,99604.5324055,-20672.6624055
69,78931.87,100589.047066,-21657.1770659
70,78931.87,101605.018819,-22673.1488186
71,78931.87,102652.945747,-23721.0757472
72,78931.87,103751.868401,-24819.9984007
73,78931.87,104882.478087,-25950.6080869
74,78931.87,106044.708142,-27112.838142
75,78931.87,107238.388271,-28306.5182709
76,78931.87,108463.569454,-29531.6994545
77,78931.87,109743.574973,-30811.7049726
78,78931.87,111054.396447,-32122.5264472
79,78931.87,112406.466151,-33474.5961512
80,78931.87,113789.955214,-34858.0852144
81,78931.87,115205.916153,-36274.0461529
82,78931.87,116655.613066,-37723.7430664
83,78931.87,118140.691296,-39208.8212959
84,78931.87,119663.187471,-40731.3174714
85,78931.87,121225.525729,-42293.6557289
86,78931.87,122830.584714,-43898.7147139
87,78931.87,124481.539018,-45549.6690185
88,78931.87,126181.901983,-47250.0319833
89,78931.87,127935.482092,-49003.6120917
90,78931.87,129746.343718,-50814.4737177
91,78931.87,131618.624954,-52686.7549542
92,78931.87,133556.76575,-54624.8957501
93,78931.87,135565.34033,-56633.4703299
94,78931.87,137649.017083,-58717.1470831
95,78931.87,139812.54588,-60880.67588
96,78931.87,142060.480528,-63128.610528
