OA, NHH, Npers, detached, semi, terraced, flat, zero_to_nine, Age_10_to_19, Age_20_to_29, Age_30_to_39, Age_40_to_49, Age_50_to_59, Age_60_to_69, Age_70_to_79, Age_80plus, car_none, car_one, car_two_plus, Economically_Active, Economically_Inactive, White, Asian, Black, Other, Good, Fair, Not_good, house_size_1, house_size_2, house_size_3, house_size_4, house_size_5, house_size_6, house_size_7, house_size_8_plus, house_represent_1, house_represent_0, with_LLTI, without_LLTI, SWD, Married, Prof_manag, Intermediate, Non_manual, unemployed, student, no_qualifications, Level_1_2, Level_3_plus, room_1_4, room_5_6, room_7_plus, Males, Females, Owned, Council, Private_rented
00MC,99827, 216481, 0.5,0.5,0.5,0.5,28933.5859757,26399.3441177,27260.1844959,24748.1492463,17308.6701421,25269.1321085,27217.7973536,19938.0160784,19406.1536296,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,109639.296649,106841.736499,0.5,0.5,0.5,
29UL,57455, 119402, 0.5,0.5,0.5,0.5,14024.2022682,13221.8660443,13769.9675977,12517.4336804,11737.2690006,12072.2483262,11129.5751168,12385.2798079,18544.2832685,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,59891.7296148,59510.3954958,0.5,0.5,0.5,
00MA,69423, 148555, 0.5,0.5,0.5,0.5,19062.3334404,17474.3178034,18233.9371039,16531.1477011,13942.0469778,13653.2745431,15966.693606,15976.826822,17714.1700674,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,74766.4950943,73788.2529707,0.5,0.5,0.5,
00MG,151274, 350094, 0.5,0.5,0.5,0.5,48578.7781933,43115.2795032,42988.5692708,41003.4685852,32482.8885911,29127.9247899,38879.3701692,34602.6671045,39315.4294599,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,174798.559952,175295.815715,0.5,0.5,0.5,
00MF,93550, 185907, 0.5,0.5,0.5,0.5,21611.3136284,20727.9132589,21764.178622,20893.7245349,19670.7426184,15972.7455951,18160.8707168,21486.3553448,25618.6625919,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,92086.4355842,93820.0713269,0.5,0.5,0.5,
00ME,82047, 177332, 0.5,0.5,0.5,0.5,22637.1917106,20710.751261,20622.0528833,19296.0914236,17542.7516761,15004.3119055,18373.0846466,19748.8630634,23397.3810148,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,87814.4765509,89518.0030339,0.5,0.5,0.5,
00MD,82059, 219626, 0.5,0.5,0.5,0.5,34931.9145386,29389.0561255,29229.8554605,26943.9306554,19202.2159918,18472.9828312,25547.8829251,19016.2850464,16891.3775536,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,110988.24137,108637.259758,0.5,0.5,0.5,
29UD,62230, 139169, 0.5,0.5,0.5,0.5,20051.2990873,18378.3647669,18353.0491069,14919.0627206,11937.1587234,12178.696381,14364.6509517,13270.5293129,15716.0484845,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,68590.0945809,70578.7649542,0.5,0.5,0.5,
29UE,61036, 120667, 0.5,0.5,0.5,0.5,13067.2793917,12654.707036,13537.6749734,12728.3990835,12399.8364812,12174.2896799,11241.4334232,12599.6335833,20263.35101,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,60950.4554111,59716.1492512,0.5,0.5,0.5,
29UG,57734, 130491, 0.5,0.5,0.5,0.5,16859.7494856,16098.5207516,16065.6015872,14428.2583931,12736.2097219,12872.6956749,12744.6761927,12676.3442274,16008.6064062,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,64469.2545744,66021.4078661,0.5,0.5,0.5,
