Year, ExpectedPop, ProjectedPop, Residual
0,63705.03,63429.301,275.729
1,63705.03,63429.301,275.729
2,63705.03,63429.301,275.729
3,63705.03,63429.301,275.729
4,63705.03,63429.301,275.729
5,64087.123,63807.626,279.497
6,64510.969,64127.6884996,383.280500416
7,64937.575,64478.3230032,459.251996812
8,65386.324,64854.6671783,531.656821701
9,65824.545,65253.0424322,571.502567841
10,66266.129,65667.3751871,598.753812895
11,66697.438,66089.5677296,607.870270387
12,67125.807,66517.8963455,607.91065447
13,67549.973,66951.8198904,598.153109636
14,67968.97,67386.4962224,582.473777599
15,68381.85,67820.7968616,561.05313838
16,68787.633,68252.8764427,534.756557348
17,69185.51,68681.3357688,504.174231204
18,69574.68,69106.6175162,468.062483819
19,69954.634,69527.2381577,427.395842331
20,70325.16,69943.1031023,382.0568977
21,70686.072,70354.6665031,331.405496873
22,71037.46,70761.7935675,275.666432491
23,71379.512,71161.7947955,217.717204497
24,71712.619,71559.2063237,153.412676262
25,72037.389,71953.8654963,83.5235036589
26,72354.739,72342.824616,11.9143839932
27,72665.654,72726.8227704,-61.1687704177
28,72971.152,73107.5496272,-136.397627159
29,73272.29,73482.6542345,-210.364234465
30,74449.541,73900.5444127,548.996587318
31,74449.541,74322.2242038,127.316796192
32,74449.541,74749.5988754,-300.057875385
33,74449.541,75184.105996,-734.564995961
34,75879.212,75654.7864513,224.425548709
35,75879.212,76133.6339256,-254.421925624
36,75879.212,76621.0450087,-741.83300865
37,75879.212,77117.5580752,-1238.34607523
38,75879.212,77623.1726931,-1743.96069307
39,77234.461,78165.3976259,-930.936625873
40,77234.461,78714.4333154,-1479.97231543
41,77234.461,79269.0561513,-2034.59515133
42,77234.461,79828.4063721,-2593.9453721
43,77234.461,80391.2298824,-3156.76888239
44,78489.194,80982.8691169,-2493.67511693
45,78489.194,81574.6632958,-3085.46929584
46,78489.194,82165.570565,-3676.37656497
47,78489.194,82755.044209,-4265.850209
48,78489.194,83342.5926568,-4853.39865677
49,79670.68,83957.9855728,-4287.30557281
50,79670.68,84570.2967175,-4899.61671748
51,79670.68,85180.1979482,-5509.51794823
52,79670.68,85788.675742,-6117.99574196
53,79670.68,86397.0130378,-6726.33303784
54,79904.455,87012.3877621,-7107.93276211
55,80470.9361197,87651.7722598,-7180.83614009
56,80703.0463729,88294.654186,-7591.60781312
57,80935.1566261,88942.7872063,-8007.63058018
58,81167.266879,89597.9730671,-8430.70618814
59,81399.3771323,90285.8432189,-8886.46608656
60,81631.4873853,90983.5383643,-9352.050979
61,81863.5976389,91692.6010866,-9829.0034477
62,82095.7078925,92414.8031329,-10319.0952404
63,82327.818146,93152.0222443,-10824.2040983
64,82559.9283987,93928.408792,-11368.4803933
65,82792.0386522,94722.4095387,-11930.3708865
66,83024.1489056,95535.5147881,-12511.3658825
67,83256.2591584,96369.1716433,-13112.9124849
68,83488.3694123,97224.5783118,-13736.2088995
69,83720.4796649,98129.7199172,-14409.2402523
70,83952.5899183,99057.3701475,-15104.7802292
71,84184.7001717,100007.965447,-15823.265275
72,84416.8104232,100981.73647,-16564.9260471
73,84648.9206776,101978.679203,-17329.7585251
74,84881.0309307,103023.943134,-18142.9122033
75,85113.1411846,104091.181203,-18978.040018
76,85345.2514373,105180.290995,-19835.0395573
77,85577.3616906,106290.952899,-20713.5912088
78,85809.4719439,107423.066739,-21613.5947955
79,86041.5821951,108580.989531,-22539.4073358
80,86273.6924495,109776.903363,-23503.2109133
81,86505.8027037,110999.202016,-24493.3993121
82,86737.9129563,112248.225173,-25510.3122166
83,86970.023209,113524.564646,-26554.5414369
84,87202.1334625,114829.068278,-27626.934816
85,87434.2437156,116162.834873,-28728.5911571
86,87666.3539692,117527.144958,-29860.7909889
87,87898.4642219,118923.592989,-31025.1287669
88,88130.574475,120354.014275,-32223.4398001
89,88362.6847285,121820.449517,-33457.7647882
90,88594.7949818,123325.133486,-34730.3385047
