OA, NHH, Npers, detached, semi, terraced, flat, zero_to_nine, Age_10_to_19, Age_20_to_29, Age_30_to_39, Age_40_to_49, Age_50_to_59, Age_60_to_69, Age_70_to_79, Age_80plus, car_none, car_one, car_two_plus, Economically_Active, Economically_Inactive, White, Asian, Black, Other, Good, Fair, Not_good, house_size_1, house_size_2, house_size_3, house_size_4, house_size_5, house_size_6, house_size_7, house_size_8_plus, house_represent_1, house_represent_0, with_LLTI, without_LLTI, SWD, Married, Prof_manag, Intermediate, Non_manual, unemployed, student, no_qualifications, Level_1_2, Level_3_plus, room_1_4, room_5_6, room_7_plus, Males, Females, Owned, Council, Private_rented
00MC,72869, 167719, 0.5,0.5,0.5,0.5,19209.8914454,20022.9891217,31388.9495348,25481.4844478,19103.2100247,17718.4631853,14562.2827404,10467.134729,9764.59818151,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,85389.8544448,82329.1489658,0.5,0.5,0.5,
29UL,59908, 125049, 0.5,0.5,0.5,0.5,11809.2641913,12622.8298808,10480.9425274,13553.2041839,13440.0694454,15648.5162114,18261.744741,15500.3082511,13732.0977718,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,62364.2494527,62684.7277514,0.5,0.5,0.5,
00MA,61063, 134316, 0.5,0.5,0.5,0.5,14986.1188723,16619.656956,14143.5005149,19545.9415396,18024.7422941,17510.5806174,14862.5698107,10407.2724484,8215.72429646,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,67444.5467164,66871.5606336,0.5,0.5,0.5,
00MG,132332, 308721, 0.5,0.5,0.5,0.5,39513.4077521,40327.4191615,29037.9454809,46367.9231825,43482.447739,36659.3763922,31649.0437339,24284.5919577,17398.3572518,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,152688.282019,156032.230632,0.5,0.5,0.5,
00MF,87210, 185325, 0.5,0.5,0.5,0.5,21127.6576865,24220.1166345,13446.6763336,23053.5694432,26118.4342331,24037.7494817,20784.9821287,16628.3338677,15907.750786,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,92544.3692225,92780.9013726,0.5,0.5,0.5,
00ME,77636, 170645, 0.5,0.5,0.5,0.5,18978.3713162,21693.964513,12954.6408358,22841.9608251,23375.1319294,21722.9768165,18746.2382797,14871.4816872,15460.359566,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,85102.2109537,85542.9148151,0.5,0.5,0.5,
00MD,61373, 166584, 0.5,0.5,0.5,0.5,23580.6287245,22351.6464179,21445.9901644,29776.6644885,23659.8407846,18137.0569491,13392.0167049,8201.58773466,6038.17248273,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,85861.4113165,80722.1931347,0.5,0.5,0.5,
29UD,53191, 119627, 0.5,0.5,0.5,0.5,14680.1834466,14100.2447537,12953.8054641,19382.1222764,16061.3547089,14131.1882485,11798.9176906,8662.44468474,7856.59247848,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,59829.2368159,59797.6169361,0.5,0.5,0.5,
29UE,60167, 123323, 0.5,0.5,0.5,0.5,11486.0472514,12949.3351239,9724.90067684,12587.7213854,13005.3179418,15863.3815497,18641.1308895,16031.2239079,13034.0998218,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,61297.1641863,62025.9943619,0.5,0.5,0.5,
29UG,51803, 118559, 0.5,0.5,0.5,0.5,13844.7959213,14654.8452671,12415.8150161,16085.8928253,15019.2092741,14482.6980419,12973.150518,10023.0870634,9059.69279933,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,58811.2539656,59747.9327608,0.5,0.5,0.5,
