Year, ExpectedPop, ProjectedPop, Residual
0,63705.03,63429.301,275.729
1,63705.03,63429.301,275.729
2,63705.03,63429.301,275.729
3,63705.03,63429.301,275.729
4,63705.03,63429.301,275.729
5,64087.123,63807.626,279.497
6,64510.969,64436.4907448,74.4782552119
7,64937.575,65054.8407142,-117.265714206
8,65386.324,65678.9857082,-292.661708192
9,65824.545,66279.3433338,-454.798333788
10,66266.129,66899.2553943,-633.126394291
11,66697.438,67498.2654022,-800.82740222
12,67125.807,68079.9023959,-954.095395928
13,67549.973,68676.9943108,-1127.02131082
14,67968.97,69263.246863,-1294.27686299
15,68381.85,69843.6255626,-1461.77556255
16,68787.633,70422.3030031,-1634.67000306
17,69185.51,70999.7168823,-1814.20688228
18,69574.68,71556.9028545,-1982.22285449
19,69954.634,72120.7949514,-2166.16095142
20,70325.16,72682.5650348,-2357.40503476
21,70686.072,73234.8850086,-2548.81300859
22,71037.46,73792.062878,-2754.60287804
23,71379.512,74339.9463217,-2960.43432168
24,71712.619,74878.1186811,-3165.49968111
25,72037.389,75402.4877443,-3365.09874431
26,72354.739,75936.9072783,-3582.16827832
27,72665.654,76469.9805442,-3804.32654416
28,72971.152,76992.6392001,-4021.48720011
29,73272.29,77529.4672303,-4257.17723032
30,74449.541,78199.7219513,-3750.18095133
31,74449.541,78858.5577551,-4409.01675507
32,74449.541,79506.9935405,-5057.45254052
33,74449.541,80145.7927919,-5696.25179189
34,75879.212,80806.0348115,-4926.82281149
35,75879.212,81456.7320633,-5577.52006331
36,75879.212,82098.1393319,-6218.92733193
37,75879.212,82730.0895803,-6850.87758032
38,75879.212,83352.7118419,-7473.49984189
39,77234.461,83997.0521162,-6762.59111622
40,77234.461,84630.8382763,-7396.3772763
41,77234.461,85254.2513125,-8019.79031247
42,77234.461,85867.4802765,-8633.0192765
43,77234.461,86470.8995408,-9236.4385408
44,78489.194,87094.0312042,-8604.83720424
45,78489.194,87707.2372731,-9218.04327311
46,78489.194,88311.1265214,-9821.93252143
47,78489.194,88906.3380907,-10417.1440907
48,78489.194,89493.5382502,-11004.3442502
49,79670.68,90106.2896783,-10435.6096783
50,79670.68,90711.770303,-11041.090303
51,79670.68,91310.7161819,-11640.0361819
52,79670.68,91903.937131,-12233.257131
53,79670.68,92492.2620705,-12821.5820705
54,79904.455,93082.9951688,-13178.5401688
55,80470.9361197,93693.7896095,-13222.8534898
56,80703.0463729,94301.5536633,-13598.5072904
57,80935.1566261,94907.0984478,-13971.9418217
58,81167.266879,95511.2296448,-14343.9627658
59,81399.3771323,96139.7498651,-14740.3727328
60,81631.4873853,96767.0625399,-15135.5751546
61,81863.5976389,97393.6732018,-15530.0755629
62,82095.7078925,98020.040645,-15924.3327525
63,82327.818146,98646.5207308,-16318.7025848
64,82559.9283987,99296.663282,-16736.7348833
65,82792.0386522,99946.4785474,-17154.4398952
66,83024.1489056,100596.202481,-17572.0535754
67,83256.2591584,101245.962847,-17989.7036889
68,83488.3694123,101895.931832,-18407.5624196
69,83720.4796649,102574.333898,-18853.8542334
70,83952.5899183,103252.39103,-19299.8011118
71,84184.7001717,103930.499449,-19745.799277
72,84416.8104232,104608.331681,-20191.5212575
73,84648.9206776,105285.740661,-20636.8199837
74,84881.0309307,105988.904967,-21107.8740364
75,85113.1411846,106691.532506,-21578.3913218
76,85345.2514373,107394.313548,-22049.0621111
77,85577.3616906,108097.459819,-22520.0981283
78,85809.4719439,108801.537024,-22992.0650805
79,86041.5821951,109511.493195,-23469.9109995
80,86273.6924495,110239.007284,-23965.3148341
81,86505.8027037,110974.080965,-24468.2782615
82,86737.9129563,111716.332655,-24978.4196988
83,86970.023209,112466.051285,-25496.0280756
84,87202.1334625,113223.635216,-26021.5017531
85,87434.2437156,113990.330482,-26556.0867668
86,87666.3539692,114765.867913,-27099.5139434
87,87898.4642219,115550.752544,-27652.2883225
88,88130.574475,116345.316953,-28214.7424777
89,88362.6847285,117149.952822,-28787.2680936
90,88594.7949818,117964.962441,-29370.167459
