OA, NHH, Npers, detached, semi, terraced, flat, zero_to_nine, Age_10_to_19, Age_20_to_29, Age_30_to_39, Age_40_to_49, Age_50_to_59, Age_60_to_69, Age_70_to_79, Age_80plus, car_none, car_one, car_two_plus, Economically_Active, Economically_Inactive, White, Asian, Black, Other, Good, Fair, Not_good, house_size_1, house_size_2, house_size_3, house_size_4, house_size_5, house_size_6, house_size_7, house_size_8_plus, house_represent_1, house_represent_0, with_LLTI, without_LLTI, SWD, Married, Prof_manag, Intermediate, Non_manual, unemployed, student, no_qualifications, Level_1_2, Level_3_plus, room_1_4, room_5_6, room_7_plus, Males, Females, Owned, Council, Private_rented
00MC,103086, 206946, 0.5,0.5,0.5,0.5,23581.4037872,23902.7016769,32902.2213716,28034.4154774,24442.9604076,22641.520033,18668.9741311,13004.0589952,19767.2871292,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,105724.50651,101221.036499,0.5,0.5,0.5,
29UL,81393, 157383, 0.5,0.5,0.5,0.5,14021.7927889,14157.5968075,13715.8790282,15014.1357209,15862.2253734,17177.4810797,20565.8027995,19760.6016997,27107.0586054,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,80201.7932879,77180.7806152,0.5,0.5,0.5,
00MA,84610, 150153, 0.5,0.5,0.5,0.5,15065.5716712,16548.9200385,14498.7576375,18043.4744082,18463.1363254,18916.5988831,17173.2224975,13607.0715999,17835.901679,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,77825.8057316,72326.8490086,0.5,0.5,0.5,
00MG,200532, 357417, 0.5,0.5,0.5,0.5,38700.235567,40557.4326354,28035.3588732,40651.2321816,44379.9826923,42758.9363966,39472.4761164,32667.0793689,50194.1304097,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,178936.625005,178480.239236,0.5,0.5,0.5,
00MF,124622, 192694, 0.5,0.5,0.5,0.5,16986.4585345,20855.8949106,11547.0078493,18165.7547411,23729.4733619,24413.5693242,22998.4478092,20480.7248385,33516.4714522,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,100946.165101,91747.6377208,0.5,0.5,0.5,
00ME,110529, 195259, 0.5,0.5,0.5,0.5,19743.1358038,22170.6295028,12848.5666754,20296.2181516,23193.1675159,23843.860165,21911.5762668,18795.1759741,32456.9002378,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,96558.2440312,98700.9862619,0.5,0.5,0.5,
00MD,92772, 197419, 0.5,0.5,0.5,0.5,26536.2047439,25582.7043122,22161.6640925,27020.3933006,25118.3523239,22483.1591936,18513.6819075,12764.6099653,17238.2388939,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,101445.095265,95973.913468,0.5,0.5,0.5,
29UD,85142, 151906, 0.5,0.5,0.5,0.5,16133.1795559,16163.8476441,14716.2081119,19159.3706239,19175.0119404,18315.5742914,16292.5117889,12613.579426,19336.9156466,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,76335.9172932,75570.281736,0.5,0.5,0.5,
29UE,78095, 154543, 0.5,0.5,0.5,0.5,14141.170178,15065.1911068,14342.7594139,15290.8838209,15609.4670976,16537.9645508,18694.0558974,18389.7731475,26471.6309914,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,78815.2952796,75727.6009247,0.5,0.5,0.5,
29UG,69489, 158632, 0.5,0.5,0.5,0.5,17514.6004937,18199.608909,16302.9753187,18165.8077466,18215.4241461,18285.755198,17027.6858828,14318.1294896,20602.497757,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,79449.2663752,79183.2185665,0.5,0.5,0.5,
29UN,99205, 202437, 0.5,0.5,0.5,0.5,19109.0294052,21485.7213646,19451.0081997,19644.1672112,20186.9008821,21888.6195401,25498.8526621,25028.2480807,30144.8080441,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,102376.478199,100060.877191,0.5,0.5,0.5,
29UB,93107, 178466, 0.5,0.5,0.5,0.5,18112.5039129,19164.4134548,15245.3638578,18121.4105841,20414.3326783,20675.44844,21566.0831495,19138.6905057,26027.3693212,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,91559.2866338,86906.3292704,0.5,0.5,0.5,
00ML,177858, 398087, 0.5,0.5,0.5,0.5,37373.7950051,40208.2743269,72248.4240667,55161.0036309,48976.800185,44381.2161171,36589.8853796,27036.4533682,36111.6237688,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,206231.229521,191856.246328,0.5,0.5,0.5,
00MS,168927, 335551, 0.5,0.5,0.5,0.5,36068.5195594,40958.4917825,68675.4167597,43497.4352169,35656.8955836,30718.5234081,27512.0685936,21377.1441282,31086.4660967,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,176543.054424,159007.906705,0.5,0.5,0.5,
42UH,100059, 157185, 0.5,0.5,0.5,0.5,15250.8356464,15916.6826234,14951.9735411,16212.0961175,15427.2813656,15318.4535535,18246.4975173,18198.1860287,27663.3360915,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,79817.0577797,77368.2847052,0.5,0.5,0.5,
