Year, ExpectedPop, ProjectedPop, Residual
0,63705.03,63429.301,275.729
1,63705.03,63429.301,275.729
2,63705.03,63429.301,275.729
3,63705.03,63429.301,275.729
4,63705.03,63429.301,275.729
5,64087.123,63807.626,279.497
6,64510.969,64510.969,1.1277734302e-09
7,64937.575,64937.575,-2.98314262182e-10
8,65386.324,65386.324,-4.43833414465e-10
9,65824.545,65824.545,5.52972778678e-10
10,66266.129,66266.129,1.01863406599e-09
11,66697.438,66697.438,2.91038304567e-11
12,67125.807,67125.807,-4.07453626394e-10
13,67549.973,67549.973,3.49245965481e-10
14,67968.97,67968.97,3.20142135024e-10
15,68381.85,68381.85,2.47382558882e-10
16,68787.633,68787.633,1.03318598121e-09
17,69185.51,69185.51,-1.60071067512e-10
18,69574.68,69574.68,-4.22005541623e-10
19,69954.634,69954.634,1.45519152284e-11
20,70325.16,70325.16,5.67524693906e-10
21,70686.072,70686.072,-6.83940015733e-10
22,71037.46,71037.46,1.45519152284e-11
23,71379.512,71379.512,-1.7462298274e-10
24,71712.619,71712.619,-7.27595761418e-11
25,72037.389,72037.389,0.0
26,72354.739,72354.739,3.63797880709e-10
27,72665.654,72665.654,-1.89174897969e-10
28,72971.152,72971.152,-5.82076609135e-11
29,73272.29,73272.29,-7.27595761418e-11
30,74449.541,74449.541,-1.01863406599e-10
31,74449.541,74449.541,-3.78349795938e-10
32,74449.541,74449.541,-1.89174897969e-10
33,74449.541,74449.541,7.42147676647e-10
34,75879.212,75879.212,9.16770659387e-10
35,75879.212,75879.212,1.0768417269e-09
36,75879.212,75879.212,-3.20142135024e-10
37,75879.212,75879.212,3.49245965481e-10
38,75879.212,75879.212,2.61934474111e-10
39,77234.461,77234.461,2.91038304567e-10
40,77234.461,77234.461,1.89174897969e-10
41,77234.461,77234.461,-1.7462298274e-10
42,77234.461,77234.461,-6.98491930962e-10
43,77234.461,77234.461,4.36557456851e-11
44,78489.194,78489.194,-4.94765117764e-10
45,78489.194,78489.194,-9.02218744159e-10
46,78489.194,78489.194,-2.47382558882e-10
47,78489.194,78489.194,-4.36557456851e-11
48,78489.194,78489.194,8.73114913702e-10
49,79670.68,79670.68,4.07453626394e-10
50,79670.68,79670.68,5.67524693906e-10
51,79670.68,79670.68,2.91038304567e-10
52,79670.68,79670.68,7.27595761418e-10
53,79670.68,79670.68,6.69388100505e-10
54,79904.455,79904.455,4.65661287308e-10
55,80470.9361197,80470.9361197,-1.30967237055e-10
56,80703.0463729,80703.0463729,1.30967237055e-10
57,80935.1566261,80935.1566261,1.45519152284e-11
58,81167.266879,81167.266879,-7.27595761418e-11
59,81399.3771323,81399.3771323,-1.44063960761e-09
60,81631.4873853,81631.4873853,-1.45519152284e-10
61,81863.5976389,81863.5976389,8.73114913702e-11
62,82095.7078925,82095.7078925,-1.7462298274e-10
63,82327.818146,82327.818146,5.3842086345e-10
64,82559.9283987,82559.9283987,1.60071067512e-10
65,82792.0386522,82792.0386522,6.69388100505e-10
66,83024.1489056,83024.1489056,-2.47382558882e-10
67,83256.2591584,83256.2591584,1.00408215076e-09
68,83488.3694123,83488.3694123,-2.18278728426e-10
69,83720.4796649,83720.4796649,6.11180439591e-10
70,83952.5899183,83952.5899183,2.91038304567e-10
71,84184.7001717,84184.7001717,-4.22005541623e-10
72,84416.8104232,84416.8104232,-1.45519152284e-10
73,84648.9206776,84648.9206776,-7.85803422332e-10
74,84881.0309307,84881.0309307,-2.91038304567e-10
75,85113.1411846,85113.1411846,-8.73114913702e-10
76,85345.2514373,85345.2514373,-6.2573235482e-10
77,85577.3616906,85577.3616906,-7.85803422332e-10
78,85809.4719439,85809.4719439,-2.18278728426e-10
79,86041.5821951,86041.5821951,-6.11180439591e-10
80,86273.6924495,86273.6924495,9.74978320301e-10
81,86505.8027037,86505.8027037,8.58562998474e-10
82,86737.9129563,86737.9129563,-9.60426405072e-10
83,86970.023209,86970.023209,-4.80213202536e-10
84,87202.1334625,87202.1334625,2.18278728426e-10
85,87434.2437156,87434.2437156,3.78349795938e-10
86,87666.3539692,87666.3539692,7.27595761418e-11
87,87898.4642219,87898.4642219,2.18278728426e-10
88,88130.574475,88130.574475,-1.14960130304e-09
89,88362.6847285,88362.6847285,8.73114913702e-11
90,88594.7949818,88594.7949818,-8.73114913702e-11
