Year,BirthMProj,BirthFProj,BirthMExp,BirthFExp,DeathMProj,DeathFProj,DeathMExp,DeathFExp,MigMProj,MigFProj,MigMExp,MigFExp
0,412.6,391.8,414.863,395.106,342.241290605,365.605251024,268.349,279.514,157.117290605,170.813251024,86.856,77.644
1,414.2,393.9,416.359,396.533,345.020105628,368.451403227,268.902,278.741,169.687177116,157.783658682,98.434,85.066
2,415.6,394.9,417.555,397.673,346.479751872,365.575960504,269.774,278.233,170.056100699,167.483002044,90.788,80.212
3,416.3,397.1,418.247,398.33,346.94560008,362.677355722,270.968,278.025,160.182391683,161.257682286,92.612,81.388
4,417.6,396.9,418.412,398.487,348.493273319,361.864051413,272.468,278.122,172.615231563,166.931347509,87.108,77.892
5,417.2,397.1,418.071,398.163,350.59417913,361.504409853,274.306,278.559,164.794264004,162.022751595,87.108,77.892
6,416.7,397.0,417.409,397.533,354.024884191,361.265420779,276.458,279.318,162.924833103,153.98436169,87.108,77.892
7,415.9,397.6,416.613,396.775,356.203200452,361.39840158,278.943,280.448,165.748111182,163.842440267,87.108,77.892
8,415.2,394.6,415.677,395.884,357.863313604,359.852227139,281.731,281.95,167.054842403,156.144937399,87.108,77.892
9,414.1,394.2,414.582,394.841,363.992733223,363.480559234,284.812,283.828,164.046408482,161.102365595,87.108,77.892
10,413.0,392.9,413.411,393.723,368.588478403,365.146918998,288.18,286.077,173.894597684,153.985503296,87.108,77.892
11,411.7,392.0,412.24,392.608,371.499205134,367.023034639,291.923,288.755,171.977746871,157.455148641,87.108,77.892
12,410.6,390.9,411.089,391.515,374.16857183,368.473856325,295.885,291.765,161.454265868,154.541110675,87.108,77.892
13,409.0,390.3,410.031,390.505,374.854764995,370.209391997,299.963,295.047,165.47523708,155.81177204,87.108,77.892
14,408.0,389.6,409.126,389.644,382.224182616,375.103430499,304.219,298.639,169.709109585,156.463042083,87.108,77.892
15,407.0,389.2,408.489,389.035,387.812931038,378.607711884,308.619,302.517,168.736877215,154.390513531,87.108,77.892
16,406.3,389.1,408.148,388.711,392.207534923,382.347141691,313.16,306.647,172.059188205,157.803590902,87.108,77.892
17,406.0,388.5,408.136,388.7,396.928285023,386.489908445,317.743,310.986,170.251194909,156.557109622,87.108,77.892
18,406.7,387.8,408.558,389.101,398.30917621,385.593068183,322.387,315.502,168.18810872,149.733247095,87.108,77.892
19,407.1,388.4,409.492,389.994,404.366225397,390.837755437,327.01,320.126,162.232215724,148.962616038,87.108,77.892
20,407.5,390.2,410.949,391.38,410.922691198,396.917042986,331.581,324.833,171.990398935,150.418820889,87.108,77.892
21,409.0,391.0,412.898,393.237,416.349659468,401.837747431,336.058,329.579,172.622933611,151.802995188,87.108,77.892
22,410.9,392.7,415.295,395.519,419.62207572,404.842337234,340.367,334.309,165.040704613,151.872809848,87.108,77.892
23,413.4,394.80296,422.506,402.386,424.675310388,410.484420485,350.086,345.493,174.591886075,155.590184989,87.108,77.892
24,415.144112194,397.183702894,422.506,402.386,415.794698325,401.960346033,350.086,345.493,170.775588119,149.513152899,87.108,77.892
25,422.487450882,404.317908189,422.506,402.386,430.84986082,416.560870742,350.086,345.493,171.029464782,148.885024255,87.108,77.892
26,423.380435279,405.280265947,422.506,402.386,438.381359789,423.84195836,350.086,345.493,171.283341445,148.25689561,87.108,77.892
27,424.337537345,406.303494818,434.245,413.567,445.229050185,430.322526709,364.424,362.454,171.537218108,147.628766966,87.108,77.892
28,425.238857502,407.272518399,434.245,413.567,426.741552575,412.455395691,364.424,362.454,171.791094771,147.000638322,87.108,77.892
29,433.934282348,415.707307002,434.245,413.567,442.350905532,427.078995576,364.424,362.454,172.044971434,146.372509677,87.108,77.892
30,434.248685783,416.113364968,434.245,413.567,449.220658403,433.274475773,364.424,362.454,172.298848097,145.744381033,87.108,77.892
31,434.242879505,416.210793433,434.245,413.567,455.62565162,438.955078292,364.424,362.454,172.55272476,145.116252388,87.108,77.892
32,434.012464534,416.091316307,440.23,419.267,461.626482562,444.207150058,376.491,376.956,172.806601423,144.488123744,87.108,77.892
33,433.497456285,415.697158165,440.23,419.267,441.13591546,424.107127564,376.491,376.956,173.060478086,143.859995099,87.108,77.892
34,440.199489969,422.223428518,440.23,419.267,456.44583036,438.324911123,376.491,376.956,173.314354749,143.231866455,87.108,77.892
35,438.948603127,421.120829316,440.23,419.267,463.406597325,444.675830377,376.491,376.956,173.568231412,142.60373781,87.108,77.892
36,437.549811165,419.87437518,440.23,419.267,469.893443627,450.630374841,376.491,376.956,173.822108076,141.975609166,87.108,77.892
