OA, NHH, Npers, detached, semi, terraced, flat, zero_to_nine, Age_10_to_19, Age_20_to_29, Age_30_to_39, Age_40_to_49, Age_50_to_59, Age_60_to_69, Age_70_to_79, Age_80plus, car_none, car_one, car_two_plus, Economically_Active, Economically_Inactive, White, Asian, Black, Other, Good, Fair, Not_good, house_size_1, house_size_2, house_size_3, house_size_4, house_size_5, house_size_6, house_size_7, house_size_8_plus, house_represent_1, house_represent_0, with_LLTI, without_LLTI, SWD, Married, Prof_manag, Intermediate, Non_manual, unemployed, student, no_qualifications, Level_1_2, Level_3_plus, room_1_4, room_5_6, room_7_plus, Males, Females, Owned, Council, Private_rented
00MC,118522, 234703, 0.5,0.5,0.5,0.5,26059.4654675,27761.9035269,34838.7190417,30030.9582009,29206.2829405,24936.8822408,20061.7951093,17991.7980612,23814.8834924,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,118855.433173,115847.254908,0.5,0.5,0.5,
29UL,93350, 184192, 0.5,0.5,0.5,0.5,16163.1715698,16384.5370523,15706.1445351,17374.0268644,18328.8563798,18873.2054925,23540.1658397,23627.9930871,34194.0459791,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,94553.6285819,89638.5182178,0.5,0.5,0.5,
00MA,97595, 155439, 0.5,0.5,0.5,0.5,14451.5629784,16715.4574743,13484.8470422,17437.9497954,19211.5637319,19069.2662792,17678.2731994,16025.6270625,21364.6834286,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,81810.1992402,73629.0317516,0.5,0.5,0.5,
00MG,235973, 358721, 0.5,0.5,0.5,0.5,35672.3551656,39934.1448712,21982.0596356,36961.1295316,45722.050548,40414.6899136,38484.7899451,39454.9448012,60095.1349686,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,180975.707958,177745.591422,0.5,0.5,0.5,
00MF,145700, 188146, 0.5,0.5,0.5,0.5,13805.1060708,18784.3888752,7237.53469255,15009.6640973,22707.6405984,22465.6668246,22646.8579126,23470.9619476,42018.3783667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,101982.125458,86164.0739278,0.5,0.5,0.5,
00ME,128393, 207659, 0.5,0.5,0.5,0.5,20211.1141806,23152.5840271,11201.5478164,20164.7276209,24148.7527656,23398.3201022,22691.9833303,22382.5293149,40307.8544772,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,101768.680128,105890.733507,0.5,0.5,0.5,
00MD,109080, 200292, 0.5,0.5,0.5,0.5,26858.4558764,27595.3683194,20773.3464313,25911.2969377,26896.9953461,21432.3329757,16705.5674793,15242.9102848,18875.8196991,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,101653.455193,98638.6381564,0.5,0.5,0.5,
29UD,100944, 160568, 0.5,0.5,0.5,0.5,15980.4966909,16468.4348982,13835.4805417,19328.9766923,20141.328455,18435.0155222,17689.4822192,15178.7507107,23509.9676434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,80958.3045407,79609.628833,0.5,0.5,0.5,
29UE,88666, 186245, 0.5,0.5,0.5,0.5,16604.0928852,17801.7650937,17326.1988034,18821.584691,19072.1212057,19049.68135,21834.1060684,22103.3206063,33631.6521398,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,96705.5399561,89538.9828874,0.5,0.5,0.5,
29UG,79692, 183719, 0.5,0.5,0.5,0.5,19517.5377842,20669.5099697,17957.2877003,20491.9311751,21029.6796424,20062.4330771,19373.0427019,17555.1968884,27062.6034536,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,92225.1814583,91494.0409345,0.5,0.5,0.5,
