Region,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023,2024,2024,2024,2025,2025,2025,2026,2026,2026,2027,2027,2027,2028,2028,2028,2029,2029,2029,2030,2030,2030,2031,2031,2031,2032,2032,2032,2033,2033,2033,2034,2034,2034,2035,2035,2035,2036,2036,2036,2037,2037,2037,2038,2038,2038,2039,2039,2039,2040,2040,2040,2041,2041,2041,2042,2042,2042,2043,2043,2043,2044,2044,2044,2045,2045,2045,2046,2046,2046,2047,2047,2047,2048,2048,2048,2049,2049,2049,2050,2050,2050,2051,2051,2051,2052,2052,2052,2053,2053,2053,2054,2054,2054,2055,2055,2055,2056,2056,2056,2057,2057,2057,2058,2058,2058,2059,2059,2059,2060,2060,2060,2061,2061,2061,2062,2062,2062,2063,2063,2063,2064,2064,2064,2065,2065,2065,2066,2066,2066,2067,2067,2067,2068,2068,2068,2069,2069,2069,2070,2070,2070,2071,2071,2071,2072,2072,2072,2073,2073,2073,2074,2074,2074,2075,2075,2075,2076,2076,2076,2077,2077,2077,2078,2078,2078,2079,2079,2079,2080,2080,2080,2081,2081,2081,2082,2082,2082,2083,2083,2083,2084,2084,2084,2085,2085,2085,2086,2086,2086,2087,2087,2087,2088,2088,2088,2089,2089,2089,2090,2090,2090,2091,2091,2091,2092,2092,2092,2093,2093,2093,2094,2094,2094,2095,2095,2095,2096,2096,2096,2097,2097,2097,2098,2098,2098,2099,2099,2099,2100,2100,2100,2101,2101,2101,2102,2102,2102,2103,2103,2103,2104,2104,2104,2105,2105,2105,2106,2106,2106,2107,2107,2107,2108,2108,2108,2109,2109,2109,2110,2110,2110,
00MC,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,Persons,Male,Female,
0-4,12.3,6.3,6.0,12.3,6.3,6.0,12.3,6.3,6.0,12.3,6.3,6.0,12.3,6.3,6.0,12.2,6.2,6.0,12.2529654062,6.32735098847,5.92561441777,12.1431921718,6.22230026431,5.92089190753,12.1347840724,6.21794905764,5.91683501479,11.9258928591,6.11335075172,5.81254210742,11.7138053462,6.00711393651,5.70669140973,
5-9,9.2,4.7,4.5,9.2,4.7,4.5,9.2,4.7,4.5,9.2,4.7,4.5,9.2,4.7,4.5,9.7,5.0,4.7,10.1438484101,5.22257541905,4.92127299103,10.5463958945,5.42390281459,5.12249307986,10.750332186,5.52594356922,5.22438861682,10.9543880685,5.62804451376,5.32634355476,10.9559705322,5.62887409936,5.32709643287,
10-14,7.8,3.9,3.9,7.8,3.9,3.9,7.8,3.9,3.9,7.8,3.9,3.9,7.8,3.9,3.9,7.8,3.9,3.9,7.83386312858,4.01736570696,3.81649742162,7.93640322504,4.11868918486,3.81771404019,8.24003859659,4.22056958703,4.01946900955,8.64387108974,4.42255075032,4.22132033942,9.04579961196,4.62355884688,4.42224076508,
15-19,9.3,4.7,4.6,9.3,4.7,4.6,9.3,4.7,4.6,9.3,4.7,4.6,9.3,4.7,4.6,9.6,4.8,4.8,9.54124355404,4.72040470568,4.82083884836,9.5404069862,4.72010974902,4.82029723719,9.44073520694,4.62038505503,4.82035015191,9.24100365408,4.52063913534,4.72036451874,9.23913270707,4.51985487878,4.71927782829,
20-24,14.6,7.1,7.5,14.6,7.1,7.5,14.6,7.1,7.5,14.6,7.1,7.5,14.6,7.1,7.5,14.4,7.1,7.3,14.8642531158,7.33169241521,7.53256070056,14.8606336713,7.22990307335,7.6307305979,14.9588395047,7.32901456224,7.62982494244,15.056892116,7.42806242505,7.62882969096,15.1512668442,7.42529770351,7.72596914072,
25-29,14.9,7.3,7.6,14.9,7.3,7.6,14.9,7.3,7.6,14.9,7.3,7.6,14.9,7.3,7.6,14.4,7.1,7.3,14.1612141171,7.13082412986,7.03038998719,13.9627285278,7.13145158096,6.8312769468,13.8660015829,7.13298278824,6.73301879466,13.6693157028,7.13454157083,6.534774132,13.6695527927,7.23447402561,6.43507876706,
30-34,15.2,7.8,7.4,15.2,7.8,7.4,15.2,7.8,7.4,15.2,7.8,7.4,15.2,7.8,7.4,15.2,7.8,7.4,14.9646872584,7.63299484323,7.33169241521,14.5649069839,7.43301409674,7.13189288711,14.1668887477,7.33395452046,6.83293422728,14.0688835275,7.3349112702,6.73397225728,13.8676505921,7.23418622012,6.63346437202,
35-39,12.3,6.5,5.8,12.3,6.5,5.8,12.3,6.5,5.8,12.3,6.5,5.8,12.3,6.5,5.8,12.2,6.4,5.8,12.4538336916,6.52821927382,5.92561441777,12.7567618517,6.62955106487,6.12721078687,13.0613903427,6.73175464142,6.32963570126,12.9660801406,6.63398245536,6.33209768521,12.9678450391,6.63471982026,6.33312521885,
40-44,11.1,5.8,5.3,11.1,5.8,5.3,11.1,5.8,5.3,11.1,5.8,5.3,11.1,5.8,5.3,11.1,5.8,5.3,11.1481898368,5.8251802751,5.32300956173,10.9499128881,5.72607845241,5.22383443569,10.8530348346,5.62769802226,5.22533681237,10.7562576096,5.529359201,5.22689840862,10.7571064722,5.52979907433,5.22730739785,
45-49,10.2,5.2,5.0,10.2,5.2,5.0,10.2,5.2,5.0,10.2,5.2,5.0,10.2,5.2,5.0,10.3,5.3,5.0,10.3447166954,5.32300956173,5.02170713371,10.34592003,5.32368639108,5.02223363889,10.4484773591,5.42506910414,5.023408255,10.3510689664,5.32645841665,5.02461054972,10.3513125197,5.42663525824,4.92467726146,
