Year, ExpectedPop, ProjectedPop, Residual
0,63705.03,63429.301,275.729
1,63705.03,63429.301,275.729
2,63705.03,63429.301,275.729
3,63705.03,63429.301,275.729
4,63705.03,63429.301,275.729
5,64087.123,63807.626,279.497
6,64510.969,64510.969,1.1277734302e-09
7,64937.575,64937.575,-2.98314262182e-10
8,65386.324,65386.324,-4.43833414465e-10
9,65824.545,65824.545,5.52972778678e-10
10,66266.129,66266.129,1.01863406599e-09
11,66697.438,66697.438,2.91038304567e-11
12,67125.807,67125.807,-4.07453626394e-10
13,67549.973,67549.973,3.49245965481e-10
14,67968.97,67968.97,3.20142135024e-10
15,68381.85,68381.85,2.47382558882e-10
16,68787.633,68787.633,1.03318598121e-09
17,69185.51,69185.51,-1.60071067512e-10
18,69574.68,69574.68,-4.22005541623e-10
19,69954.634,69954.634,1.45519152284e-11
20,70325.16,70325.16,5.67524693906e-10
21,70686.072,70686.072,-6.83940015733e-10
22,71037.46,71037.46,1.45519152284e-11
23,71379.512,71379.512,-1.7462298274e-10
24,71712.619,71712.619,-7.27595761418e-11
25,72037.389,72037.389,0.0
26,72354.739,72354.739,3.63797880709e-10
27,72665.654,72665.654,-1.89174897969e-10
28,72971.152,72971.152,-5.82076609135e-11
29,73272.29,73272.29,-7.27595761418e-11
30,74449.541,74449.541,-1.01863406599e-10
31,74449.541,74449.541,-3.78349795938e-10
32,74449.541,74449.541,-1.89174897969e-10
33,74449.541,74449.541,7.42147676647e-10
34,75879.212,75879.212,9.16770659387e-10
35,75879.212,75879.212,1.0768417269e-09
36,75879.212,75879.212,-3.20142135024e-10
37,75879.212,75879.212,3.49245965481e-10
38,75879.212,75879.212,2.61934474111e-10
39,77234.461,77234.461,2.91038304567e-10
40,77234.461,77234.461,1.89174897969e-10
41,77234.461,77234.461,-1.7462298274e-10
42,77234.461,77234.461,-6.98491930962e-10
43,77234.461,77234.461,4.36557456851e-11
44,78489.194,78489.194,-4.94765117764e-10
45,78489.194,78489.194,-9.02218744159e-10
46,78489.194,78489.194,-2.47382558882e-10
47,78489.194,78489.194,-4.36557456851e-11
48,78489.194,78489.194,8.73114913702e-10
49,79670.68,79670.68,4.07453626394e-10
50,79670.68,79670.68,5.67524693906e-10
51,79670.68,79670.68,2.91038304567e-10
52,79670.68,79670.68,7.27595761418e-10
53,79670.68,79670.68,6.69388100505e-10
54,79904.455,79904.455,4.65661287308e-10
55,80470.9361197,81650.0694749,-1179.1333552
56,80703.0463729,81983.1742653,-1280.1278924
57,80935.1566261,82316.2790566,-1381.1224305
58,81167.266879,82649.383845,-1482.116966
59,81399.3771323,82982.4886367,-1583.1115044
60,81631.4873853,83315.5934271,-1684.1060418
61,81863.5976389,83648.6982176,-1785.1005787
62,82095.7078925,83981.8030076,-1886.0951151
63,82327.818146,84314.9077991,-1987.0896531
64,82559.9283987,84648.0125892,-2088.0841905
65,82792.0386522,84981.1173797,-2189.0787275
66,83024.1489056,85314.2221694,-2290.0732638
67,83256.2591584,85647.3269613,-2391.0678029
68,83488.3694123,85980.4317508,-2492.0623385
69,83720.4796649,86313.5365428,-2593.0568779
70,83952.5899183,86646.6413312,-2694.0514129
71,84184.7001717,86979.7461221,-2795.0459504
72,84416.8104232,87312.850913,-2896.0404898
73,84648.9206776,87645.9557033,-2997.0350257
74,84881.0309307,87979.060494,-3098.0295633
75,85113.1411846,88312.1652851,-3199.0241005
76,85345.2514373,88645.270075,-3300.0186377
77,85577.3616906,88978.3748663,-3401.0131757
78,85809.4719439,89311.4796551,-3502.0077112
79,86041.5821951,89644.5844459,-3603.0022508
80,86273.6924495,89977.6892376,-3703.9967881
81,86505.8027037,90310.7940269,-3804.9913232
82,86737.9129563,90643.8988175,-3905.9858612
83,86970.023209,90977.0036086,-4006.9803996
84,87202.1334625,91310.1083987,-4107.9749362
85,87434.2437156,91643.2131895,-4208.9694739
86,87666.3539692,91976.3179786,-4309.9640094
87,87898.4642219,92309.4227706,-4410.9585487
88,88130.574475,92642.5275604,-4511.9530854
89,88362.6847285,92975.6323521,-4612.9476236
90,88594.7949818,93308.7371428,-4713.942161
