OA, NHH, Npers, detached, semi, terraced, flat, zero_to_nine, Age_10_to_19, Age_20_to_29, Age_30_to_39, Age_40_to_49, Age_50_to_59, Age_60_to_69, Age_70_to_79, Age_80plus, car_none, car_one, car_two_plus, Economically_Active, Economically_Inactive, White, Asian, Black, Other, Good, Fair, Not_good, house_size_1, house_size_2, house_size_3, house_size_4, house_size_5, house_size_6, house_size_7, house_size_8_plus, house_represent_1, house_represent_0, with_LLTI, without_LLTI, SWD, Married, Prof_manag, Intermediate, Non_manual, unemployed, student, no_qualifications, Level_1_2, Level_3_plus, room_1_4, room_5_6, room_7_plus, Males, Females, Owned, Council, Private_rented
00MC,104606, 210382, 0.5,0.5,0.5,0.5,23949.4731474,24343.5564625,33587.9125416,28467.1647953,24974.6098915,23293.7486686,18523.1807914,13290.8450048,19951.7916709,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,107565.570506,102816.712468,0.5,0.5,0.5,
29UL,82161, 158756, 0.5,0.5,0.5,0.5,14184.7113221,14386.3746995,13904.0108417,15177.1306255,16070.1858252,17470.7296954,20676.234341,19957.7315257,26928.4342009,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,80819.4286761,77936.1144009,0.5,0.5,0.5,
00MA,85624, 153882, 0.5,0.5,0.5,0.5,15501.0897389,17077.554182,15112.805648,18478.9707897,19012.8977966,19491.1379386,17401.8367702,13909.2159076,17896.8162171,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,79584.8299748,74297.4950139,0.5,0.5,0.5,
00MG,202506, 367465, 0.5,0.5,0.5,0.5,39887.7793134,42100.6157281,29823.5397002,41661.5204798,45869.737902,44388.541631,39897.6479415,33483.6004794,50352.3173056,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,183781.302581,183683.9979,0.5,0.5,0.5,
00MF,125795, 198444, 0.5,0.5,0.5,0.5,17715.1522151,21764.4047371,12572.0912544,18787.812917,24617.8262936,25364.9663944,23364.4202033,20891.1675547,33366.2088416,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,103520.000813,94924.0495986,0.5,0.5,0.5,
00ME,111614, 199495, 0.5,0.5,0.5,0.5,20221.6879397,22815.9749257,13559.9795543,20692.114859,23957.9749826,24550.3004578,22159.9594321,19178.1446883,32358.5134008,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,98713.3221011,100781.328139,0.5,0.5,0.5,
00MD,93922, 203178, 0.5,0.5,0.5,0.5,27116.2985232,26335.2660859,23124.2895776,27589.9167888,25948.1802305,23508.0809202,18786.8413776,13280.1481556,17488.9614448,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,104505.985164,98671.9979405,0.5,0.5,0.5,
29UD,85867, 155256, 0.5,0.5,0.5,0.5,16584.2566088,16691.2201363,15252.2566884,19563.9264503,19699.6871126,18783.6697663,16473.4475499,12928.8029742,19278.3443751,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,77963.6423131,77291.9693489,0.5,0.5,0.5,
29UE,78976, 155479, 0.5,0.5,0.5,0.5,14255.5151433,15229.4254198,14418.3376145,15333.5549456,15748.0773513,16751.1330991,18759.2131381,18597.7091089,26385.7042619,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,79127.3034665,76351.3666161,0.5,0.5,0.5,
29UG,70362, 160496, 0.5,0.5,0.5,0.5,17747.2341826,18512.0856215,16613.7292913,18353.120127,18528.237764,18617.8686478,17166.2124494,14539.5672654,20417.4639039,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,80315.545897,80179.9733558,0.5,0.5,0.5,
