Region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,
East Midlands,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,
0-4,260.6,260.6,260.6,260.6,260.6,261.1,264.242229376,265.531729201,265.651130802,265.060737383,265.699128677,
5-9,240.4,240.4,240.4,240.4,240.4,248.0,254.198815108,260.12536276,263.485378167,267.546901537,268.146962426,
10-14,240.7,240.7,240.7,240.7,240.7,236.7,235.015893857,235.548600564,239.512107475,246.278459324,254.588915092,
15-19,275.2,275.2,275.2,275.2,275.2,272.1,269.866541365,266.254244629,261.474265317,255.092900742,250.752922907,
20-24,300.3,300.3,300.3,300.3,300.3,302.7,305.922398585,303.611249076,300.637341796,298.162220944,295.117235593,
25-29,265.2,265.2,265.2,265.2,265.2,267.3,271.875224219,275.422578821,280.606118134,284.69195273,285.813019111,
30-34,259.7,259.7,259.7,259.7,259.7,264.9,267.656990227,268.177536764,269.032322776,270.288571907,273.283414088,
35-39,258.0,258.0,258.0,258.0,258.0,250.5,251.386659113,255.015951738,259.978784925,266.344001766,271.648244817,
40-44,309.2,309.2,309.2,309.2,309.2,302.8,293.468564894,285.247884115,273.561102755,261.572546975,254.72482217,
45-49,320.5,320.5,320.5,320.5,320.5,320.1,320.585783416,316.278036566,314.810438551,310.641789327,304.900695914,
50-54,289.1,289.1,289.1,289.1,289.1,297.7,306.424569299,314.149007378,318.615343938,320.983662824,321.178672837,
55-59,254.2,254.2,254.2,254.2,254.2,257.9,264.141795233,270.683397174,279.262891691,288.047143851,296.167026353,
60-64,258.0,258.0,258.0,258.0,258.0,252.2,250.8844884,248.193719613,247.937133306,250.484279757,254.976355901,
65-69,239.9,239.9,239.9,239.9,239.9,251.6,256.006629676,260.08974968,262.011178363,251.033750688,245.301850744,
70-74,172.2,172.2,172.2,172.2,172.2,177.6,187.610978515,195.844420755,205.808973189,225.381375395,236.402888423,
75-79,140.0,140.0,140.0,140.0,140.0,143.4,147.939492159,150.333636368,150.65423551,152.880990146,159.176690714,
80-84,105.4,105.4,105.4,105.4,105.4,105.9,107.866269232,109.842574127,111.644455664,113.653710156,117.340998679,
85-89,64.5,64.5,64.5,64.5,64.5,64.9,66.4874024503,67.9526804223,71.0391184883,72.9322440327,74.1129212093,
90+,34.6,34.6,34.6,34.6,34.6,35.7,37.6628035028,39.7220738907,41.4908884924,42.9634374879,44.6292728424,
Total,4287.7,4287.7,4287.7,4287.7,4287.7,4313.1,4359.24352863,4388.02443364,4417.21320934,4444.04067697,4473.9620385,
Births,na,na,na,na,na,na,52.4,52.3,52.5,52.5,52.6,
Deaths,na,na,na,na,na,na,48.22728652,49.1523768937,49.1170882928,49.2143368423,49.2980038354,
Migration,na,na,na,na,na,na,23.12728652,25.3287526504,24.9434754051,22.6638678344,26.7615017448,
West Midlands,
0-4,361.2,361.2,361.2,361.2,361.2,361.8,364.575937907,366.385510352,367.036436669,366.573895375,367.612861487,
5-9,337.0,337.0,337.0,337.0,337.0,345.7,352.925577357,357.56020375,361.740769664,366.623357964,366.721879845,
10-14,331.3,331.3,331.3,331.3,331.3,326.1,326.109661263,327.355251187,332.843587822,340.335326117,349.349778962,
15-19,363.3,363.3,363.3,363.3,363.3,360.3,355.838167494,351.536003452,344.776643568,336.616162505,331.278930062,
20-24,388.7,388.7,388.7,388.7,388.7,390.6,393.400536855,390.093763904,384.434616877,380.674197979,377.72498639,
25-29,367.1,367.1,367.1,367.1,367.1,370.3,378.034113025,382.972325346,391.260653344,397.550956206,399.849417576,
30-34,351.7,351.7,351.7,351.7,351.7,360.0,364.274635479,365.209528076,367.191307808,370.075607245,373.476158819,
35-39,342.0,342.0,342.0,342.0,342.0,332.6,333.441353678,339.18824289,346.079902786,354.174967842,361.989342312,
40-44,402.1,402.1,402.1,402.1,402.1,393.5,382.955386016,370.232890477,355.654638038,341.474614059,332.317605756,
45-49,406.9,406.9,406.9,406.9,406.9,407.6,409.068263112,405.765800138,404.515003572,400.163126786,391.31814238,
