OA, NHH, Npers, detached, semi, terraced, flat, zero_to_nine, Age_10_to_19, Age_20_to_29, Age_30_to_39, Age_40_to_49, Age_50_to_59, Age_60_to_69, Age_70_to_79, Age_80plus, car_none, car_one, car_two_plus, Economically_Active, Economically_Inactive, White, Asian, Black, Other, Good, Fair, Not_good, house_size_1, house_size_2, house_size_3, house_size_4, house_size_5, house_size_6, house_size_7, house_size_8_plus, house_represent_1, house_represent_0, with_LLTI, without_LLTI, SWD, Married, Prof_manag, Intermediate, Non_manual, unemployed, student, no_qualifications, Level_1_2, Level_3_plus, room_1_4, room_5_6, room_7_plus, Males, Females, Owned, Council, Private_rented
46UD,57119, 122801, 0.5,0.5,0.5,0.5,12900.4837199,13499.95201,11999.8662305,14299.997933,13699.9377977,17099.9405772,15499.9827284,13700.0656981,10100.2807176,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,60200.238829,62600.2685833,0.5,0.5,0.5,
46UF,66919, 143301, 0.5,0.5,0.5,0.5,15300.5790322,15599.9430698,12799.8596408,17200.0974277,16199.9634824,20199.9525049,18200.0439446,16400.111638,11400.361695,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,70000.4654586,73300.4469768,0.5,0.5,0.5,
46UC,67439, 149901, 0.5,0.5,0.5,0.5,16800.6256036,17399.9165843,12799.8164965,18700.1699833,18399.971187,22499.9484229,18699.9971603,15000.0885815,9600.25424363,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,74000.3825152,75900.4057479,0.5,0.5,0.5,
46UB,37080, 86000, 0.5,0.5,0.5,0.5,9400.35784412,11500.0020361,7099.79037742,9300.06125154,9599.97832101,12299.9915921,11199.9935278,9400.04482294,6200.16328792,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,43000.1958812,43000.1871797,0.5,0.5,0.5,
35UG,31800, 65600, 0.5,0.5,0.5,0.5,7300.27193661,7299.95165276,6599.9638992,8499.99478652,7199.96395328,9199.9567017,8399.97339775,6899.99785271,4200.06106936,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,32100.0809514,33500.0542985,0.5,0.5,0.5,
23UB,60639, 124100, 0.5,0.5,0.5,0.5,13200.4747098,14700.0402498,17299.9906054,17299.855116,14199.8838069,15299.9377599,12599.9729825,10600.0572779,8900.28021056,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,62000.2285384,62100.2641805,0.5,0.5,0.5,
23UC,44599, 91401, 0.5,0.5,0.5,0.5,8500.32302859,9499.97116176,7099.85943088,9400.07171067,10600.008406,13800.012959,12800.0348416,11700.0786492,8000.22186282,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,44800.3386697,46600.2433809,0.5,0.5,0.5,
23UF,56119, 119601, 0.5,0.5,0.5,0.5,12600.4942722,13299.9475024,8899.77526422,13700.1175632,14100.0080502,18299.9740176,15899.9605633,13600.0280708,9200.24176212,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,58800.3108897,60800.2361763,0.5,0.5,0.5,
23UG,41839, 88501, 0.5,0.5,0.5,0.5,9200.34041581,9199.92957994,7599.94715598,10900.0592256,10299.9925637,12499.9802874,11400.0302191,10300.0574691,7100.19730063,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,43500.2612281,45000.2729891,0.5,0.5,0.5,
23UD,41839, 89200, 0.5,0.5,0.5,0.5,8700.32731619,9900.00484735,8599.88271853,9299.96665602,9399.98758361,13299.9897927,12399.9996698,10700.0098145,6900.18794386,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,43800.1468451,45400.2094975,0.5,0.5,0.5,
