Year, ExpectedPop, ProjectedPop, Residual
0,61393.282,61402.861,-9.579
1,61393.282,61402.861,-9.579
2,61393.282,61402.861,-9.579
3,61393.282,61402.861,-9.579
4,61393.282,61402.861,-9.579
5,61793.692,61794.837,-1.14500000032
6,62222.403,62222.403,1.96450855583e-10
7,62649.014,62649.014,-3.49245965481e-10
8,63073.914,63073.914,5.82076609135e-11
9,63497.831,63497.831,7.56699591875e-10
10,63921.121,63921.121,-1.81898940355e-10
11,64344.156,64344.156,2.91038304567e-11
12,64773.434,64773.434,-1.52795109898e-10
13,65207.649,65207.649,8.0035533756e-11
14,65645.082,65645.082,-4.36557456851e-10
15,66083.824,66083.824,-4.80213202536e-10
16,66521.962,66521.962,-1.7462298274e-10
17,66957.701,66957.701,8.73114913702e-11
18,67389.398,67389.398,-5.52972778678e-10
19,67815.679,67815.679,-1.45519152284e-11
20,68235.368,68235.368,8.73114913702e-11
21,68647.528,68647.528,-1.30967237055e-10
22,69051.452,69051.452,-6.83940015733e-10
23,69446.572,69446.572,1.45519152284e-11
24,69832.443,69832.443,-2.91038304567e-10
25,70208.788,70208.788,-8.73114913702e-11
26,70575.666,70575.666,5.09317032993e-10
27,70933.3,70933.3,-4.07453626394e-10
28,71282.124,71282.124,5.96628524363e-10
29,71622.768,71622.768,4.65661287308e-10
30,72107.096,72107.096,-3.63797880709e-10
31,72107.096,72107.096,-5.82076609135e-11
32,72605.961,72605.961,1.16415321827e-10
33,73363.095,73363.095,5.82076609135e-11
34,73363.095,73363.095,-7.27595761418e-11
35,73363.095,73363.095,-8.73114913702e-11
36,73363.095,73363.095,5.67524693906e-10
37,74165.074,74165.074,3.34694050252e-10
38,74875.493,74875.493,-2.76486389339e-10
39,74875.493,74875.493,2.32830643654e-10
40,74875.493,74875.493,-2.03726813197e-10
41,74875.493,74875.493,6.2573235482e-10
42,75654.303,75654.303,5.52972778678e-10
43,76321.954,76321.954,-1.16415321827e-10
44,76321.954,76321.954,0.0
45,76321.954,76321.954,-1.01863406599e-10
46,76321.954,76321.954,2.32830643654e-10
47,77073.28,77073.28,1.45519152284e-10
48,77695.865,77695.865,7.56699591875e-10
49,77695.865,77695.865,1.60071067512e-10
50,77695.865,77695.865,-5.82076609135e-11
51,77695.865,77695.865,2.91038304567e-11
52,78414.473,78414.473,-5.3842086345e-10
53,78652.42,78652.42,-4.36557456851e-10
54,78931.87,78931.87,-7.85803422332e-10
55,79227.204869,79227.204869,2.61934474111e-10
56,79508.7364018,79508.7364018,4.51109372079e-10
57,79790.2679348,79790.2679348,2.91038304567e-11
58,80071.7994676,80071.7994676,-2.91038304567e-11
59,80353.3310002,80353.3310002,-4.36557456851e-11
60,80634.8625335,80634.8625335,9.16770659387e-10
61,80916.3940652,80916.3940652,3.49245965481e-10
62,81197.9255975,81197.9255975,2.91038304567e-11
63,81479.4571298,81479.4571298,-1.60071067512e-10
64,81760.9886637,81760.9886637,9.89530235529e-10
65,82042.5201955,82042.5201955,7.27595761418e-10
66,82324.0517277,82324.0517277,-1.45519152284e-10
67,82605.5832613,82605.5832613,-1.7462298274e-10
68,82887.1147934,82887.1147934,-2.18278728426e-10
69,83168.6463263,83168.6463263,-7.27595761418e-11
70,83450.1778582,83450.1778582,-7.27595761418e-11
71,83731.7093911,83731.7093911,4.94765117764e-10
72,84013.2409249,84013.2409249,-6.98491930962e-10
73,84294.772456,84294.772456,-7.27595761418e-10
74,84576.3039892,84576.3039892,6.98491930962e-10
75,84857.8355231,84857.8355231,-2.91038304567e-11
76,85139.3670541,85139.3670541,-2.32830643654e-10
77,85420.8985872,85420.8985872,-7.27595761418e-11
78,85702.4301202,85702.4301202,-5.82076609135e-11
79,85983.9616519,85983.9616519,-6.69388100505e-10
80,86265.4931843,86265.4931843,2.76486389339e-10
81,86547.0247186,86547.0247186,-2.91038304567e-11
82,86828.55625,86828.55625,-2.47382558882e-10
83,87110.0877823,87110.0877823,-1.45519152284e-11
84,87391.6193145,87391.6193145,1.0768417269e-09
85,87673.1508487,87673.1508487,5.96628524363e-10
86,87954.6823805,87954.6823805,-6.11180439591e-10
87,88236.2139134,88236.2139134,-3.49245965481e-10
88,88517.7454458,88517.7454458,1.04773789644e-09
89,88799.2769786,88799.2769786,2.32830643654e-10
90,89080.8085111,89080.8085111,-5.23868948221e-10
91,89362.3400435,89362.3400435,-7.1304384619e-10
92,89643.8715761,89643.8715761,-4.36557456851e-11
93,89925.4031093,89925.4031093,-1.16415321827e-10
94,90206.9346413,90206.9346413,5.3842086345e-10
95,90488.4661749,90488.4661749,1.16415321827e-10
96,90769.9977063,90769.9977063,4.36557456851e-10
