Region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,
East Midlands,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,
0-4,255.3,255.3,255.3,255.3,255.3,261.0,266.315010136,269.482200624,271.29881187,271.600018441,272.09979349,
5-9,240.5,240.5,240.5,240.5,240.5,240.7,243.213708093,248.486500228,254.899106664,263.700016148,269.499726957,
10-14,264.3,264.3,264.3,264.3,264.3,260.2,256.614463391,252.486400883,248.198813608,245.899702811,246.199486638,
15-19,296.8,296.8,296.8,296.8,296.8,295.3,290.816391091,284.384560315,279.598941979,275.799938826,272.299662938,
20-24,308.6,308.6,308.6,308.6,308.6,313.5,317.317884777,321.881991829,324.59884835,322.900088361,320.599828092,
25-29,269.9,269.9,269.9,269.9,269.9,279.2,288.116238904,295.683867321,302.998861133,309.899943374,314.299621219,
30-34,251.6,251.6,251.6,251.6,251.6,250.8,255.214384479,263.185640441,272.799027157,282.8000014,291.799699386,
35-39,317.8,317.8,317.8,317.8,317.8,306.5,296.216695465,283.184894266,271.198541722,263.799489585,263.199250272,
40-44,342.7,342.7,342.7,342.7,342.7,343.2,339.919158638,337.78126722,332.498758539,324.700026754,314.099781021,
45-49,316.6,316.6,316.6,316.6,316.6,325.6,334.118831718,339.281294451,343.398760703,345.099994322,344.799638105,
50-54,277.6,277.6,277.6,277.6,277.6,282.2,290.216357272,299.083653319,307.998889885,316.799997185,325.599667089,
55-59,273.9,273.9,273.9,273.9,273.9,269.9,267.115055229,267.28558532,269.798901126,274.699840823,280.299545482,
60-64,282.0,282.0,282.0,282.0,282.0,285.8,288.716272724,289.183742386,277.098270986,267.99941999,264.799334615,
65-69,208.0,208.0,208.0,208.0,208.0,217.0,227.012794971,237.586816756,258.199793993,270.200518331,274.899985364,
70-74,176.0,176.0,176.0,176.0,176.0,180.3,183.210326162,184.289941686,187.199211706,192.999959152,201.69984313,
75-79,145.3,145.3,145.3,145.3,145.3,145.5,146.108235001,148.19154691,151.099557753,155.700116619,159.59994677,
80-84,106.6,106.6,106.6,106.6,106.6,108.0,109.706183297,111.59328395,113.799693487,115.000104983,116.399961408,
85-89,66.7,66.7,66.7,66.7,66.7,68.3,68.8038779473,68.9956539364,69.3998281804,70.700072853,72.499969224,
90+,29.7,29.7,29.7,29.7,29.7,30.7,33.1018656985,36.0973727131,38.6999560707,40.300130843,42.1000745648,
Total,4429.9,4429.9,4429.9,4429.9,4429.9,4463.7,4501.85373499,4538.14621455,4574.78257491,4610.5993808,4646.79481576,
Births,na,na,na,na,na,na,53.5,53.3,53.1,53.3,53.5,
Deaths,na,na,na,na,na,na,53.2554346751,52.7831406331,52.7204276061,52.7188162893,52.7315379713,
Migration,na,na,na,na,na,na,37.6554346751,36.2772249434,36.026926246,35.2190391054,35.4313806941,
West Midlands,
0-4,337.0,337.0,337.0,337.0,337.0,343.9,348.819660291,353.076674878,354.998416466,353.799995752,353.299711353,
5-9,309.8,309.8,309.8,309.8,309.8,311.0,314.717738227,320.98264058,328.59882941,338.899988509,345.299611527,
10-14,334.8,334.8,334.8,334.8,334.8,330.7,326.418397703,319.882904058,313.698515287,310.799626773,311.199345162,
15-19,365.1,365.1,365.1,365.1,365.1,360.7,353.019897026,345.681374552,340.598774401,336.499985735,332.599651655,
20-24,367.9,367.9,367.9,367.9,367.9,372.8,376.521221616,380.678860885,381.498557625,377.900015396,373.899728446,
25-29,340.5,340.5,340.5,340.5,340.5,349.9,358.220190127,365.979922061,375.09867401,382.799997124,388.199570466,
30-34,307.8,307.8,307.8,307.8,307.8,306.2,311.71756913,320.982585428,331.198788375,343.499995817,353.199658873,
35-39,382.2,382.2,382.2,382.2,382.2,367.6,353.019897026,335.682283736,320.498293877,310.699381868,309.299079848,
40-44,406.0,406.0,406.0,406.0,406.0,405.6,402.922709665,398.977974643,391.598568254,380.600061726,367.199782673,
45-49,374.7,374.7,374.7,374.7,374.7,382.9,391.722078372,396.778232707,399.698522189,400.999964625,401.199561663,
50-54,332.2,332.2,332.2,332.2,332.2,335.9,342.419299552,351.780811615,360.798678058,368.599962582,376.799576523,
55-59,323.9,323.9,323.9,323.9,323.9,319.4,315.817800229,315.183047958,318.098753571,321.799842551,325.699485808,
60-64,327.0,327.0,327.0,327.0,327.0,329.8,331.018656985,330.18162894,317.498146341,308.99944309,304.499322299,
65-69,254.6,254.6,254.6,254.6,254.6,262.1,270.515246871,279.584552111,296.899547607,306.400431865,309.699894351,
70-74,217.7,217.7,217.7,217.7,217.7,223.3,225.912732969,225.887663446,227.499061862,233.59994264,241.299768423,
75-79,180.3,180.3,180.3,180.3,180.3,179.7,180.310162702,182.289657511,186.099513253,190.800182147,195.899957332,
80-84,130.5,130.5,130.5,130.5,130.5,131.6,133.907547342,136.091866518,139.099653458,140.800157476,141.799984715,
85-89,81.2,81.2,81.2,81.2,81.2,83.1,82.904672701,83.394783532,84.1998030041,86.1000996544,87.5999747203,
90+,35.6,35.6,35.6,35.6,35.6,37.7,40.6022884398,44.2968021677,46.8999203778,49.6001423276,51.6000798949,
Total,5408.8,5408.8,5408.8,5408.8,5408.8,5433.9,5460.50776697,5487.39426733,5514.57901743,5543.19921766,5570.29374573,
Births,na,na,na,na,na,na,71.0,71.0,70.5,70.4,71.0,
Deaths,na,na,na,na,na,na,63.1013469536,62.2580740245,62.5249334895,62.1107873027,62.6506229834,
Migration,na,na,na,na,na,na,18.4013469536,18.7511002355,18.9326014337,20.3110501535,18.75043481,
South West,
0-4,279.2,279.2,279.2,279.2,279.2,284.6,289.41631218,293.380597048,294.598652235,293.599971452,293.799743513,
5-9,272.9,272.9,272.9,272.9,272.9,271.8,272.915382149,276.984949282,284.799086036,293.400063284,299.099701381,
10-14,305.1,305.1,305.1,305.1,305.1,302.2,299.116858925,294.683986905,287.598539213,284.09962885,283.099435695,
15-19,336.5,336.5,336.5,336.5,336.5,335.0,331.918707714,327.182159085,323.298769488,320.199912281,317.399574729,
20-24,335.0,335.0,335.0,335.0,335.0,342.6,349.519699747,354.980244797,358.198679927,356.900029701,354.799731853,
25-29,295.5,295.5,295.5,295.5,295.5,304.6,315.117760773,323.282393208,333.498861267,344.800037149,351.69964686,
30-34,279.3,279.3,279.3,279.3,279.3,278.2,283.31596835,291.684056546,300.698859222,308.799960582,318.799672615,
35-39,349.6,349.6,349.6,349.6,349.6,338.9,329.318561163,316.682992799,304.998402781,297.399466481,297.299183937,
40-44,387.2,387.2,387.2,387.2,387.2,384.9,379.921413258,374.779340602,367.698616719,360.499999227,350.499702378,
45-49,364.7,364.7,364.7,364.7,364.7,374.0,383.521616174,389.678377054,395.298673128,394.000104002,391.699713946,
50-54,329.5,329.5,329.5,329.5,329.5,335.2,342.219288279,352.180645883,360.798614836,370.499936717,379.999570901,
55-59,331.8,331.8,331.8,331.8,331.8,326.0,322.818194788,322.782489104,326.198721423,332.199843266,337.299463878,
60-64,353.3,353.3,353.3,353.3,353.3,359.6,361.520376133,360.479653206,344.79788487,332.599310624,327.399198639,
65-69,267.0,267.0,267.0,267.0,267.0,278.7,291.016402364,305.582839228,330.799693145,346.000661736,352.200010703,
70-74,229.4,229.4,229.4,229.4,229.4,233.7,238.513443175,239.98677881,244.299002996,252.499949259,264.29975978,
75-79,196.8,196.8,196.8,196.8,196.8,196.3,197.011104006,198.788522398,201.799437187,206.800174761,212.099940138,
80-84,151.2,151.2,151.2,151.2,151.2,152.3,155.008736655,157.290311371,159.099612758,161.600188356,162.599975956,
85-89,100.9,100.9,100.9,100.9,100.9,103.3,104.10586765,103.293277509,104.099887973,104.600199703,107.000000871,
90+,46.7,46.7,46.7,46.7,46.7,48.2,52.9029817356,57.2955890324,60.8000920661,64.1003201202,67.4001820417,
Total,5211.6,5211.6,5211.6,5211.6,5211.6,5250.1,5299.19867522,5340.99920387,5383.38008727,5424.59975755,5468.49420981,
Births,na,na,na,na,na,na,56.6,56.5,56.8,57.0,57.2,
Deaths,na,na,na,na,na,na,80.9067514959,81.3188982029,81.1068728615,80.6565230568,80.2821674501,
Migration,na,na,na,na,na,na,73.1067514959,67.209771556,66.4172640832,64.8566815862,66.9818057551,
North East,
0-4,144.5,144.5,144.5,144.5,144.5,147.3,150.008454827,151.190041912,152.299357749,152.50002758,151.999894405,
5-9,134.5,134.5,134.5,134.5,134.5,134.6,135.607643164,138.392507455,142.199533036,145.800038335,148.799882771,
10-14,149.9,149.9,149.9,149.9,149.9,147.1,144.008116634,140.692469159,136.599290988,134.899788671,134.999680831,
15-19,172.6,172.6,172.6,172.6,172.6,170.6,168.009469406,163.591110909,159.799382573,156.49994843,153.499789748,
20-24,190.3,190.3,190.3,190.3,190.3,192.0,192.410844725,193.889130061,193.799271465,191.60001409,189.299862246,
25-29,161.5,161.5,161.5,161.5,161.5,166.5,171.409661049,176.990324945,182.299358203,186.000006221,187.999810384,
30-34,137.4,137.4,137.4,137.4,137.4,139.2,143.708099724,148.69196444,155.099457776,162.400002603,167.799820195,
35-39,171.0,171.0,171.0,171.0,171.0,164.6,158.108911388,150.192130083,142.699189823,139.09968723,140.399566747,
40-44,191.8,191.8,191.8,191.8,191.8,188.2,183.510343072,180.390088152,176.599375354,171.600034317,164.799894294,
45-49,188.7,188.7,188.7,188.7,188.7,191.1,193.610912363,194.78921745,193.699211161,190.899932589,187.299772178,
50-54,171.6,171.6,171.6,171.6,171.6,174.0,177.409999242,180.790124472,183.799313956,186.199960074,188.599755955,
55-59,162.5,162.5,162.5,162.5,162.5,161.1,160.209029755,161.391286314,163.899392515,167.1999643,169.999780799,
60-64,158.6,158.6,158.6,158.6,158.6,162.6,165.309317219,166.290716693,159.998988651,155.899649599,154.999598251,
65-69,119.8,119.8,119.8,119.8,119.8,121.0,123.906983687,128.593037861,140.09992036,148.400293085,152.79998139,
70-74,109.9,109.9,109.9,109.9,109.9,111.7,111.806301664,110.593948988,109.899494277,109.299944252,110.299906233,
75-79,90.5,90.5,90.5,90.5,90.5,90.9,91.0051292617,90.894923655,92.2997818876,94.3001069394,96.4999882019,
80-84,63.4,63.4,63.4,63.4,63.4,64.1,64.9036581218,66.2961157567,67.2998017453,68.700063829,69.5999965465,
85-89,37.3,37.3,37.3,37.3,37.3,37.9,38.8021869819,39.0976320262,39.6998871042,40.4000217095,41.2999629767,
90+,15.6,15.6,15.6,15.6,15.6,16.5,17.1009638503,18.9987096835,20.1999200099,21.2000238925,22.2000107483,
Total,2571.4,2571.4,2571.4,2571.4,2571.4,2581.0,2590.84602613,2601.75548002,2612.28992863,2622.89950775,2633.1969549,
Births,na,na,na,na,na,na,30.6,30.4,30.5,30.0,30.2,
Deaths,na,na,na,na,na,na,27.0958566351,26.5199149041,26.7968186169,26.8758368157,26.8302571316,
Migration,na,na,na,na,na,na,6.1958566351,7.31694279669,6.70001171691,7.47598207058,6.93020202782,
Northern Ireland,
0-4,119.327,119.327,119.327,119.327,119.327,122.066,124.148997328,125.789684687,126.317423549,125.610987684,125.121890441,
5-9,113.326,113.326,113.326,113.326,113.326,112.447,112.941365639,114.309855965,116.697593171,120.296995066,122.934851384,
10-14,123.201,123.201,123.201,123.201,123.201,122.3,120.769806868,118.530615617,115.831442624,113.849865919,112.90377717,
15-19,126.577,126.577,126.577,126.577,126.577,125.433,124.791033514,123.838295377,122.825544222,121.834984485,120.855865746,
20-24,132.88,132.88,132.88,132.88,132.88,132.914,131.11538997,128.454114064,126.376500958,123.77494161,122.054819585,
25-29,122.049,122.049,122.049,122.049,122.049,126.524,130.114333548,134.130511462,137.124546385,138.044071798,137.311959725,
30-34,113.294,113.294,113.294,113.294,113.294,112.857,114.80947093,116.578747415,119.473546147,124.103955053,128.218805261,
35-39,126.045,126.045,126.045,126.045,126.045,124.254,121.556851228,119.150590396,116.812456376,114.678877437,114.089783568,
40-44,131.333,131.333,131.333,131.333,131.333,130.496,129.283286708,128.616960704,127.446511157,125.965980588,124.096869552,
45-49,122.661,122.661,122.661,122.661,122.661,125.611,127.834205034,128.825946031,129.610518865,129.837986648,129.027859738,
50-54,107.691,107.691,107.691,107.691,107.691,110.166,113.382390496,116.346642565,118.877557732,121.076990559,124.004873064,
55-59,96.471,96.471,96.471,96.471,96.471,97.131,98.067527315,100.114569423,102.621608959,105.453968942,107.915854284,
60-64,91.369,91.369,91.369,91.369,91.369,91.845,92.817231396,93.5598510624,92.8585385243,93.0868915448,93.8328224834,
65-69,73.943,73.943,73.943,73.943,73.943,76.598,79.2744680942,82.0004259473,85.0447382088,86.2250297466,86.8729247828,
70-74,61.618,61.618,61.618,61.618,61.618,62.801,63.7815948797,64.3464931763,65.5227437516,68.2679782354,70.9149027739,
