OA, NHH, Npers, detached, semi, terraced, flat, zero_to_nine, Age_10_to_19, Age_20_to_29, Age_30_to_39, Age_40_to_49, Age_50_to_59, Age_60_to_69, Age_70_to_79, Age_80plus, car_none, car_one, car_two_plus, Economically_Active, Economically_Inactive, White, Asian, Black, Other, Good, Fair, Not_good, house_size_1, house_size_2, house_size_3, house_size_4, house_size_5, house_size_6, house_size_7, house_size_8_plus, house_represent_1, house_represent_0, with_LLTI, without_LLTI, SWD, Married, Prof_manag, Intermediate, Non_manual, unemployed, student, no_qualifications, Level_1_2, Level_3_plus, room_1_4, room_5_6, room_7_plus, Males, Females, Owned, Council, Private_rented
00MC,101251, 214496, 0.5,0.5,0.5,0.5,27561.5423434,27966.5577506,37343.3399634,31323.8341801,27504.093833,19970.3022167,14065.9130545,10498.2983145,18261.8813703,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,110687.288617,103808.474409,0.5,0.5,0.5,
29UL,89320, 171308, 0.5,0.5,0.5,0.5,17394.7687193,16782.5640116,14565.2202404,16498.0235064,17629.2007618,16795.9354836,21579.1110195,21256.6958388,28806.4320929,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,86807.9328485,84500.018826,0.5,0.5,0.5,
00MA,87300, 170712, 0.5,0.5,0.5,0.5,20017.4464327,21323.2463646,17064.8093065,21397.0049598,22365.6106064,19175.520514,17082.1030485,14041.0348031,18244.9298192,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,87677.9914714,83033.7143835,0.5,0.5,0.5,
00MG,200079, 408331, 0.5,0.5,0.5,0.5,52464.3405243,53188.5045364,33330.4542999,49638.0542296,55172.5339984,41916.8167308,39324.2042762,36434.4648737,46861.4154094,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,203749.585263,204581.203616,0.5,0.5,0.5,
00MF,129592, 229203, 0.5,0.5,0.5,0.5,25856.6405485,29372.7670904,14881.267785,23467.8670783,30316.9827451,25312.9971837,23474.5045208,22616.7812761,33903.3444398,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,118363.84198,110839.310688,0.5,0.5,0.5,
00ME,114890, 221119, 0.5,0.5,0.5,0.5,26190.3644452,28124.1436687,14500.879959,24610.1292496,28569.2685831,23765.3055499,22344.2054929,20830.4388974,32183.8377659,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,110166.535512,110952.038099,0.5,0.5,0.5,
00MD,88500, 218439, 0.5,0.5,0.5,0.5,32940.7184936,31261.6801897,24923.4986165,31603.7240046,30629.2341815,21683.2865687,17461.9318692,13201.867636,14733.0142951,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,113510.008557,104928.947298,0.5,0.5,0.5,
29UD,85133, 167600, 0.5,0.5,0.5,0.5,20459.1835301,20024.8043017,16832.9314955,22699.9343514,22449.3875629,17857.9745099,16730.9931939,13052.1772743,17492.3744343,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,84456.6628824,83143.0977716,0.5,0.5,0.5,
29UE,84949, 164811, 0.5,0.5,0.5,0.5,17770.1879482,17614.2475975,14526.3042756,15997.4612421,16473.347869,15438.0667383,19195.6567146,19826.5204667,27969.191579,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,83261.722903,81549.2615279,0.5,0.5,0.5,
29UG,72035, 167906, 0.5,0.5,0.5,0.5,21484.6480024,21561.0365436,17326.0523503,19958.3907258,20380.8069284,17442.7160023,16904.2634801,14490.1622918,18358.331401,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,84275.0993724,83631.3083534,0.5,0.5,0.5,
