Year, ExpectedPop, ProjectedPop, Residual
0,63705.03,63429.301,275.729
1,63705.03,63429.301,275.729
2,63705.03,63429.301,275.729
3,63705.03,63429.301,275.729
4,63705.03,63429.301,275.729
5,64087.123,63807.626,279.497
6,64510.969,64481.8384645,29.1305354753
7,64937.575,65147.3799708,-209.804970774
8,65386.324,65819.453561,-433.129560977
9,65824.545,66468.306038,-643.761037962
10,66266.129,67135.8346886,-869.70568856
11,66697.438,67780.894818,-1083.45681804
12,67125.807,68406.072246,-1280.26524598
13,67549.973,69044.1973597,-1494.22435965
14,67968.97,69668.6714947,-1699.70149467
15,68381.85,70282.2875457,-1900.43754566
16,68787.633,70889.9529425,-2102.3199425
17,69185.51,71492.8953292,-2307.38532921
18,69574.68,72071.7508715,-2497.07087154
19,69954.634,72654.6147452,-2699.98074519
20,70325.16,73228.6626211,-2903.50262107
21,70686.072,73787.5993239,-3101.52732386
22,71037.46,74346.7648188,-3309.30481883
23,71379.512,74892.7074642,-3513.19546418
24,71712.619,75427.9898412,-3715.37084115
25,72037.389,75943.2977031,-3905.90870307
26,72354.739,76464.027011,-4109.28801102
27,72665.654,76980.1436415,-4314.48964145
28,72971.152,77485.1531532,-4514.00115323
29,73272.29,78003.3988388,-4731.10883876
30,74449.541,78594.7756916,-4145.23469158
31,74449.541,79173.9961612,-4724.45516124
32,74449.541,79743.6090363,-5294.0680363
33,74449.541,80305.6240367,-5856.08303666
34,75879.212,80909.2838337,-5030.07183367
35,75879.212,81505.4603919,-5626.24839195
36,75879.212,82095.1310002,-6215.91900022
37,75879.212,82678.7807685,-6799.5687685
38,75879.212,83256.932681,-7377.72068103
39,77234.461,83879.8307588,-6645.36975883
40,77234.461,84492.4186008,-7257.95760078
41,77234.461,85094.5289919,-7860.06799189
42,77234.461,85685.7612726,-8451.30027257
43,77234.461,86265.5576496,-9031.09664957
44,78489.194,86883.8395726,-8394.64557262
45,78489.194,87486.2481839,-8997.0541839
46,78489.194,88073.0617603,-9583.86776032
47,78489.194,88644.7036781,-10155.5096781
48,78489.194,89201.7726091,-10712.5786091
49,79670.68,89797.6111429,-10126.9311429
50,79670.68,90377.6852528,-10707.0052528
51,79670.68,90943.5560883,-11272.8760883
52,79670.68,91496.9451397,-11826.2651397
53,79670.68,92039.766571,-12369.086571
54,79904.455,92584.4463865,-12679.9913865
55,80470.9361197,93162.2266742,-12691.2905545
56,80703.0463729,93731.3920154,-13028.3456425
57,80935.1566261,94293.8831132,-13358.7264871
58,81167.266879,94851.5172966,-13684.2504176
59,81399.3771323,95457.3202813,-14057.943149
60,81631.4873853,96056.6982793,-14425.210894
61,81863.5976389,96650.8100947,-14787.2124558
62,82095.7078925,97240.7200943,-15145.0122018
63,82327.818146,97827.2223262,-15499.4041802
64,82559.9283987,98461.1047954,-15901.1763967
65,82792.0386522,99088.8440649,-16296.8054127
66,83024.1489056,99711.053941,-16686.9050354
67,83256.2591584,100328.071931,-17071.8127731
68,83488.3694123,100940.090733,-17451.7213206
69,83720.4796649,101600.565018,-17880.0853536
70,83952.5899183,102251.931132,-18299.3412134
71,84184.7001717,102894.266256,-18709.5660842
72,84416.8104232,103527.4466,-19110.636177
73,84648.9206776,104151.36019,-19502.4395119
74,84881.0309307,104819.608628,-19938.5776973
75,85113.1411846,105475.659782,-20362.5185976
76,85345.2514373,106120.154022,-20774.9025844
77,85577.3616906,106753.426493,-21176.0648021
78,85809.4719439,107375.922055,-21566.4501112
79,86041.5821951,107999.048254,-21957.4660587
80,86273.6924495,108660.701293,-22387.0088432
81,86505.8027037,109323.101982,-22817.299278
82,86737.9129563,109986.884922,-23248.971966
83,86970.023209,110652.31245,-23682.2892406
84,87202.1334625,111319.740695,-24117.607233
85,87434.2437156,111988.390029,-24554.1463135
86,87666.3539692,112659.077815,-24992.7238456
87,87898.4642219,113332.291872,-25433.8276503
88,88130.574475,114008.466636,-25877.8921608
89,88362.6847285,114687.935787,-26325.251059
90,88594.7949818,115371.005348,-26776.2103662
