OA, NHH, Npers, detached, semi, terraced, flat, zero_to_nine, Age_10_to_19, Age_20_to_29, Age_30_to_39, Age_40_to_49, Age_50_to_59, Age_60_to_69, Age_70_to_79, Age_80plus, car_none, car_one, car_two_plus, Economically_Active, Economically_Inactive, White, Asian, Black, Other, Good, Fair, Not_good, house_size_1, house_size_2, house_size_3, house_size_4, house_size_5, house_size_6, house_size_7, house_size_8_plus, house_represent_1, house_represent_0, with_LLTI, without_LLTI, SWD, Married, Prof_manag, Intermediate, Non_manual, unemployed, student, no_qualifications, Level_1_2, Level_3_plus, room_1_4, room_5_6, room_7_plus, Males, Females, Owned, Council, Private_rented
00MC,64287, 159199, 0.5,0.5,0.5,0.5,16017.8317795,16015.0520236,45992.3882,26992.9942981,8889.13339574,12521.2104628,12158.2230987,9568.99820203,11043.3681034,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,82696.0249066,76503.1746572,0.5,0.5,0.5,
29UL,66945, 137438, 0.5,0.5,0.5,0.5,11956.4305046,13285.8744526,9350.93202488,14413.6398236,15800.4297203,17264.429113,22426.4876133,17133.9060411,15805.7353916,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,68339.7540429,69098.110642,0.5,0.5,0.5,
00MA,65960, 140979, 0.5,0.5,0.5,0.5,14781.9587993,17350.9271007,14219.4036316,25352.869823,20075.176988,16698.8753251,13491.634251,9749.48617548,9258.61301373,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,71445.4318433,69533.5132645,0.5,0.5,0.5,
00MG,145222, 332165, 0.5,0.5,0.5,0.5,43728.937916,41879.2835154,24838.992808,64044.2443811,47496.5743772,34634.1436044,31868.0223659,23817.2023011,19857.1690675,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,163885.128426,168279.441911,0.5,0.5,0.5,
00MF,98672, 203301, 0.5,0.5,0.5,0.5,24096.339962,29026.5499484,7137.53329142,29589.7541343,33912.2215561,24093.5598858,19824.0499731,16470.8544288,19150.0792424,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,101589.163258,101711.779164,0.5,0.5,0.5,
00ME,86536, 185125, 0.5,0.5,0.5,0.5,20586.1294936,25053.1428157,7881.14145989,30538.6346751,28660.6569627,21693.2029737,17885.1483092,14335.4779549,18491.2114276,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,92481.9338156,92642.8122568,0.5,0.5,0.5,
00MD,60777, 166415, 0.5,0.5,0.5,0.5,22860.3690365,18648.5065537,23489.5408738,41866.4433826,21313.7860948,15030.6120361,11189.5745468,6402.81258737,5613.26415845,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,87350.6835791,79064.2256911,0.5,0.5,0.5,
29UD,58655, 128541, 0.5,0.5,0.5,0.5,14172.364926,14366.5065852,14020.6203182,26657.4744864,18044.5800096,13955.7252123,11030.0965056,8016.72675324,8277.19192307,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,65002.0361385,63539.250581,0.5,0.5,0.5,
29UE,64748, 131221, 0.5,0.5,0.5,0.5,11935.6883333,13816.9185692,6972.6081397,12493.7469969,14045.0268554,17130.040568,22317.0572995,17835.5805028,14674.1441087,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,65321.2905329,65899.5208405,0.5,0.5,0.5,
29UG,55210, 125430, 0.5,0.5,0.5,0.5,14392.9114865,15484.9764309,11786.6317617,19174.2047789,17110.8218292,14797.786081,12854.9658377,9616.52394471,10211.025575,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,62268.9943128,63160.8534129,0.5,0.5,0.5,
29UN,85123, 179579, 0.5,0.5,0.5,0.5,17774.3345391,21573.1282517,13534.6834805,18542.3271224,20436.5129722,22317.2562854,28186.631645,22036.6727605,15177.674693,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,85395.0033349,94184.218415,0.5,0.5,0.5,
29UB,72751, 161252, 0.5,0.5,0.5,0.5,18418.5526387,19119.3881228,9304.63800712,21513.0042337,22091.9464041,19758.1253095,20069.8090713,16136.5996117,14839.5508596,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,78843.6562543,82407.9580043,0.5,0.5,0.5,
00ML,131457, 326195, 0.5,0.5,0.5,0.5,24003.5405498,34210.3480871,96241.6785691,45211.2798586,35339.5474019,30171.5291631,25305.5641079,17106.6097933,18604.8123545,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,170364.383573,155830.526312,0.5,0.5,0.5,
00MS,104074, 268890, 0.5,0.5,0.5,0.5,22985.3327509,34879.887499,97336.7892401,20423.9775,16650.6240167,21693.262179,21993.4001476,15724.2173994,17202.7123598,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,140417.848275,128472.354818,0.5,0.5,0.5,
42UH,79020, 136915, 0.5,0.5,0.5,0.5,12126.0117775,13387.7594275,7501.31803273,12956.785981,13709.7020958,16889.006712,22996.1754433,19231.0516856,18116.8304706,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,67081.1833175,69833.4583087,0.5,0.5,0.5,
47UF,72512, 145268, 0.5,0.5,0.5,0.5,13900.8009555,14595.2779862,5857.06709081,13588.2212574,17925.0849527,20326.0639608,22493.280043,18578.5048526,18003.7318057,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,71779.4323325,73488.6005722,0.5,0.5,0.5,
00MW,98576, 178698, 0.5,0.5,0.5,0.5,15931.8649729,18779.7640077,8357.72359847,14591.352243,19313.0713796,24459.9259586,31200.7154656,24127.2799093,21936.4708229,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,88738.9655936,89959.2027644,0.5,0.5,0.5,
11UB,101686, 235774, 0.5,0.5,0.5,0.5,27731.5370397,29343.3000476,12231.8311136,35096.6378004,35371.8559428,29056.6578669,26766.8535431,20728.8982853,19446.0667816,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,115860.828206,119912.810215,0.5,0.5,0.5,
SCOT,-1000, 5909715, 0.5,0.5,0.5,0.5,594321.64777,617729.534638,793168.262797,860597.107592,696766.777124,700274.204151,744047.746164,521174.04995,381635.952449,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2879701.98465,3030013.29798,0.5,0.5,0.5,
29UH,91365, 214168, 0.5,0.5,0.5,0.5,22488.1147915,23071.6423292,18772.7493647,32443.3610602,28665.3278566,25626.3397858,24474.84967,19343.8983596,19282.1934224,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,106030.259677,108138.216962,0.5,0.5,0.5,
42UC,35339, 84002, 0.5,0.5,0.5,0.5,8726.18226266,9196.86179144,15879.1949156,13051.8804923,4807.7002142,7497.69791667,10554.039071,7897.10571926,6390.9346116,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,42198.3776693,41803.2193255,0.5,0.5,0.5,
42UB,56356, 109386, 0.5,0.5,0.5,0.5,10036.2588618,12837.6182102,2024.92173738,8648.6816942,13134.5179128,14328.7006111,17714.1717774,16033.7919982,14627.2222988,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,51998.854031,57387.031071,0.5,0.5,0.5,
42UE,65906, 126043, 0.5,0.5,0.5,0.5,11411.5771239,13184.7602003,3298.10463051,12289.1297721,15164.1471462,17353.6130839,21350.8020917,17092.5168972,14898.7893593,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,62030.191973,64013.2483322,0.5,0.5,0.5,
42UD,79211, 154906, 0.5,0.5,0.5,0.5,16375.9880142,16741.1658816,24903.8994461,26205.4414986,14099.9300834,16563.5071173,15932.75748,12262.6240494,11820.6290935,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,77660.2881179,77245.6545461,0.5,0.5,0.5,
42UG,94785, 162454, 0.5,0.5,0.5,0.5,14557.540161,18189.5643831,2693.37096529,12201.4137848,19414.4954479,22042.459109,27546.2491076,23503.4684701,22305.0203891,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,79421.8323111,83031.7495068,0.5,0.5,0.5,
42UF,63482, 133289, 0.5,0.5,0.5,0.5,13282.888064,14419.8877593,10589.8612548,16423.1289389,13731.6694335,15108.0088069,17404.4682318,15628.3015283,16701.256399,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,66271.2128949,67018.2575216,0.5,0.5,0.5,
00FP,21958, 48639, 0.5,0.5,0.5,0.5,3619.07873578,7739.13468605,1334.42587948,4755.32123578,5237.64168745,5864.17356117,7363.53297375,6008.59933611,6717.15772754,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,24385.5947188,24253.4711043,0.5,0.5,0.5,
23UB,65656, 142592, 0.5,0.5,0.5,0.5,12536.9768395,17501.0848383,26614.6167943,17954.6672736,12504.9733989,13959.9181926,14604.1859979,12750.7796668,14164.7596238,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,70538.1637779,72053.7988478,0.5,0.5,0.5,
23UC,56249, 107672, 0.5,0.5,0.5,0.5,9921.69956336,12320.4008815,3792.86104439,7823.71728706,14372.6511012,14429.3332108,16474.1133901,14697.3691382,13839.4625299,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,51521.4185892,56150.1895573,0.5,0.5,0.5,
