Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,
East Midlands,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,
0-4,260.6,260.6,260.6,260.6,260.6,261.1,263.623524981,264.978766617,262.800530129,258.751731546,257.949899929,
5-9,240.4,240.4,240.4,240.4,240.4,248.0,257.229646023,268.58095699,273.043858415,279.364803932,276.693276502,
10-14,240.7,240.7,240.7,240.7,240.7,236.7,225.862103933,223.496667986,230.136111806,244.194128219,262.491964536,
15-19,275.2,275.2,275.2,275.2,275.2,272.1,274.906731748,277.151048111,276.185905425,270.955405413,271.269862987,
20-24,300.3,300.3,300.3,300.3,300.3,302.7,318.500230679,323.362151416,326.238943567,330.655760993,334.240169172,
25-29,265.2,265.2,265.2,265.2,265.2,267.3,266.776763515,266.494906503,270.58692849,271.648501393,264.995247287,
30-34,259.7,259.7,259.7,259.7,259.7,264.9,268.691923192,269.5357628,271.14203798,273.777479591,281.157124838,
35-39,258.0,258.0,258.0,258.0,258.0,250.5,245.712482606,250.954353365,259.601591572,271.923888753,281.568981644,
40-44,309.2,309.2,309.2,309.2,309.2,302.8,292.814624682,289.062702132,275.912161624,261.849972153,261.458874599,
45-49,320.5,320.5,320.5,320.5,320.5,320.1,324.704803073,320.140154577,322.851221574,318.285294121,309.640585309,
50-54,289.1,289.1,289.1,289.1,289.1,297.7,311.835381741,326.558222369,332.349565944,332.427259319,326.831776497,
55-59,254.2,254.2,254.2,254.2,254.2,257.9,261.005520836,267.632190743,279.362245861,291.452177355,301.819636056,
60-64,258.0,258.0,258.0,258.0,258.0,252.2,247.89188608,242.382109188,242.857506976,250.429220912,263.010012475,
65-69,239.9,239.9,239.9,239.9,239.9,251.6,266.298388287,282.259491416,291.645345584,266.262273731,254.465073628,
70-74,172.2,172.2,172.2,172.2,172.2,177.6,185.220898843,190.014066141,199.151049451,233.703605212,245.849978379,
75-79,140.0,140.0,140.0,140.0,140.0,143.4,152.419739678,156.521078718,154.31806875,156.663966229,169.575704015,
80-84,105.4,105.4,105.4,105.4,105.4,105.9,110.77582721,115.524393763,118.676097198,121.745636416,129.088742439,
85-89,64.5,64.5,64.5,64.5,64.5,64.9,70.1714530308,74.5719664794,82.4707120302,86.7955025502,89.2010271141,
90+,34.6,34.6,34.6,34.6,34.6,35.7,38.404740579,44.681080183,51.4570239136,57.9805153464,65.3509044215,
Total,4287.7,4287.7,4287.7,4287.7,4287.7,4313.1,4382.84667072,4453.9020695,4520.78690629,4578.86712318,4646.65884183,
Births,na,na,na,na,na,na,49.78,49.685,49.875,49.875,49.97,
Deaths,na,na,na,na,na,na,44.0421194739,48.3264586297,51.713145164,54.623443964,56.3599291231,
Migration,na,na,na,na,na,na,61.2873092779,67.1211945235,66.1002098236,60.0592497612,70.9179796236,
West Midlands,
0-4,361.2,361.2,361.2,361.2,361.2,361.8,360.80988345,362.186186483,359.683878171,354.246344961,352.669197518,
5-9,337.0,337.0,337.0,337.0,337.0,345.7,355.544598032,362.476301467,368.085046029,375.553279687,370.590662345,
10-14,331.3,331.3,331.3,331.3,331.3,326.1,315.985916246,312.751521029,320.640193301,333.827518772,351.254625091,
15-19,363.3,363.3,363.3,363.3,363.3,360.3,355.866914141,355.896386042,349.262802517,338.887574325,336.171550224,
20-24,388.7,388.7,388.7,388.7,388.7,390.6,403.797172204,405.309945061,400.432629198,400.702890939,403.210141107,
25-29,367.1,367.1,367.1,367.1,367.1,370.3,380.099914477,386.691904518,402.006855399,412.008957578,411.668187602,
30-34,351.7,351.7,351.7,351.7,351.7,360.0,364.229533239,363.645890282,365.670883177,370.045215247,375.975403868,
35-39,342.0,342.0,342.0,342.0,342.0,332.6,322.633158875,329.310095083,338.853659521,351.540427033,363.663222748,
40-44,402.1,402.1,402.1,402.1,402.1,393.5,382.380139269,369.773609413,351.974604881,335.095507438,331.590870159,
