Year, ExpectedPop, ProjectedPop, Residual
0,63705.03,63429.301,275.729
1,63705.03,63429.301,275.729
2,63705.03,63429.301,275.729
3,63705.03,63429.301,275.729
4,63705.03,63429.301,275.729
5,64087.123,63807.626,279.497
6,64510.969,64806.5846431,-295.615643057
7,64937.575,65741.6054346,-804.030434575
8,65386.324,66657.5498595,-1271.22585949
9,65824.545,67501.2949877,-1676.74998772
10,66266.129,68365.9641042,-2099.8351042
11,66697.438,69183.5452672,-2486.10726721
12,67125.807,69956.5898843,-2830.78288427
13,67549.973,70751.277016,-3201.30401602
14,67968.97,71524.5732644,-3555.60326437
15,68381.85,72280.5490643,-3898.69906434
16,68787.633,73049.2958858,-4261.66288581
17,69185.51,73813.233683,-4627.72368301
18,69574.68,74533.8326736,-4959.15267364
19,69954.634,75267.5704813,-5312.9364813
20,70325.16,75991.8200231,-5666.66002308
21,70686.072,76709.3479056,-6023.27590556
22,71037.46,77432.7642485,-6395.30424854
23,71379.512,78136.4839419,-6756.97194191
24,71712.619,78821.5887329,-7108.96973292
25,72037.389,79470.29073,-7432.90172997
26,72354.739,80151.5485235,-7796.80952345
27,72665.654,80831.116927,-8165.462927
28,72971.152,81488.4935268,-8517.34152678
29,73272.29,82174.5228543,-8902.23285427
30,74449.541,83057.5609774,-8608.01997739
31,74449.541,83907.7159666,-9458.1749666
32,74449.541,84728.5579874,-10279.0169874
33,74449.541,85522.3232661,-11072.7822661
34,75879.212,86341.8739013,-10462.6619013
35,75879.212,87136.7613251,-11257.5493251
36,75879.212,87916.6414709,-12037.4294709
37,75879.212,88675.8843229,-12796.6723229
38,75879.212,89414.7333035,-13535.5213035
39,77234.461,90189.7324924,-12955.2714924
40,77234.461,90935.9474762,-13701.4864762
41,77234.461,91663.3082745,-14428.8472745
42,77234.461,92367.1255639,-15132.6645639
43,77234.461,93049.4885987,-15815.0275987
44,78489.194,93766.5656698,-15277.3716698
45,78489.194,94450.8835423,-15961.6895423
46,78489.194,95115.1700587,-16625.9760587
47,78489.194,95758.9253168,-17269.7313168
48,78489.194,96383.9528077,-17894.7588077
49,79670.68,97051.193716,-17380.513716
50,79670.68,97695.9698671,-18025.2898671
51,79670.68,98312.0264751,-18641.3464751
52,79670.68,98911.5343038,-19240.8543038
53,79670.68,99496.3973621,-19825.7173621
54,79904.455,100080.69874,-20176.2437401
55,80470.9361197,100699.036858,-20228.100738
56,80703.0463729,101298.518623,-20595.4722505
57,80935.1566261,101887.529511,-20952.3728853
58,81167.266879,102467.585783,-21300.3189045
59,81399.3771323,103097.92823,-21698.5510979
60,81631.4873853,103720.694363,-22089.2069782
61,81863.5976389,104324.660341,-22461.0627023
62,82095.7078925,104922.217461,-22826.509568
63,82327.818146,105514.889819,-23187.0716726
64,82559.9283987,106159.176336,-23599.2479371
65,82792.0386522,106792.874165,-24000.8355126
66,83024.1489056,107419.410717,-24395.2618112
67,83256.2591584,108041.413539,-24785.1543804
68,83488.3694123,108659.446836,-25171.0774235
69,83720.4796649,109336.974393,-25616.494728
70,83952.5899183,109999.369546,-26046.7796275
71,84184.7001717,110665.16181,-26480.4616381
72,84416.8104232,111324.005549,-26907.195126
73,84648.9206776,111977.509094,-27328.5884167
74,84881.0309307,112689.594584,-27808.5636536
75,85113.1411846,113394.217073,-28281.0758885
76,85345.2514373,114100.404501,-28755.1530638
77,85577.3616906,114800.911271,-29223.5495802
78,85809.4719439,115497.752424,-29688.28048
79,86041.5821951,116205.355099,-30163.772904
80,86273.6924495,116968.03691,-30694.3444606
81,86505.8027037,117751.533374,-31245.7306704
82,86737.9129563,118550.706385,-31812.7934291
83,86970.023209,119367.024342,-32397.001133
84,87202.1334625,120200.282199,-32998.1487361
85,87434.2437156,121052.500235,-33618.2565191
86,87666.3539692,121927.058575,-34260.7046063
87,87898.4642219,122823.353475,-34924.8892529
88,88130.574475,123740.888972,-35610.3144966
89,88362.6847285,124677.712374,-36315.0276453
90,88594.7949818,125637.068569,-37042.2735877
