OA, NHH, Npers, detached, semi, terraced, flat, zero_to_nine, Age_10_to_19, Age_20_to_29, Age_30_to_39, Age_40_to_49, Age_50_to_59, Age_60_to_69, Age_70_to_79, Age_80plus, car_none, car_one, car_two_plus, Economically_Active, Economically_Inactive, White, Asian, Black, Other, Good, Fair, Not_good, house_size_1, house_size_2, house_size_3, house_size_4, house_size_5, house_size_6, house_size_7, house_size_8_plus, house_represent_1, house_represent_0, with_LLTI, without_LLTI, SWD, Married, Prof_manag, Intermediate, Non_manual, unemployed, student, no_qualifications, Level_1_2, Level_3_plus, room_1_4, room_5_6, room_7_plus, Males, Females, Owned, Council, Private_rented
00MC,81456, 181264, 0.5,0.5,0.5,0.5,25908.84832,27691.8768177,10184.3437573,22693.188939,34191.5591872,25108.4425016,18983.2691057,11021.8722041,5480.88883567,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,90442.7404179,90821.5492505,0.5,0.5,0.5,
29UL,41983, 99471, 0.5,0.5,0.5,0.5,12445.6937767,12038.7121089,11990.4121919,11952.2555157,10401.9704515,11344.296982,12199.3604047,10021.4782282,7077.00232138,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,49094.2687368,50376.9132442,0.5,0.5,0.5,
00MA,49336, 121662, 0.5,0.5,0.5,0.5,16449.2178428,16123.5421007,13884.2309939,10650.3899449,15256.2179279,17296.7191045,17316.0503934,10170.6682156,4515.30349058,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,60308.4636478,61353.8763665,0.5,0.5,0.5,
00MG,106814, 273075, 0.5,0.5,0.5,0.5,36800.2764344,40071.1935968,36254.543965,18844.2536063,37211.3323046,38731.3485685,32636.0699138,22315.3382025,10210.3854371,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,135894.24237,137180.499659,0.5,0.5,0.5,
00MF,62728, 153131, 0.5,0.5,0.5,0.5,18138.7201729,17868.418765,23064.8320719,13805.8683446,13253.4249554,22532.7766784,23196.7958036,14315.5164776,6954.68357881,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,75754.4123316,77376.6245167,0.5,0.5,0.5,
00ME,58165, 143425, 0.5,0.5,0.5,0.5,18018.1687552,17072.0561007,20432.6332319,11197.469721,15532.4815109,20938.2766279,20267.1277362,12986.8403408,6979.59100759,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,70773.8525494,72650.7924828,0.5,0.5,0.5,
00MD,59234, 169990, 0.5,0.5,0.5,0.5,26833.6710321,29033.5734273,19631.775572,10997.6876238,27869.4994822,23641.645449,17055.3281364,10457.5443386,4469.18025282,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,84339.891719,85650.0135953,0.5,0.5,0.5,
29UD,42673, 107202, 0.5,0.5,0.5,0.5,17028.4918624,15438.1268717,11614.8624747,7789.8028885,14118.8096321,14109.1056585,13821.685983,8432.60127228,4848.34329375,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,52478.9015728,54722.9283641,0.5,0.5,0.5,
29UE,45565, 104365, 0.5,0.5,0.5,0.5,11961.1405522,12008.468283,13367.7928734,12965.3074674,10892.0838657,11414.7866362,13253.2201817,10662.9911083,7839.17244907,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,51409.9761226,52954.9872945,0.5,0.5,0.5,
29UG,41808, 105393, 0.5,0.5,0.5,0.5,14409.4561695,13850.0713394,12919.1474587,11395.632919,12229.276269,12967.0584307,13600.6425839,8774.69236838,5247.51608643,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,51870.7969876,53522.6966373,0.5,0.5,0.5,
