Year, ExpectedPop, ProjectedPop, Residual
0,63705.03,63429.301,275.729
1,63705.03,63429.301,275.729
2,63705.03,63429.301,275.729
3,63705.03,63429.301,275.729
4,63705.03,63429.301,275.729
5,64087.123,63807.626,279.497
6,64510.969,63665.3582385,845.610761522
7,64937.575,63595.1504502,1342.42454982
8,65386.324,63572.2292552,1814.0947448
9,65824.545,63600.365553,2224.17944695
10,66266.129,63644.9363618,2621.19263821
11,66697.438,63720.2746137,2977.16338626
12,67125.807,63812.744581,3313.06241903
13,67549.973,63903.4093424,3646.56365755
14,67968.97,63998.7789797,3970.19102025
15,68381.85,64094.0097329,4287.84026712
16,68787.633,64183.4723139,4604.16068615
17,69185.51,64264.7005513,4920.80944875
18,69574.68,64348.292461,5226.38753905
19,69954.634,64417.0017006,5537.63229943
20,70325.16,64477.0415636,5848.11843637
21,70686.072,64526.0213335,6160.0506665
22,71037.46,64561.6941061,6475.76589392
23,71379.512,64587.2532771,6792.25872286
24,71712.619,64610.9784946,7101.64050536
25,72037.389,64634.3674877,7403.02151232
26,72354.739,64634.2697232,7720.46927676
27,72665.654,64623.6524462,8042.00155382
28,72971.152,64609.3936226,8361.75837743
29,73272.29,64576.6892034,8695.60079655
30,74449.541,64401.6763009,10047.8646991
31,74449.541,64230.9013034,10218.6396966
32,74449.541,64066.7243929,10382.8166071
33,74449.541,63910.5878862,10538.9531138
34,75879.212,63807.6232164,12071.5887836
35,75879.212,63710.2376271,12168.9743729
36,75879.212,63618.5723289,12260.6396711
37,75879.212,63534.6248295,12344.5871705
38,75879.212,63458.3088237,12420.9031763
39,77234.461,63434.4650938,13799.9959062
40,77234.461,63416.8354442,13817.6255558
41,77234.461,63396.3450924,13838.1159076
42,77234.461,63379.634053,13854.826947
43,77234.461,63367.0652976,13867.3957024
44,78489.194,63402.9708471,15086.2231529
45,78489.194,63440.9387262,15048.2552738
46,78489.194,63475.9900865,15013.2039135
47,78489.194,63512.7369269,14976.4570731
48,78489.194,63552.1764119,14937.0175881
49,79670.68,63639.75398,16030.92602
50,79670.68,63729.1536957,15941.5263043
51,79670.68,63824.5959883,15846.0840117
52,79670.68,63923.7905545,15746.8894455
53,79670.68,64029.1225337,15641.5574663
54,79904.455,64152.4940673,15751.9609327
55,80470.9361197,64317.2445067,16153.691613
56,80703.0463729,64497.6696416,16205.3767313
57,80935.1566261,64687.3878326,16247.7687935
58,81167.266879,64889.9635051,16277.3033739
59,81399.3771323,65150.1456866,16249.2314457
60,81631.4873853,65427.8985927,16203.5887926
61,81863.5976389,65721.0968329,16142.500806
62,82095.7078925,66033.0546338,16062.6532587
63,82327.818146,66369.2289306,15958.5892154
64,82559.9283987,66775.8229871,15784.1054116
65,82792.0386522,67214.2339576,15577.8046946
66,83024.1489056,67690.0446717,15334.1042339
67,83256.2591584,68205.2362198,15051.0229386
68,83488.3694123,68764.2382086,14724.1312037
69,83720.4796649,69412.5027288,14307.9769361
70,83952.5899183,70109.1741396,13843.4157787
71,84184.7001717,70857.8710896,13326.8290821
72,84416.8104232,71658.7751025,12758.0353207
73,84648.9206776,72509.5959011,12139.3247765
74,84881.0309307,73447.1908665,11433.8400642
75,85113.1411846,74425.7247801,10687.4164045
76,85345.2514373,75452.940815,9892.31062234
77,85577.3616906,76536.2710529,9041.09063771
78,85809.4719439,77676.1455198,8133.3264241
79,86041.5821951,78880.0506138,7161.53158135
80,86273.6924495,80176.3805487,6097.31190077
81,86505.8027037,81540.5093111,4965.29339259
82,86737.9129563,82970.4859254,3767.4270309
83,86970.023209,84468.7853522,2501.2378568
84,87202.1334625,86040.0745016,1162.05896092
85,87434.2437156,87693.1366762,-258.892960623
86,87666.3539692,89425.1088307,-1758.7548615
87,87898.4642219,91248.7316265,-3350.26740459
88,88130.574475,93173.7412034,-5043.16672841
89,88362.6847285,95211.7569219,-6849.07219344
90,88594.7949818,97376.9245267,-8782.12954486
