OA, NHH, Npers, detached, semi, terraced, flat, zero_to_nine, Age_10_to_19, Age_20_to_29, Age_30_to_39, Age_40_to_49, Age_50_to_59, Age_60_to_69, Age_70_to_79, Age_80plus, car_none, car_one, car_two_plus, Economically_Active, Economically_Inactive, White, Asian, Black, Other, Good, Fair, Not_good, house_size_1, house_size_2, house_size_3, house_size_4, house_size_5, house_size_6, house_size_7, house_size_8_plus, house_represent_1, house_represent_0, with_LLTI, without_LLTI, SWD, Married, Prof_manag, Intermediate, Non_manual, unemployed, student, no_qualifications, Level_1_2, Level_3_plus, room_1_4, room_5_6, room_7_plus, Males, Females, Owned, Council, Private_rented
00MC,79264, 170424, 0.5,0.5,0.5,0.5,18138.759119,17791.0369275,27098.6902662,22824.1778555,21086.4256682,21834.8096307,17815.7599849,13756.4237349,10077.7912279,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,86589.0042962,83834.8701186,0.5,0.5,0.5,
29UL,56043, 113992, 0.5,0.5,0.5,0.5,10033.857727,10526.5267593,10953.9044112,12132.3803331,13523.697495,13464.965556,14697.5859614,15243.3125478,13415.4340378,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,56735.5699089,57256.0949196,0.5,0.5,0.5,
00MA,60669, 129309, 0.5,0.5,0.5,0.5,13313.6782574,13802.7340584,14452.484797,16529.2043958,16657.4684326,16552.1640748,15325.1957113,13404.9007144,9271.15071222,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,64714.305279,64594.675875,0.5,0.5,0.5,
00MG,135506, 303092, 0.5,0.5,0.5,0.5,34101.1322807,33638.4492903,33279.3544455,39216.9867734,37700.9178032,39267.2486753,35002.2673126,28678.8870924,22206.5172194,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,149895.232858,153196.528035,0.5,0.5,0.5,
00MF,85039, 171330, 0.5,0.5,0.5,0.5,17164.8290259,18838.4010893,16056.4308265,20544.9059231,22112.7558693,21136.8013093,20947.2716844,18914.4075434,15613.8549033,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,85416.6232352,85913.0349393,0.5,0.5,0.5,
00ME,76070, 159711, 0.5,0.5,0.5,0.5,16013.1772744,17391.7789237,15088.0258056,19457.4722149,20165.837319,20333.1791668,19524.8943956,17100.8456619,14635.8826145,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,79259.1835352,80451.9098411,0.5,0.5,0.5,
00MD,66006, 172032, 0.5,0.5,0.5,0.5,21693.2470645,20048.1605888,22674.9756384,25003.3158574,21912.5852309,22787.6983385,18064.9954298,12177.6128738,7669.85564501,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,87908.0479454,84124.3987217,0.5,0.5,0.5,
29UD,55374, 119177, 0.5,0.5,0.5,0.5,13348.1139883,13183.8429973,13680.4290334,15529.3128273,15493.6385253,15294.9333333,12924.222698,11153.5988564,8568.90825857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,59137.4570463,60039.5434717,0.5,0.5,0.5,
29UE,56549, 112622, 0.5,0.5,0.5,0.5,9707.05471518,10520.9325601,10571.0995389,11758.2637804,13037.4439494,13093.262251,14481.2967568,15760.3789844,13692.0548863,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,55777.3365624,56844.4508602,0.5,0.5,0.5,
29UG,50634, 114728, 0.5,0.5,0.5,0.5,12301.8762196,12628.6038536,12834.349356,14157.7622968,14950.8332281,14400.6130607,12747.3337317,11681.3911126,9025.25913071,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,56748.9577622,57979.0642275,0.5,0.5,0.5,
