Year, ExpectedPop, ProjectedPop, Residual
0,63705.03,63429.301,275.729
1,63705.03,63429.301,275.729
2,63705.03,63429.301,275.729
3,63705.03,63429.301,275.729
4,63705.03,63429.301,275.729
5,64087.123,63807.626,279.497
6,64510.969,63981.9560888,529.012911245
7,64937.575,64173.2787373,764.296262736
8,65386.324,64384.5419171,1001.78208294
9,65824.545,64596.8800591,1227.66494087
10,66266.129,64827.1562659,1438.97273406
11,66697.438,65049.7532093,1647.68479066
12,67125.807,65264.5037404,1861.30325963
13,67549.973,65486.8643885,2063.10861151
14,67968.97,65702.052174,2266.91782598
15,68381.85,65909.5503738,2472.29962622
16,68787.633,66111.2522693,2676.3807307
17,69185.51,66306.882103,2878.62789702
18,69574.68,66487.0665535,3087.61344651
19,69954.634,66664.9880398,3289.64596024
20,70325.16,66833.7668476,3491.39315239
21,70686.072,66990.7029322,3695.36906783
22,71037.46,67143.2803311,3894.17966886
23,71379.512,67283.3273105,4096.18468947
24,71712.619,67415.2095268,4297.40947325
25,72037.389,67533.3124111,4504.07658892
26,72354.739,67648.1584746,4706.58052541
27,72665.654,67755.7585791,4909.89542087
28,72971.152,67854.0838962,5117.06810376
29,73272.29,67953.7992005,5318.49079949
30,74449.541,68005.1865519,6444.35444806
31,74449.541,68040.209171,6409.33182898
32,74449.541,68060.3090106,6389.2319894
33,74449.541,68066.46342,6383.07757999
34,75879.212,68107.878494,7771.33350603
35,75879.212,68132.5490078,7746.66299224
36,75879.212,68140.7132278,7738.49877223
37,75879.212,68132.3664256,7746.84557444
38,75879.212,68107.6039293,7771.60807073
39,77234.461,68117.8207506,9116.64024939
40,77234.461,68108.1163201,9126.34467995
41,77234.461,68079.0465116,9155.41448837
42,77234.461,68031.7193279,9202.7416721
43,77234.461,67967.6781522,9266.78284781
44,78489.194,67939.2790612,10549.9149388
45,78489.194,67893.3831301,10595.8108699
46,78489.194,67831.6584324,10657.5355676
47,78489.194,67756.0191596,10733.1748404
48,78489.194,67668.3469272,10820.8470728
49,79670.68,67621.8245509,12048.8554491
50,79670.68,67562.2250936,12108.4549064
51,79670.68,67491.340315,12179.339685
52,79670.68,67410.7763466,12259.9036534
53,79670.68,67321.8494251,12348.8305749
54,79904.455,67236.451874,12668.003126
55,80470.9361197,67184.0883043,13286.8478154
56,80703.0463729,67122.8276596,13580.2187133
57,80935.1566261,67053.728912,13881.4277141
58,81167.266879,66977.650379,14189.6165
59,81399.3771323,66946.1147802,14453.2623521
60,81631.4873853,66903.5828903,14727.904495
61,81863.5976389,66850.2873979,15013.310241
62,82095.7078925,66786.5777118,15309.1301807
63,82327.818146,66712.9369705,15614.8811755
64,82559.9283987,66679.12588,15880.8025187
65,82792.0386522,66632.0846165,16159.9540357
66,83024.1489056,66572.5950235,16451.5538821
67,83256.2591584,66501.5518924,16754.707266
68,83488.3694123,66419.8768146,17068.4925977
69,83720.4796649,66379.4051238,17341.0745411
70,83952.5899183,66325.6830703,17626.906848
71,84184.7001717,66259.9186804,17924.7814913
72,84416.8104232,66183.3018517,18233.5085715
73,84648.9206776,66096.9743525,18551.9463251
74,84881.0309307,66051.954698,18829.0762327
75,85113.1411846,65995.3857615,19117.7554231
76,85345.2514373,65928.9087007,19416.3427366
77,85577.3616906,65853.8662667,19723.4954239
78,85809.4719439,65771.548026,20037.9239179
79,86041.5821951,65693.2986622,20348.2835329
80,86273.6924495,65656.2269244,20617.4655251
81,86505.8027037,65623.1281355,20882.6745682
82,86737.9129563,65594.0866074,21143.8263489
83,86970.023209,65569.1981,21400.825109
84,87202.1334625,65548.5198536,21653.6136089
85,87434.2437156,65531.592914,21902.6508016
86,87666.3539692,65518.2470004,22148.1069688
87,87898.4642219,65508.3444869,22390.119735
88,88130.574475,65501.8144811,22628.7599939
89,88362.6847285,65498.6300018,22864.0547267
90,88594.7949818,65498.508007,23096.2869748
