OA, NHH, Npers, detached, semi, terraced, flat, zero_to_nine, Age_10_to_19, Age_20_to_29, Age_30_to_39, Age_40_to_49, Age_50_to_59, Age_60_to_69, Age_70_to_79, Age_80plus, car_none, car_one, car_two_plus, Economically_Active, Economically_Inactive, White, Asian, Black, Other, Good, Fair, Not_good, house_size_1, house_size_2, house_size_3, house_size_4, house_size_5, house_size_6, house_size_7, house_size_8_plus, house_represent_1, house_represent_0, with_LLTI, without_LLTI, SWD, Married, Prof_manag, Intermediate, Non_manual, unemployed, student, no_qualifications, Level_1_2, Level_3_plus, room_1_4, room_5_6, room_7_plus, Males, Females, Owned, Council, Private_rented
00MC,81751, 183588, 0.5,0.5,0.5,0.5,27073.6406094,26694.6797163,31914.358818,26522.7339719,23664.0945992,21697.6986799,13963.0362834,7895.23479949,4162.14953472,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,93100.3366835,90487.2903288,0.5,0.5,0.5,
29UL,47455, 110327, 0.5,0.5,0.5,0.5,13736.0116631,14047.541184,13593.8398703,13875.5419593,14160.6963753,14040.4268323,13485.8759404,9210.53069389,4176.54834193,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,55682.3987797,54644.6140809,0.5,0.5,0.5,
00MA,58803, 121292, 0.5,0.5,0.5,0.5,16384.6346335,17528.9109234,16119.6987559,17448.6886776,17168.3752335,16307.3866814,11663.5407991,6339.91885017,2330.99005264,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,62242.8291818,59049.3154255,0.5,0.5,0.5,
00MG,151483, 303945, 0.5,0.5,0.5,0.5,43602.069472,44297.6272507,35644.7287331,41111.0640065,42181.7031261,39306.2301998,29753.3268155,18558.3083863,9489.73914967,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,151040.194445,152904.602695,0.5,0.5,0.5,
00MF,90947, 150813, 0.5,0.5,0.5,0.5,18090.1507131,20923.8206874,15004.2088087,18838.6469643,22151.1670499,21377.3532667,16987.7364538,11233.5695655,6206.3734544,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,75919.7508096,74893.2761542,0.5,0.5,0.5,
00ME,80297, 156006, 0.5,0.5,0.5,0.5,21585.9855574,22965.8670292,16358.5758539,20076.5336019,21520.3873213,20611.7945229,15979.9206322,10387.5879136,6519.82101298,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,75666.0011431,80340.4723023,0.5,0.5,0.5,
00MD,73978, 184911, 0.5,0.5,0.5,0.5,31287.3254906,29788.2213208,26900.1132037,27459.2226855,24862.2284776,21961.9894166,13950.4124498,6501.34952714,2200.61481217,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,94220.185598,90691.291786,0.5,0.5,0.5,
29UD,64767, 130101, 0.5,0.5,0.5,0.5,19244.6925182,18834.5565902,16924.1291169,18466.7508214,18115.4097923,16183.2463312,11698.6656017,6957.61830898,3676.18849641,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,63987.0933943,66114.1641831,0.5,0.5,0.5,
29UE,46397, 110177, 0.5,0.5,0.5,0.5,12653.1707032,13774.3368105,13444.7046977,13824.8894636,13896.6495096,13965.718772,13264.153312,10142.7335375,5210.63973265,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,55947.8698003,54229.1267383,0.5,0.5,0.5,
29UG,49346, 129011, 0.5,0.5,0.5,0.5,17882.9058829,18201.627536,16482.4058655,16915.9508395,16779.6070502,15965.8473655,12815.1275253,8925.91543441,5041.63328387,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,62771.6312328,66239.3895504,0.5,0.5,0.5,
