Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,
East Midlands,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,
0-4,260.6,260.6,260.6,260.6,260.6,261.1,265.071962678,268.673602465,271.550206441,273.961495624,277.289510676,
5-9,240.4,240.4,240.4,240.4,240.4,248.0,252.269476021,257.074147914,260.135948384,263.665368784,264.91069881,
10-14,240.7,240.7,240.7,240.7,240.7,236.7,235.621952152,236.690057449,240.03746754,245.260930431,251.556013234,
15-19,275.2,275.2,275.2,275.2,275.2,272.1,267.442209229,262.659865809,257.082035388,250.439531212,245.209704708,
20-24,300.3,300.3,300.3,300.3,300.3,302.7,301.884361316,298.25905598,294.170664267,290.424370746,286.351214811,
25-29,265.2,265.2,265.2,265.2,265.2,267.3,271.836857196,276.443587306,282.123718267,287.06656178,290.064193134,
30-34,259.7,259.7,259.7,259.7,259.7,264.9,266.019638148,266.410371398,267.009674549,267.883707103,269.96877006,
35-39,258.0,258.0,258.0,258.0,258.0,250.5,251.157150349,254.370140846,258.462542903,263.499332337,267.869837058,
40-44,309.2,309.2,309.2,309.2,309.2,302.8,291.973864995,282.790600741,271.294597116,259.627583511,251.471942947,
45-49,320.5,320.5,320.5,320.5,320.5,320.1,317.942715954,313.55023328,311.071262539,306.813128168,301.575879174,
50-54,289.1,289.1,289.1,289.1,289.1,297.7,303.51890545,309.592300194,313.499556799,316.033998058,317.18530216,
55-59,254.2,254.2,254.2,254.2,254.2,257.9,263.066365832,269.214869291,276.745093435,284.439679266,291.75201381,
60-64,258.0,258.0,258.0,258.0,258.0,252.2,249.701612533,247.111217531,246.221083005,247.27573426,249.724116666,
65-69,239.9,239.9,239.9,239.9,239.9,251.6,251.869547184,252.913670502,252.675657456,243.936320307,238.875930376,
70-74,172.2,172.2,172.2,172.2,172.2,177.6,186.180810707,194.121923145,203.218963953,218.714347564,228.418337201,
75-79,140.0,140.0,140.0,140.0,140.0,143.4,145.05912763,145.987256385,145.695636223,146.778061655,150.626472176,
80-84,105.4,105.4,105.4,105.4,105.4,105.9,105.104527635,105.132736709,105.344989652,105.85510774,107.551699716,
85-89,64.5,64.5,64.5,64.5,64.5,64.9,63.6476088644,62.9879978553,63.6860581844,63.6981466396,63.289917667,
90+,34.6,34.6,34.6,34.6,34.6,35.7,34.9572060435,34.2033441862,33.2682840992,32.2094717841,31.3780846272,
