Year, ExpectedPop, ProjectedPop, Residual
0,63705.03,63429.301,275.729
1,63705.03,63429.301,275.729
2,63705.03,63429.301,275.729
3,63705.03,63429.301,275.729
4,63705.03,63429.301,275.729
5,64087.123,63807.626,279.497
6,64510.969,64001.7455327,509.223467263
7,64937.575,64230.2816962,707.293303795
8,65386.324,64487.8055142,898.518485755
9,65824.545,64751.2095286,1073.33547144
10,66266.129,65033.8663125,1232.26268747
11,66697.438,65307.8611474,1389.5768526
12,67125.807,65571.522196,1554.28480398
13,67549.973,65839.7409232,1710.23207682
14,67968.97,66097.1618496,1871.80815043
15,68381.85,66341.6793862,2040.17061378
16,68787.633,66575.6676475,2211.96535247
17,69185.51,66799.3895219,2386.12047807
18,69574.68,67003.2414563,2571.43854366
19,69954.634,67201.4406563,2753.19334374
20,70325.16,67384.4674735,2940.6925265
21,70686.072,67550.9797142,3135.09228578
22,71037.46,67709.8578635,3327.60213646
23,71379.512,67853.8796313,3525.63236871
24,71712.619,67990.6412403,3721.97775966
25,72037.389,68109.2574298,3928.13157016
26,72354.739,68222.3813532,4132.35764679
27,72665.654,68328.619848,4337.03415197
28,72971.152,68428.5717846,4542.58021541
29,73272.29,68530.6041491,4741.68585091
30,74449.541,68379.0543739,6070.4866261
31,74449.541,68237.5029308,6212.03806918
32,74449.541,68104.3511556,6345.18984438
33,74449.541,67977.3960386,6472.14496145
34,75879.212,67924.1054506,7955.10654945
35,75879.212,67865.5051166,8013.70688339
36,75879.212,67802.5052271,8076.7067729
37,75879.212,67735.881929,8143.33007097
38,75879.212,67666.6868152,8212.52518477
39,77234.461,67663.4791138,9570.98188624
40,77234.461,67647.531208,9586.92979203
41,77234.461,67620.4163816,9614.04461843
42,77234.461,67584.4980155,9649.96298451
43,77234.461,67542.1706151,9692.29038487
44,78489.194,67562.8509167,10926.3430833
45,78489.194,67570.5064055,10918.6875945
46,78489.194,67567.6435435,10921.5504565
47,78489.194,67556.5827123,10932.6112877
48,78489.194,67539.276342,10949.917658
49,79670.68,67583.4264404,12087.2535596
50,79670.68,67614.4679953,12056.2120047
51,79670.68,67635.1306091,12035.5493909
52,79670.68,67646.9905531,12023.6894469
53,79670.68,67651.3098509,12019.3701491
54,79904.455,67662.9900153,12241.4649847
55,80470.9361197,67720.3104435,12750.6256762
56,80703.0463729,67764.6690234,12938.3773495
57,80935.1566261,67798.4962189,13136.6604072
58,81167.266879,67823.6270832,13343.6397958
59,81399.3771323,67911.4150765,13487.9620558
60,81631.4873853,67982.5345091,13648.9528762
61,81863.5976389,68041.251883,13822.3457559
62,82095.7078925,68091.4816716,14004.2262209
63,82327.818146,68136.2439688,14191.5741772
64,82559.9283987,68244.8507402,14315.0776585
65,82792.0386522,68341.3803353,14450.6583169
66,83024.1489056,68429.6239865,14594.5249191
67,83256.2591584,68512.3477672,14743.9113912
68,83488.3694123,68591.4289972,14896.9404151
69,83720.4796649,68736.7047157,14983.7749492
70,83952.5899183,68869.9618566,15082.6280617
71,84184.7001717,68994.6442315,15190.0559402
72,84416.8104232,69112.2877763,15304.5226469
73,84648.9206776,69224.1921889,15424.7284887
74,84881.0309307,69398.1963822,15482.8345485
75,85113.1411846,69557.0950229,15556.0461617
76,85345.2514373,69704.3910838,15640.8603535
77,85577.3616906,69841.3250261,15736.0366645
78,85809.4719439,69968.999504,15840.4724399
79,86041.5821951,70102.2799762,15939.3022189
80,86273.6924495,70296.3411059,15977.3513436
81,86505.8027037,70488.1904741,16017.6122296
82,86737.9129563,70681.404876,16056.5080803
83,86970.023209,70877.6064544,16092.4167546
84,87202.1334625,71077.8012616,16124.3322009
85,87434.2437156,71282.1806168,16152.0630988
86,87666.3539692,71492.0111473,16174.3428219
87,87898.4642219,71709.1957323,16189.2684896
88,88130.574475,71934.7327831,16195.8416919
89,88362.6847285,72169.6143908,16193.0703377
90,88594.7949818,72415.1555826,16179.6393992
