OA, NHH, Npers, detached, semi, terraced, flat, zero_to_nine, Age_10_to_19, Age_20_to_29, Age_30_to_39, Age_40_to_49, Age_50_to_59, Age_60_to_69, Age_70_to_79, Age_80plus, car_none, car_one, car_two_plus, Economically_Active, Economically_Inactive, White, Asian, Black, Other, Good, Fair, Not_good, house_size_1, house_size_2, house_size_3, house_size_4, house_size_5, house_size_6, house_size_7, house_size_8_plus, house_represent_1, house_represent_0, with_LLTI, without_LLTI, SWD, Married, Prof_manag, Intermediate, Non_manual, unemployed, student, no_qualifications, Level_1_2, Level_3_plus, room_1_4, room_5_6, room_7_plus, Males, Females, Owned, Council, Private_rented
00MC,93389, 159154, 0.5,0.5,0.5,0.5,11867.5061013,17603.7892616,34544.2065758,25948.111696,25012.5862539,20454.3862924,10189.8409774,5593.49712597,7940.26618785,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,75200.0897653,83954.100707,0.5,0.5,0.5,
29UL,77227, 168533, 0.5,0.5,0.5,0.5,16872.7911329,17129.4878292,16063.8195187,18821.2288932,20355.1473975,21241.3295526,26804.0875383,19610.6855753,11634.1550065,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,81267.1831361,87265.5493082,0.5,0.5,0.5,
00MA,69135, 105069, 0.5,0.5,0.5,0.5,10160.5676041,13619.7526958,7102.13560777,13830.5931028,16625.2908898,16994.7633409,12733.4865423,7677.27233393,6325.62913871,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,51989.9177548,53079.5735012,0.5,0.5,0.5,
00MG,180693, 246450, 0.5,0.5,0.5,0.5,26853.092153,27968.4795604,14980.0469372,34553.3768613,41900.50837,30250.3063412,25082.1270252,23078.2403581,21783.9023179,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,122508.966535,123941.113389,0.5,0.5,0.5,
00MF,115849, 155897, 0.5,0.5,0.5,0.5,17345.2313875,21416.5075203,4804.41474439,13885.8207322,24635.4157683,21574.79781,18255.0169623,16399.9985806,17579.7788498,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,85657.3379853,70239.64437,0.5,0.5,0.5,
00ME,128507, 187268, 0.5,0.5,0.5,0.5,17058.9165586,20975.554984,13188.6513211,26558.0693476,30085.4219781,26023.1686672,19942.4888705,15545.8987063,17889.8666506,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,96710.3153796,90557.7217042,0.5,0.5,0.5,
00MD,50051, 79868, 0.5,0.5,0.5,0.5,9782.50935873,11614.5126074,7506.36502164,14990.2535285,15325.2024781,8927.81769812,2068.7941443,4226.11773622,5425.95986116,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,40731.0384852,39136.493949,0.5,0.5,0.5,
29UD,77558, 97016, 0.5,0.5,0.5,0.5,5890.26729718,6819.96507087,7028.18023595,15491.7639094,16990.2104482,15593.1622565,12783.7057379,7837.55154127,8581.33576172,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,52938.4042165,44077.7380425,0.5,0.5,0.5,
29UE,79085, 207649, 0.5,0.5,0.5,0.5,25765.3596461,25828.6219866,23363.8099009,24608.9309953,23800.6140532,23044.487778,26015.0131559,21088.1053548,14134.0242768,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,97142.708161,110506.258987,0.5,0.5,0.5,
29UG,72376, 165598, 0.5,0.5,0.5,0.5,16401.4519851,19704.2115023,15362.1166807,20732.2811322,22578.7958219,22065.7263599,19558.0443619,15167.2316984,14028.5161414,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,80489.4376808,85108.938003,0.5,0.5,0.5,
