  Ages,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,397.904,397.904,397.904,397.904,397.904,388.974,392.882,394.336,395.868,396.978,397.673,397.816,397.516,396.91,396.176,395.307,394.285,393.189,392.093,391.017,390.025,389.181,388.587,388.276,388.277,388.688,389.592,390.985,392.849,395.135,397.92375,400.7125,403.50125,406.29,407.6205,408.951,410.2815,411.612,412.9425,414.273,415.6035,416.934,418.2645,419.595,419.454,419.313,419.172,419.031,418.89,418.9288,418.9676,419.0064,419.0452,419.084,419.524,422.3925762,422.9282931,423.46401,423.9997268,424.5354437,425.0711606,425.6068775,426.1425944,426.6783113,427.2140281,427.749745,428.2854619,428.8211788,429.3568957,429.8926126,430.4283294,430.9640463,431.4997632,432.0354801,432.571197,433.1069139,433.6426307,434.1783476,434.7140645,435.2497814,435.7854983,436.3212152,436.856932,437.3926489,437.9283658,438.4640827,438.9997996,439.5355165,440.0712333,440.6069502,441.1426671,441.678384,442.2141009
1,393.627,393.627,393.627,393.627,393.627,398.449,389.567,393.467,395.115,396.526,397.672,398.287,398.435,398.139,397.539,396.812,395.947,394.93,393.838,392.746,391.674,390.687,389.846,389.255,388.948,388.951,389.364,390.271,391.665,393.531,396.1825,398.834,401.4855,404.137,405.7401,407.3432,408.9463,410.5494,412.1525,413.7556,415.3587,416.9618,418.5649,420.168,420.0936,420.0192,419.9448,419.8704,419.796,419.742,419.688,419.634,419.58,419.526,419.806,423.7237905,424.3772931,425.0307957,425.6842983,426.3378009,426.9913035,427.6448061,428.2983087,428.9518113,429.6053139,430.2588165,430.912319,431.5658216,432.2193242,432.8728268,433.5263294,434.179832,434.8333346,435.4868372,436.1403398,436.7938424,437.447345,438.1008476,438.7543502,439.4078528,440.0613554,440.714858,441.3683606,442.0218632,442.6753658,443.3288684,443.982371,444.6358736,445.2893762,445.9428788,446.5963814,447.249884,447.9033866
2,387.721,387.721,387.721,387.721,387.721,394.344,399.185,390.297,394.416,395.922,397.368,398.415,399.031,399.181,398.886,398.289,397.564,396.701,395.685,394.594,393.503,392.433,391.447,390.607,390.017,389.71,389.714,390.129,391.037,392.432,394.828,397.224,399.62,402.016,403.8784,405.7408,407.6032,409.4656,411.328,413.1904,415.0528,416.9152,418.7776,420.64,420.666,420.692,420.718,420.744,420.77,420.6498,420.5296,420.4094,420.2892,420.169,420.306,425.2114619,425.9946035,426.777745,427.5608866,428.3440281,429.1271697,429.9103113,430.6934528,431.4765944,432.2597359,433.0428775,433.826019,434.6091606,435.3923022,436.1754437,436.9585853,437.7417268,438.5248684,439.30801,440.0911515,440.8742931,441.6574346,442.4405762,443.2237177,444.0068593,444.7900009,445.5731424,446.356284,447.1394255,447.9225671,448.7057087,449.4888502,450.2719918,451.0551333,451.8382749,452.6214165,453.404558,454.1876996
3,384.329,384.329,384.329,384.329,384.329,388.361,395.002,399.833,391.163,395.139,396.68,398.025,399.074,399.69,399.842,399.548,398.951,398.227,397.365,396.349,395.259,394.169,393.099,392.114,391.274,390.684,390.378,390.382,390.797,391.706,393.74725,395.7885,397.82975,399.871,401.9629,404.0548,406.1467,408.2386,410.3305,412.4224,414.5143,416.6062,418.6981,420.79,420.9556,421.1212,421.2868,421.4524,421.618,421.4604,421.3028,421.1452,420.9876,420.83,420.843,426.6318381,427.5517563,428.4716745,429.3915926,430.3115108,431.231429,432.1513472,433.0712654,433.9911835,434.9111017,435.8310199,436.7509381,437.6708563,438.5907745,439.5106926,440.4306108,441.350529,442.2704472,443.1903654,444.1102835,445.0302017,445.9501199,446.8700381,447.7899563,448.7098745,449.6297926,450.5497108,451.469629,452.3895472,453.3094654,454.2293835,455.1493017,456.0692199,456.9891381,457.9090563,458.8289745,459.7488926,460.6688108
4,387.572,387.572,387.572,387.572,387.572,384.875,388.925,395.556,400.598,391.791,395.802,397.244,398.59,399.64,400.256,400.409,400.116,399.519,398.796,397.934,396.919,395.829,394.74,393.67,392.686,391.846,391.256,390.951,390.955,391.371,392.9855,394.6,396.2145,397.829,400.1038,402.3786,404.6534,406.9282,409.203,411.4778,413.7526,416.0274,418.3022,420.577,420.9234,421.2698,421.6162,421.9626,422.309,422.144,421.979,421.814,421.649,421.484,421.409,427.9197857,428.9775844,430.0353831,431.0931818,432.1509805,433.2087792,434.2665779,435.3243766,436.3821753,437.439974,438.4977727,439.5555714,440.6133701,441.6711688,442.7289675,443.7867662,444.8445649,445.9023636,446.9601623,448.017961,449.0757597,450.1335584,451.1913571,452.2491558,453.3069545,454.3647532,455.4225519,456.4803506,457.5381494,458.5959481,459.6537468,460.7115455,461.7693442,462.8271429,463.8849416,464.9427403,466.000539,467.0583377
5,374.439,374.439,374.439,374.439,374.439,388.1,385.42,389.461,396.296,401.202,392.43,396.346,397.788,399.135,400.185,400.802,400.956,400.663,400.067,399.344,398.483,397.468,396.379,395.291,394.221,393.238,392.398,391.808,391.504,391.508,392.65475,393.8015,394.94825,396.095,398.4887,400.8824,403.2761,405.6698,408.0635,410.4572,412.8509,415.2446,417.6383,420.032,420.6002,421.1684,421.7366,422.3048,422.873,422.7362,422.5994,422.4626,422.3258,422.189,422.042,429.0751,430.2652974,431.4554948,432.6456922,433.8358896,435.026087,436.2162844,437.4064818,438.5966792,439.7868766,440.977074,442.1672714,443.3574688,444.5476662,445.7378636,446.928061,448.1182584,449.3084558,450.4986532,451.6888506,452.8790481,454.0692455,455.2594429,456.4496403,457.6398377,458.8300351,460.0202325,461.2104299,462.4006273,463.5908247,464.7810221,465.9712195,467.1614169,468.3516143,469.5418117,470.7320091,471.9222065,473.1124039
6,367.47,367.47,367.47,367.47,367.47,374.958,388.634,385.945,390.173,396.884,401.821,392.96,396.877,398.319,399.667,400.718,401.335,401.49,401.197,400.602,399.88,399.019,398.005,396.916,395.829,394.759,393.776,392.936,392.347,392.043,392.72425,393.4055,394.08675,394.768,397.2043,399.6406,402.0769,404.5132,406.9495,409.3858,411.8221,414.2584,416.6947,419.131,419.9616,420.7922,421.6228,422.4534,423.284,423.2118,423.1396,423.0674,422.9952,422.923,422.732,430.0447143,431.3567468,432.6687792,433.9808117,435.2928442,436.6048766,437.9169091,439.2289416,440.540974,441.8530065,443.165039,444.4770714,445.7891039,447.1011364,448.4131688,449.7252013,451.0372338,452.3492662,453.6612987,454.9733312,456.2853636,457.5973961,458.9094286,460.221461,461.5334935,462.845526,464.1575584,465.4695909,466.7816234,468.0936558,469.4056883,470.7177208,472.0297532,473.3417857,474.6538182,475.9658506,477.2778831,478.5899156
7,352.767,352.767,352.767,352.767,352.767,367.978,375.48,389.145,386.631,390.746,397.485,402.338,393.478,397.396,398.838,400.186,401.239,401.856,402.012,401.719,401.125,400.403,399.542,398.529,397.44,396.353,395.284,394.301,393.461,392.872,393.1285,393.385,393.6415,393.898,396.2966,398.6952,401.0938,403.4924,405.891,408.2896,410.6882,413.0868,415.4854,417.884,419.0098,420.1356,421.2614,422.3872,423.513,423.54,423.567,423.594,423.621,423.648,423.453,430.7784286,432.1971039,433.6157792,435.0344545,436.4531299,437.8718052,439.2904805,440.7091558,442.1278312,443.5465065,444.9651818,446.3838571,447.8025325,449.2212078,450.6398831,452.0585584,453.4772338,454.8959091,456.3145844,457.7332597,459.1519351,460.5706104,461.9892857,463.407961,464.8266364,466.2453117,467.663987,469.0826623,470.5013377,471.920013,473.3386883,474.7573636,476.176039,477.5947143,479.0133896,480.4320649,481.8507403,483.2694156
8,346.236,346.236,346.236,346.236,346.236,353.278,368.499,375.993,389.819,387.2,391.34,398.003,402.856,393.998,397.916,399.358,400.707,401.76,402.378,402.534,402.241,401.648,400.926,400.065,399.052,397.964,396.877,395.808,394.825,393.986,393.86825,393.7505,393.63275,393.515,395.7922,398.0694,400.3466,402.6238,404.901,407.1782,409.4554,411.7326,414.0098,416.287,417.7334,419.1798,420.6262,422.0726,423.519,423.686,423.853,424.02,424.187,424.354,424.178,431.2369095,432.7441394,434.2513693,435.7585991,437.265829,438.7730589,440.2802887,441.7875186,443.2947485,444.8019784,446.3092082,447.8164381,449.323668,450.8308978,452.3381277,453.8453576,455.3525874,456.8598173,458.3670472,459.8742771,461.3815069,462.8887368,464.3959667,465.9031965,467.4104264,468.9176563,470.4248861,471.932116,473.4393459,474.9465758,476.4538056,477.9610355,479.4682654,480.9754952,482.4827251,483.989955,485.4971848,487.0044147
9,335.857,335.857,335.857,335.857,335.857,346.752,353.802,369.017,376.659,390.388,387.79,391.861,398.524,403.378,394.521,398.439,399.881,401.231,402.284,402.902,403.058,402.766,402.173,401.451,400.591,399.578,398.49,397.403,396.334,395.353,394.9215,394.49,394.0585,393.627,395.7003,397.7736,399.8469,401.9202,403.9935,406.0668,408.1401,410.2134,412.2867,414.36,416.1402,417.9204,419.7006,421.4808,423.261,423.6082,423.9554,424.3026,424.6498,424.997,424.886,431.3733095,432.9474913,434.5216732,436.095855,437.6700368,439.2442186,440.8184004,442.3925823,443.9667641,445.5409459,447.1151277,448.6893095,450.2634913,451.8376732,453.411855,454.9860368,456.5602186,458.1344004,459.7085823,461.2827641,462.8569459,464.4311277,466.0053095,467.5794913,469.1536732,470.727855,472.3020368,473.8762186,475.4504004,477.0245823,478.5987641,480.1729459,481.7471277,483.3213095,484.8954913,486.4696732,488.043855,489.6180368
