Ages,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,384.517,384.517,384.517,384.517,384.517,382.168,378.962,378.015,377.69,378.149,379.207,381.22,383.941,386.36,388.299,389.676,390.485,390.776,390.636,390.179,389.512,388.733,387.932,387.149,386.432,385.837,385.454,385.363,385.65,386.378,391.332,391.332,391.332,403.548,403.548,403.548,403.548,403.548,411.745,411.745,411.745,411.745,411.745,415.203,415.203,415.203,415.203,415.203,416.717,416.717,416.717,416.717,416.717,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365,417.365
1,368.198,368.198,368.198,368.198,368.198,384.409,382.127,378.913,377.954,377.619,378.065,379.106,381.121,383.845,386.265,388.206,389.585,390.398,390.691,390.555,390.102,389.437,388.661,387.865,387.085,386.371,385.78,385.399,385.31,385.599,389.23,389.23,389.23,401.185,401.185,401.185,401.185,401.185,410.536,410.536,410.536,410.536,410.536,414.727,414.727,414.727,414.727,414.727,416.434,416.434,416.434,416.434,416.434,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002,417.002
2,357.592,357.592,357.592,357.592,357.592,368.668,384.933,382.637,379.412,378.437,378.088,378.518,379.561,381.577,384.301,386.722,388.664,390.045,390.86,391.154,391.019,390.567,389.903,389.128,388.333,387.555,386.841,386.252,385.872,385.783,388.016,388.016,388.016,399.173,399.173,399.173,399.173,399.173,409.62,409.62,409.62,409.62,409.62,414.662,414.662,414.662,414.662,414.662,416.643,416.643,416.643,416.643,416.643,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184,417.184
3,350.023,350.023,350.023,350.023,350.023,358.255,369.384,385.632,383.323,380.084,379.096,378.728,379.16,380.204,382.22,384.945,387.366,389.309,390.69,391.506,391.8,391.666,391.214,390.551,389.777,388.984,388.206,387.493,386.904,386.525,387.456,387.456,387.456,397.273,397.273,397.273,397.273,397.273,408.637,408.637,408.637,408.637,408.637,414.646,414.646,414.646,414.646,414.646,417.011,417.011,417.011,417.011,417.011,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574,417.574
4,344.411,344.411,344.411,344.411,344.411,350.59,358.869,369.984,386.218,383.897,380.647,379.64,379.273,379.705,380.749,382.766,385.491,387.912,389.857,391.239,392.055,392.35,392.216,391.764,391.102,390.328,389.536,388.758,388.045,387.457,387.28,387.28,387.28,395.316,395.316,395.316,395.316,395.316,407.307,407.307,407.307,407.307,407.307,414.383,414.383,414.383,414.383,414.383,417.252,417.252,417.252,417.252,417.252,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859,417.859
5,332.133,332.133,332.133,332.133,332.133,344.698,350.913,359.182,370.287,386.509,384.181,380.915,379.908,379.541,379.974,381.018,383.035,385.76,388.181,390.126,391.509,392.325,392.62,392.486,392.035,391.373,390.599,389.808,389.03,388.317,387.263,387.263,387.263,393.246,393.246,393.246,393.246,393.246,405.469,405.469,405.469,405.469,405.469,413.677,413.677,413.677,413.677,413.677,417.15,417.15,417.15,417.15,417.15,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847,417.847
6,324.971,324.971,324.971,324.971,324.971,332.434,345.032,351.238,359.498,370.594,386.808,384.465,381.2,380.193,379.826,380.259,381.304,383.321,386.046,388.467,390.412,391.795,392.611,392.908,392.774,392.323,391.661,390.888,390.097,389.319,387.642,387.642,387.642,391.479,391.479,391.479,391.479,391.479,403.435,403.435,403.435,403.435,403.435,412.792,412.792,412.792,412.792,412.792,416.988,416.988,416.988,416.988,416.988,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822,417.822
7,326.353,326.353,326.353,326.353,326.353,325.167,332.662,345.25,351.449,359.702,370.791,386.99,384.648,381.383,380.376,380.01,380.443,381.489,383.506,386.231,388.652,390.597,391.98,392.797,393.094,392.96,392.509,391.848,391.075,390.284,388.209,388.209,388.209,389.979,389.979,389.979,389.979,389.979,401.137,401.137,401.137,401.137,401.137,411.588,411.588,411.588,411.588,411.588,416.636,416.636,416.636,416.636,416.636,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634,417.634
8,332.265,332.265,332.265,332.265,332.265,326.357,325.201,332.688,345.27,351.461,359.707,370.783,386.98,384.639,381.375,380.368,380.002,380.435,381.481,383.498,386.224,388.645,390.59,391.973,392.79,393.087,392.953,392.503,391.842,391.069,388.79,388.79,388.79,388.761,388.761,388.761,388.761,388.761,398.578,398.578,398.578,398.578,398.578,409.947,409.947,409.947,409.947,409.947,415.96,415.96,415.96,415.96,415.96,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177,417.177
9,342.788,342.788,342.788,342.788,342.788,332.167,326.287,325.124,332.606,345.18,351.366,359.597,370.673,386.869,384.528,381.265,380.258,379.892,380.326,381.372,383.389,386.115,388.536,390.481,391.864,392.681,392.978,392.845,392.395,391.734,389.394,389.394,389.394,387.923,387.923,387.923,387.923,387.923,395.962,395.962,395.962,395.962,395.962,407.957,407.957,407.957,407.957,407.957,415.035,415.035,415.035,415.035,415.035,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531,416.531
10,349.459,349.459,349.459,349.459,349.459,342.783,332.191,326.306,325.135,332.611,345.179,351.351,359.581,370.657,386.852,384.511,381.249,380.242,379.876,380.311,381.357,383.374,386.1,388.521,390.466,391.849,392.666,392.964,392.831,392.381,390.158,390.158,390.158,387.619,387.619,387.619,387.619,387.619,393.605,393.605,393.605,393.605,393.605,405.831,405.831,405.831,405.831,405.831,414.041,414.041,414.041,414.041,414.041,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848,415.848
