Ages,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,384.517,384.517,384.517,384.517,384.517,382.484,397.525,405.034,412.36,418.74,423.996,428.683,433.055,437.016,440.368,442.995,444.887,446.097,446.721,446.897,446.737,446.355,445.889,445.466,445.242,445.341,445.912,447.04,448.788,451.22,451.22,451.22,462.647,462.647,462.647,462.647,462.647,490.451,490.451,490.451,490.451,490.451,515.71,515.71,515.71,515.71,515.71,530.742,530.742,530.742,530.742,530.742,539.046,539.046,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195,542.195
1,368.198,368.198,368.198,368.198,368.198,384.532,382.685,397.701,405.193,412.503,418.865,424.103,428.79,433.165,437.128,440.482,443.11,445.007,446.221,446.848,447.031,446.875,446.499,446.037,445.618,445.4,445.504,446.08,447.212,448.963,448.963,448.963,458.365,458.365,458.365,458.365,458.365,484.82,484.82,484.82,484.82,484.82,511.637,511.637,511.637,511.637,511.637,528.709,528.709,528.709,528.709,528.709,537.803,537.803,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813,540.813
2,357.592,357.592,357.592,357.592,357.592,368.773,385.265,383.404,398.404,405.879,413.175,419.518,424.757,429.445,433.821,437.786,441.142,443.771,445.669,446.884,447.512,447.696,447.543,447.169,446.709,446.291,446.074,446.179,446.756,447.889,447.889,447.889,455.219,455.219,455.219,455.219,455.219,479.671,479.671,479.671,479.671,479.671,507.599,507.599,507.599,507.599,507.599,526.806,526.806,526.806,526.806,526.806,536.984,536.984,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979,539.979
3,350.023,350.023,350.023,350.023,350.023,358.348,369.676,386.151,384.277,399.26,406.722,414,420.342,425.581,430.27,434.646,438.612,441.968,444.598,446.497,447.713,448.342,448.528,448.375,448.002,447.543,447.127,446.91,447.016,447.592,447.592,447.592,452.916,452.916,452.916,452.916,452.916,474.804,474.804,474.804,474.804,474.804,503.325,503.325,503.325,503.325,503.325,524.674,524.674,524.674,524.674,524.674,536.231,536.231,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342,539.342
4,344.411,344.411,344.411,344.411,344.411,350.672,359.128,370.442,386.903,385.017,399.987,407.429,414.707,421.048,426.289,430.978,435.355,439.322,442.678,445.309,447.208,448.425,449.054,449.241,449.088,448.716,448.258,447.842,447.626,447.732,447.732,447.732,451.199,451.199,451.199,451.199,451.199,470.092,470.092,470.092,470.092,470.092,498.59,498.59,498.59,498.59,498.59,522.005,522.005,522.005,522.005,522.005,535.202,535.202,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557,538.557
5,332.133,332.133,332.133,332.133,332.133,344.767,351.133,359.579,370.882,387.332,385.438,400.389,407.831,415.109,421.45,426.691,431.38,435.758,439.724,443.08,445.711,447.611,448.828,449.458,449.645,449.495,449.123,448.666,448.25,448.035,448.035,448.035,449.855,449.855,449.855,449.855,449.855,465.486,465.486,465.486,465.486,465.486,493.307,493.307,493.307,493.307,493.307,518.582,518.582,518.582,518.582,518.582,533.643,533.643,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375,537.375
6,324.971,324.971,324.971,324.971,324.971,332.492,345.216,351.573,360.01,371.303,387.745,385.837,400.786,408.229,415.506,421.846,427.088,431.777,436.156,440.122,443.479,446.11,448.01,449.228,449.858,450.045,449.896,449.524,449.068,448.652,448.652,448.652,449.123,449.123,449.123,449.123,449.123,461.421,461.421,461.421,461.421,461.421,487.887,487.887,487.887,487.887,487.887,514.707,514.707,514.707,514.707,514.707,531.794,531.794,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031,536.031
7,326.353,326.353,326.353,326.353,326.353,325.218,332.821,345.535,351.885,360.313,371.6,388.027,386.119,401.067,408.511,415.788,422.128,427.369,432.058,436.438,440.404,443.761,446.392,448.292,449.511,450.141,450.329,450.18,449.809,449.353,449.353,449.353,448.83,448.83,448.83,448.83,448.83,457.882,457.882,457.882,457.882,457.882,482.34,482.34,482.34,482.34,482.34,510.275,510.275,510.275,510.275,510.275,529.493,529.493,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349,534.349
8,332.265,332.265,332.265,332.265,332.265,326.409,325.355,332.948,345.656,351.998,360.42,371.693,388.12,386.212,401.158,408.603,415.879,422.219,427.461,432.149,436.529,440.495,443.852,446.484,448.384,449.603,450.234,450.422,450.273,449.903,449.903,449.903,448.819,448.819,448.819,448.819,448.819,454.837,454.837,454.837,454.837,454.837,476.731,476.731,476.731,476.731,476.731,505.257,505.257,505.257,505.257,505.257,526.614,526.614,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19,532.19
9,342.788,342.788,342.788,342.788,342.788,332.22,326.443,325.382,332.968,345.669,352.005,360.413,371.686,388.112,386.204,401.15,408.594,415.869,422.21,427.452,432.14,436.519,440.487,443.843,446.475,448.375,449.595,450.226,450.414,450.266,450.266,450.266,449.026,449.026,449.026,449.026,449.026,452.399,452.399,452.399,452.399,452.399,471.296,471.296,471.296,471.296,471.296,499.8,499.8,499.8,499.8,499.8,523.221,523.221,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598,529.598
10,349.459,349.459,349.459,349.459,349.459,342.838,332.35,326.567,325.497,333.077,345.773,352.094,360.502,371.775,388.2,386.292,401.238,408.681,415.957,422.297,427.539,432.227,436.606,440.575,443.931,446.563,448.462,449.684,450.315,450.504,450.504,450.504,449.533,449.533,449.533,449.533,449.533,450.734,450.734,450.734,450.734,450.734,466.375,466.375,466.375,466.375,466.375,494.199,494.199,494.199,494.199,494.199,519.477,519.477,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713,526.713
11,358.042,358.042,358.042,358.042,358.042,349.61,343.076,332.581,326.791,325.713,333.286,345.968,352.289,360.697,371.97,388.394,386.487,401.432,408.874,416.151,422.49,427.732,432.421,436.8,440.769,444.125,446.758,448.657,449.879,450.511,450.511,450.511,450.184,450.184,450.184,450.184,450.184,449.795,449.795,449.795,449.795,449.795,462.103,462.103,462.103,462.103,462.103,488.574,488.574,488.574,488.574,488.574,515.397,515.397,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521,523.521
