Ages,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,384.517,384.517,384.517,384.517,384.517,381.85,360.43,351.473,343.903,338.585,334.952,334.296,336.067,337.515,338.531,339.056,339.112,338.747,338.053,337.133,336.094,335.012,333.931,332.826,331.662,330.444,329.227,328.087,327.102,326.343,326.343,326.343,325.699,325.699,325.699,325.699,325.699,325.537,325.537,325.537,325.537,325.537,320.963,320.963,320.963,320.963,320.963,316.309,316.309,316.309,316.309,316.309,313.276,313.276,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189,312.189
1,368.198,368.198,368.198,368.198,368.198,384.287,381.567,360.154,351.193,343.618,338.29,334.647,333.993,335.766,337.215,338.233,338.761,338.818,338.454,337.762,336.845,335.808,334.729,333.65,332.547,331.385,330.168,328.952,327.813,326.829,326.829,326.829,325.408,325.408,325.408,325.408,325.408,325.645,325.645,325.645,325.645,325.645,321.789,321.789,321.789,321.789,321.789,316.821,316.821,316.821,316.821,316.821,313.566,313.566,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469,312.469
2,357.592,357.592,357.592,357.592,357.592,368.562,384.602,381.869,360.448,351.474,343.885,338.543,334.903,334.25,336.023,337.473,338.492,339.021,339.079,338.715,338.025,337.109,336.073,334.995,333.916,332.814,331.652,330.435,329.22,328.082,328.082,328.082,325.865,325.865,325.865,325.865,325.865,326.043,326.043,326.043,326.043,326.043,323.127,323.127,323.127,323.127,323.127,317.941,317.941,317.941,317.941,317.941,314.398,314.398,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285,313.285
3,350.023,350.023,350.023,350.023,350.023,358.163,369.091,385.114,382.368,360.936,351.95,344.343,339.002,335.364,334.712,336.485,337.935,338.955,339.484,339.542,339.179,338.489,337.573,336.538,335.46,334.381,333.28,332.118,330.901,329.687,329.687,329.687,326.807,326.807,326.807,326.807,326.807,326.445,326.445,326.445,326.445,326.445,324.564,324.564,324.564,324.564,324.564,319.349,319.349,319.349,319.349,319.349,315.455,315.455,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306,314.306
4,344.411,344.411,344.411,344.411,344.411,350.509,358.612,369.525,385.534,382.777,361.335,352.331,344.726,339.386,335.748,335.096,336.87,338.32,339.341,339.87,339.928,339.565,338.876,337.961,336.927,335.849,334.77,333.67,332.508,331.291,331.291,331.291,327.955,327.955,327.955,327.955,327.955,326.687,326.687,326.687,326.687,326.687,325.768,325.768,325.768,325.768,325.768,320.747,320.747,320.747,320.747,320.747,316.477,316.477,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258,315.258
5,332.133,332.133,332.133,332.133,332.133,344.63,350.695,358.787,369.692,385.688,382.923,361.468,352.465,344.86,339.522,335.884,335.233,337.007,338.457,339.478,340.007,340.065,339.702,339.013,338.098,337.064,335.987,334.908,333.808,332.646,332.646,332.646,329.077,329.077,329.077,329.077,329.077,326.691,326.691,326.691,326.691,326.691,326.529,326.529,326.529,326.529,326.529,321.962,321.962,321.962,321.962,321.962,317.312,317.312,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985,315.985
6,324.971,324.971,324.971,324.971,324.971,332.377,344.848,350.904,358.988,369.884,385.872,383.092,361.64,352.638,345.033,339.696,336.058,335.407,337.181,338.631,339.653,340.182,340.24,339.877,339.188,338.274,337.24,336.163,335.084,333.984,333.984,333.984,330.392,330.392,330.392,330.392,330.392,326.849,326.849,326.849,326.849,326.849,327.086,327.086,327.086,327.086,327.086,323.232,323.232,323.232,323.232,323.232,318.266,318.266,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794,316.794
7,326.353,326.353,326.353,326.353,326.353,325.117,332.506,344.967,351.016,359.092,369.981,385.954,383.175,361.725,352.723,345.12,339.784,336.146,335.495,337.269,338.719,339.74,340.269,340.328,339.965,339.277,338.363,337.329,336.252,335.174,335.174,335.174,331.695,331.695,331.695,331.695,331.695,327.128,327.128,327.128,327.128,327.128,327.305,327.305,327.305,327.305,327.305,324.391,324.391,324.391,324.391,324.391,319.207,319.207,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58,317.58
8,332.265,332.265,332.265,332.265,332.265,326.304,325.049,332.43,344.885,350.926,358.996,369.87,385.842,383.063,361.616,352.615,345.013,339.677,336.04,335.389,337.163,338.613,339.634,340.163,340.222,339.859,339.171,338.257,337.223,336.146,336.146,336.146,332.806,332.806,332.806,332.806,332.806,327.498,327.498,327.498,327.498,327.498,327.136,327.136,327.136,327.136,327.136,325.254,325.254,325.254,325.254,325.254,320.044,320.044,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253,318.253
9,342.788,342.788,342.788,342.788,342.788,332.114,326.129,324.869,332.245,344.692,350.728,358.784,369.657,385.628,382.85,361.405,352.404,344.803,339.467,335.831,335.18,336.954,338.404,339.425,339.954,340.013,339.65,338.962,338.048,337.014,337.014,337.014,333.759,333.759,333.759,333.759,333.759,328.047,328.047,328.047,328.047,328.047,326.779,326.779,326.779,326.779,326.779,325.86,325.86,325.86,325.86,325.86,320.842,320.842,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895,318.895
