  Ages,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,397.904,397.904,397.904,397.904,397.904,388.974,392.882,394.336,395.868,396.978,397.673,397.816,397.516,396.91,396.176,395.307,394.285,393.189,392.093,391.017,390.025,389.181,388.587,388.276,388.277,388.688,389.592,390.985,392.849,395.135,406.29,406.29,406.29,406.29,416.768,416.768,416.768,416.768,416.768,419.595,419.595,419.595,419.595,419.595,418.89,418.89,418.89,418.89,418.89,419.084,419.084,419.084,419.084,419.084,419.524,419.8780714,419.9916234,420.1051753,420.2187273,420.3322792,420.4458312,420.5593831,420.6729351,420.786487,420.900039,421.0135909,421.1271429,421.2406948,421.3542468,421.4677987,421.5813506,421.6949026,421.8084545,421.9220065,422.0355584,422.1491104,422.2626623,422.3762143,422.4897662,422.6033182,422.7168701,422.8304221,422.943974,423.057526,423.1710779,423.2846299,423.3981818,423.5117338,423.6252857,423.7388377,423.8523896,423.9659416,424.0794935
1,393.627,393.627,393.627,393.627,393.627,398.449,389.567,393.467,395.115,396.526,397.672,398.287,398.435,398.139,397.539,396.812,395.947,394.93,393.838,392.746,391.674,390.687,389.846,389.255,388.948,388.951,389.364,390.271,391.665,393.531,404.137,404.137,404.137,404.137,416.02,416.02,416.02,416.02,416.02,420.168,420.168,420.168,420.168,420.168,419.796,419.796,419.796,419.796,419.796,419.526,419.526,419.526,419.526,419.526,419.806,420.8661429,421.0429091,421.2196753,421.3964416,421.5732078,421.749974,421.9267403,422.1035065,422.2802727,422.457039,422.6338052,422.8105714,422.9873377,423.1641039,423.3408701,423.5176364,423.6944026,423.8711688,424.0479351,424.2247013,424.4014675,424.5782338,424.755,424.9317662,425.1085325,425.2852987,425.4620649,425.6388312,425.8155974,425.9923636,426.1691299,426.3458961,426.5226623,426.6994286,426.8761948,427.052961,427.2297273,427.4064935
2,387.721,387.721,387.721,387.721,387.721,394.344,399.185,390.297,394.416,395.922,397.368,398.415,399.031,399.181,398.886,398.289,397.564,396.701,395.685,394.594,393.503,392.433,391.447,390.607,390.017,389.71,389.714,390.129,391.037,392.432,402.016,402.016,402.016,402.016,415.017,415.017,415.017,415.017,415.017,420.64,420.64,420.64,420.64,420.64,420.77,420.77,420.77,420.77,420.77,420.169,420.169,420.169,420.169,420.169,420.306,422.1525952,422.4206407,422.6886861,422.9567316,423.2247771,423.4928225,423.760868,424.0289134,424.2969589,424.5650043,424.8330498,425.1010952,425.3691407,425.6371861,425.9052316,426.1732771,426.4413225,426.709368,426.9774134,427.2454589,427.5135043,427.7815498,428.0495952,428.3176407,428.5856861,428.8537316,429.1217771,429.3898225,429.657868,429.9259134,430.1939589,430.4620043,430.7300498,430.9980952,431.2661407,431.5341861,431.8022316,432.0702771
3,384.329,384.329,384.329,384.329,384.329,388.361,395.002,399.833,391.163,395.139,396.68,398.025,399.074,399.69,399.842,399.548,398.951,398.227,397.365,396.349,395.259,394.169,393.099,392.114,391.274,390.684,390.378,390.382,390.797,391.706,399.871,399.871,399.871,399.871,413.563,413.563,413.563,413.563,413.563,420.79,420.79,420.79,420.79,420.79,421.618,421.618,421.618,421.618,421.618,420.83,420.83,420.83,420.83,420.83,420.843,423.5540476,423.9427359,424.3314242,424.7201126,425.1088009,425.4974892,425.8861775,426.2748658,426.6635541,427.0522424,427.4409307,427.829619,428.2183074,428.6069957,428.995684,429.3843723,429.7730606,430.1617489,430.5504372,430.9391255,431.3278139,431.7165022,432.1051905,432.4938788,432.8825671,433.2712554,433.6599437,434.048632,434.4373203,434.8260087,435.214697,435.6033853,435.9920736,436.3807619,436.7694502,437.1581385,437.5468268,437.9355152
4,387.572,387.572,387.572,387.572,387.572,384.875,388.925,395.556,400.598,391.791,395.802,397.244,398.59,399.64,400.256,400.409,400.116,399.519,398.796,397.934,396.919,395.829,394.74,393.67,392.686,391.846,391.256,390.951,390.955,391.371,397.829,397.829,397.829,397.829,411.682,411.682,411.682,411.682,411.682,420.577,420.577,420.577,420.577,420.577,422.309,422.309,422.309,422.309,422.309,421.484,421.484,421.484,421.484,421.484,421.409,425.0297381,425.566342,426.1029459,426.6395498,427.1761537,427.7127576,428.2493615,428.7859654,429.3225693,429.8591732,430.3957771,430.932381,431.4689848,432.0055887,432.5421926,433.0787965,433.6154004,434.1520043,434.6886082,435.2252121,435.761816,436.2984199,436.8350238,437.3716277,437.9082316,438.4448355,438.9814394,439.5180433,440.0546472,440.5912511,441.127855,441.6644589,442.2010628,442.7376667,443.2742706,443.8108745,444.3474784,444.8840823
5,374.439,374.439,374.439,374.439,374.439,388.1,385.42,389.461,396.296,401.202,392.43,396.346,397.788,399.135,400.185,400.802,400.956,400.663,400.067,399.344,398.483,397.468,396.379,395.291,394.221,393.238,392.398,391.808,391.504,391.508,396.095,396.095,396.095,396.095,409.543,409.543,409.543,409.543,409.543,420.032,420.032,420.032,420.032,420.032,422.873,422.873,422.873,422.873,422.873,422.189,422.189,422.189,422.189,422.189,422.042,426.5855476,427.2914762,427.9974048,428.7033333,429.4092619,430.1151905,430.821119,431.5270476,432.2329762,432.9389048,433.6448333,434.3507619,435.0566905,435.762619,436.4685476,437.1744762,437.8804048,438.5863333,439.2922619,439.9981905,440.704119,441.4100476,442.1159762,442.8219048,443.5278333,444.2337619,444.9396905,445.645619,446.3515476,447.0574762,447.7634048,448.4693333,449.1752619,449.8811905,450.587119,451.2930476,451.9989762,452.7049048
6,367.47,367.47,367.47,367.47,367.47,374.958,388.634,385.945,390.173,396.884,401.821,392.96,396.877,398.319,399.667,400.718,401.335,401.49,401.197,400.602,399.88,399.019,398.005,396.916,395.829,394.759,393.776,392.936,392.347,392.043,394.768,394.768,394.768,394.768,407.243,407.243,407.243,407.243,407.243,419.131,419.131,419.131,419.131,419.131,423.284,423.284,423.284,423.284,423.284,422.923,422.923,422.923,422.923,422.923,422.732,428.1605238,429.0511472,429.9417706,430.8323939,431.7230173,432.6136407,433.5042641,434.3948874,435.2855108,436.1761342,437.0667576,437.957381,438.8480043,439.7386277,440.6292511,441.5198745,442.4104978,443.3011212,444.1917446,445.082368,445.9729913,446.8636147,447.7542381,448.6448615,449.5354848,450.4261082,451.3167316,452.207355,453.0979784,453.9886017,454.8792251,455.7698485,456.6604719,457.5510952,458.4417186,459.332342,460.2229654,461.1135887
7,352.767,352.767,352.767,352.767,352.767,367.978,375.48,389.145,386.631,390.746,397.485,402.338,393.478,397.396,398.838,400.186,401.239,401.856,402.012,401.719,401.125,400.403,399.542,398.529,397.44,396.353,395.284,394.301,393.461,392.872,393.898,393.898,393.898,393.898,404.88,404.88,404.88,404.88,404.88,417.884,417.884,417.884,417.884,417.884,423.513,423.513,423.513,423.513,423.513,423.648,423.648,423.648,423.648,423.648,423.453,429.6781905,430.7611515,431.8441126,432.9270736,434.0100346,435.0929957,436.1759567,437.2589177,438.3418788,439.4248398,440.5078009,441.5907619,442.6737229,443.756684,444.839645,445.9226061,447.0055671,448.0885281,449.1714892,450.2544502,451.3374113,452.4203723,453.5033333,454.5862944,455.6692554,456.7522165,457.8351775,458.9181385,460.0010996,461.0840606,462.1670216,463.2499827,464.3329437,465.4159048,466.4988658,467.5818268,468.6647879,469.7477489
8,346.236,346.236,346.236,346.236,346.236,353.278,368.499,375.993,389.819,387.2,391.34,398.003,402.856,393.998,397.916,399.358,400.707,401.76,402.378,402.534,402.241,401.648,400.926,400.065,399.052,397.964,396.877,395.808,394.825,393.986,393.515,393.515,393.515,393.515,402.593,402.593,402.593,402.593,402.593,416.287,416.287,416.287,416.287,416.287,423.519,423.519,423.519,423.519,423.519,424.354,424.354,424.354,424.354,424.354,424.178,431.0639762,432.3384372,433.6128983,434.8873593,436.1618203,437.4362814,438.7107424,439.9852035,441.2596645,442.5341255,443.8085866,445.0830476,446.3575087,447.6319697,448.9064307,450.1808918,451.4553528,452.7298139,454.0042749,455.2787359,456.553197,457.827658,459.102119,460.3765801,461.6510411,462.9255022,464.1999632,465.4744242,466.7488853,468.0233463,469.2978074,470.5722684,471.8467294,473.1211905,474.3956515,475.6701126,476.9445736,478.2190346
9,335.857,335.857,335.857,335.857,335.857,346.752,353.802,369.017,376.659,390.388,387.79,391.861,398.524,403.378,394.521,398.439,399.881,401.231,402.284,402.902,403.058,402.766,402.173,401.451,400.591,399.578,398.49,397.403,396.334,395.353,393.627,393.627,393.627,393.627,400.506,400.506,400.506,400.506,400.506,414.36,414.36,414.36,414.36,414.36,423.261,423.261,423.261,423.261,423.261,424.997,424.997,424.997,424.997,424.997,424.886,432.2249286,433.6804156,435.1359026,436.5913896,438.0468766,439.5023636,440.9578506,442.4133377,443.8688247,445.3243117,446.7797987,448.2352857,449.6907727,451.1462597,452.6017468,454.0572338,455.5127208,456.9682078,458.4236948,459.8791818,461.3346688,462.7901558,464.2456429,465.7011299,467.1566169,468.6121039,470.0675909,471.5230779,472.9785649,474.4340519,475.889539,477.345026,478.800513,480.256,481.711487,483.166974,484.622461,486.0779481
