Age,2004Est,2005Est,2006Est,2007Est,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
15,3.533079885,3.533079885,3.533079885,3.533079885,3.533079885,3.400235997,3.26770345,3.134932364,2.997852622,2.930633493,2.9287563,2.932480101,2.930701941,2.933206481,2.932183666,2.93375512,2.933400832,2.93253526,2.932590023,2.929179946,2.92967985,2.930310597,2.932948587,2.932667017,2.932197205,2.936135779,2.933629555,2.932203127,2.936303517,2.936909882,2.936909882,2.936909882,2.936909882,2.936909882,2.936909882,2.936909882,2.936909882,2.935962987,2.935962987,2.935962987,2.935962987,2.93457421,2.93457421,2.93457421,2.93457421,2.93457421,2.93724208,2.93724208,2.93724208,2.93724208,2.93724208,2.93724208,2.93724208,2.938706456,2.938706456,2.938706456,2.937309692,2.937377602,2.937445511,2.937513421,2.93758133,2.93764924,2.93771715,2.937785059,2.937852969,2.937920878,2.937988788,2.938056697,2.938124607,2.938192517,2.938260426,2.938328336,2.938396245,2.938464155,2.938532064,2.938599974,2.938667883,2.938735793,2.938803703,2.938871612,2.938939522,2.939007431,2.939075341,2.93914325,2.93921116,2.93927907,2.939346979,2.939414889,2.939482798,2.939550708,2.939618617,2.939686527,2.939754437,2.939822346,2.939890256,2.939958165,2.940026075
16,9.49640819,9.49640819,9.49640819,9.49640819,9.49640819,9.230881544,9.043587556,8.858225086,8.66943925,8.571923221,8.572197028,8.56706665,8.566586081,8.564826136,8.565355876,8.560345588,8.559915116,8.560924075,8.559170003,8.557362344,8.556636043,8.556428056,8.556994951,8.556575902,8.553113577,8.554778707,8.554480419,8.553726232,8.553670747,8.555323835,8.555323835,8.555323835,8.555323835,8.555323835,8.555323835,8.555323835,8.555323835,8.552394556,8.552394556,8.552394556,8.552394556,8.548095236,8.548095236,8.548095236,8.548095236,8.548095236,8.540995789,8.540995789,8.540995789,8.540995789,8.540995789,8.540995789,8.540995789,8.539672005,8.539672005,8.539672005,8.537113246,8.536245915,8.535378583,8.534511252,8.53364392,8.532776589,8.531909258,8.531041926,8.530174595,8.529307264,8.528439932,8.527572601,8.52670527,8.525837938,8.524970607,8.524103275,8.523235944,8.522368613,8.521501281,8.52063395,8.519766619,8.518899287,8.518031956,8.517164625,8.516297293,8.515429962,8.51456263,8.513695299,8.512827968,8.511960636,8.511093305,8.510225974,8.509358642,8.508491311,8.50762398,8.506756648,8.505889317,8.505021985,8.504154654,8.503287323,8.502419991
17,23.38857629,23.38857629,23.38857629,23.38857629,23.38857629,23.17631714,22.87836733,22.5854952,22.28682439,22.13603307,22.12763106,22.11435736,22.10996777,22.11527942,22.11066238,22.09777282,22.10036509,22.09773946,22.09179993,22.09376451,22.09064946,22.0931291,22.08726173,22.0898631,22.08743137,22.08779188,22.08920581,22.08697474,22.08848502,22.08619051,22.08619051,22.08619051,22.08619051,22.08619051,22.08619051,22.08619051,22.08619051,22.08394877,22.08394877,22.08394877,22.08394877,22.0785851,22.0785851,22.0785851,22.0785851,22.0785851,22.06588338,22.06588338,22.06588338,22.06588338,22.06588338,22.06588338,22.06588338,22.06396472,22.06396472,22.06396472,22.06086474,22.05960062,22.0583365,22.05707238,22.05580826,22.05454414,22.05328002,22.0520159,22.05075178,22.04948766,22.04822354,22.04695942,22.0456953,22.04443118,22.04316706,22.04190294,22.04063882,22.0393747,22.03811058,22.03684646,22.03558233,22.03431821,22.03305409,22.03178997,22.03052585,22.02926173,22.02799761,22.02673349,22.02546937,22.02420525,22.02294113,22.02167701,22.02041289,22.01914877,22.01788465,22.01662053,22.01535641,22.01409229,22.01282817,22.01156405,22.01029993
18,37.90634336,37.90634336,37.90634336,37.90634336,37.90634336,37.58636783,37.11511624,36.62755547,36.14480575,35.90501328,35.90138591,35.88365498,35.86351269,35.85899806,35.86585461,35.85748962,35.84739345,35.84254104,35.8436777,35.8432277,35.83503541,35.83636223,35.83318032,35.83329826,35.8338099,35.83227577,35.83377751,35.83451055,35.83207879,35.83310656,35.83310656,35.83310656,35.83310656,35.83310656,35.83310656,35.83310656,35.83310656,35.83351687,35.83351687,35.83351687,35.83351687,35.83059436,35.83059436,35.83059436,35.83059436,35.83059436,35.81410225,35.81410225,35.81410225,35.81410225,35.81410225,35.81410225,35.81410225,35.81634736,35.81634736,35.81634736,35.81166513,35.81052135,35.80937756,35.80823378,35.80709,35.80594621,35.80480243,35.80365864,35.80251486,35.80137107,35.80022729,35.7990835,35.79793972,35.79679594,35.79565215,35.79450837,35.79336458,35.7922208,35.79107701,35.78993323,35.78878945,35.78764566,35.78650188,35.78535809,35.78421431,35.78307052,35.78192674,35.78078295,35.77963917,35.77849539,35.7773516,35.77620782,35.77506403,35.77392025,35.77277646,35.77163268,35.7704889,35.76934511,35.76820133,35.76705754,35.76591376
19,52.78338295,52.78338295,52.78338295,52.78338295,52.78338295,52.32472564,51.68067854,51.02244028,50.35888012,50.0362207,50.03738842,50.03695958,50.01352814,49.98342541,49.98754769,49.99311769,49.97906559,49.97403381,49.98230827,49.99052325,49.98760949,49.98332926,49.98251119,49.9768349,49.98056061,49.98367165,49.98610655,49.98857065,49.99041991,49.99993799,49.99993799,49.99993799,49.99993799,49.99993799,49.99993799,49.99993799,49.99993799,50.01266097,50.01266097,50.01266097,50.01266097,50.01935295,50.01935295,50.01935295,50.01935295,50.01935295,50.03019588,50.03019588,50.03019588,50.03019588,50.03019588,50.03019588,50.03019588,50.02923365,50.02923365,50.02923365,50.03777623,50.03941361,50.04105099,50.04268837,50.04432575,50.04596312,50.0476005,50.04923788,50.05087526,50.05251264,50.05415001,50.05578739,50.05742477,50.05906215,50.06069953,50.06233691,50.06397428,50.06561166,50.06724904,50.06888642,50.0705238,50.07216117,50.07379855,50.07543593,50.07707331,50.07871069,50.08034806,50.08198544,50.08362282,50.0852602,50.08689758,50.08853495,50.09017233,50.09180971,50.09344709,50.09508447,50.09672184,50.09835922,50.0999966,50.10163398,50.10327136
20,61.84799814,61.84799814,61.84799814,61.84799814,61.84799814,61.32462369,61.16557348,60.86328865,60.63320494,60.56172902,60.56860161,60.5801374,60.58254674,60.5450647,60.51231668,60.52443051,60.5294805,60.51637469,60.52259446,60.53745108,60.54317678,60.54549295,60.54403378,60.53844843,60.53981621,60.54689664,60.55086062,60.55347237,60.55467968,60.56974674,60.56974674,60.56974674,60.56974674,60.56974674,60.56974674,60.56974674,60.56974674,60.59623019,60.59623019,60.59623019,60.59623019,60.6182872,60.6182872,60.6182872,60.6182872,60.6182872,60.64678525,60.64678525,60.64678525,60.64678525,60.64678525,60.64678525,60.64678525,60.65130788,60.65130788,60.65130788,60.66846771,60.67288638,60.67730506,60.68172373,60.68614241,60.69056109,60.69497976,60.69939844,60.70381711,60.70823579,60.71265446,60.71707314,60.72149181,60.72591049,60.73032916,60.73474784,60.73916651,60.74358519,60.74800386,60.75242254,60.75684121,60.76125989,60.76567856,60.77009724,60.77451591,60.77893459,60.78335326,60.78777194,60.79219061,60.79660929,60.80102796,60.80544664,60.80986531,60.81428399,60.81870266,60.82312134,60.82754001,60.83195869,60.83637737,60.84079604,60.84521472
21,68.1000665,68.1000665,68.1000665,68.1000665,68.1000665,67.1912302,66.51080831,65.84386767,65.36287782,65.07767025,64.97792551,64.98228876,64.98714362,64.99370485,64.95580682,64.92197831,64.92824546,64.93373459,64.92487967,64.92543622,64.93431192,64.93682423,64.93741175,64.93748552,64.93732612,64.93273242,64.93763229,64.94214576,64.94456884,64.95213247,64.95213247,64.95213247,64.95213247,64.95213247,64.95213247,64.95213247,64.95213247,64.96993355,64.96993355,64.96993355,64.96993355,64.98409001,64.98409001,64.98409001,64.98409001,64.98409001,65.00330008,65.00330008,65.00330008,65.00330008,65.00330008,65.00330008,65.00330008,65.00740984,65.00740984,65.00740984,65.01800304,65.02095704,65.02391104,65.02686503,65.02981903,65.03277303,65.03572703,65.03868102,65.04163502,65.04458902,65.04754301,65.05049701,65.05345101,65.056405,65.059359,65.062313,65.065267,65.06822099,65.07117499,65.07412899,65.07708298,65.08003698,65.08299098,65.08594497,65.08889897,65.09185297,65.09480697,65.09776096,65.10071496,65.10366896,65.10662295,65.10957695,65.11253095,65.11548494,65.11843894,65.12139294,65.12434694,65.12730093,65.13025493,65.13320893,65.13616292
22,73.35565479,73.35565479,73.35565479,73.35565479,73.35565479,73.11778494,72.67069247,72.3776269,72.16292548,72.00445528,71.9265427,71.92919493,71.93291051,71.94408894,71.94293316,71.90931723,71.8701282,71.87839734,71.88127641,71.87387799,71.87482722,71.88729761,71.89203252,71.89486559,71.89696644,71.89248815,71.89223765,71.89544792,71.9038758,71.91059074,71.91059074,71.91059074,71.91059074,71.91059074,71.91059074,71.91059074,71.91059074,71.93033697,71.93033697,71.93033697,71.93033697,71.94788289,71.94788289,71.94788289,71.94788289,71.94788289,71.97986363,71.97986363,71.97986363,71.97986363,71.97986363,71.97986363,71.97986363,71.98295401,71.98295401,71.98295401,71.99781161,72.00183697,72.00586232,72.00988767,72.01391303,72.01793838,72.02196373,72.02598909,72.03001444,72.03403979,72.03806515,72.0420905,72.04611586,72.05014121,72.05416656,72.05819192,72.06221727,72.06624262,72.07026798,72.07429333,72.07831869,72.08234404,72.08636939,72.09039475,72.0944201,72.09844545,72.10247081,72.10649616,72.11052151,72.11454687,72.11857222,72.12259758,72.12662293,72.13064828,72.13467364,72.13869899,72.14272434,72.1467497,72.15077505,72.1548004,72.15882576
23,78.08692108,78.08692108,78.08692108,78.08692108,78.08692108,77.88727747,77.27097956,76.65386666,76.35429051,76.17311658,76.06169881,76.05840195,76.05818223,76.0691261,76.07774979,76.08075641,76.03960006,75.99924751,76.0084659,76.01077038,76.00214143,76.00831165,76.01695965,76.0248875,76.02330581,76.0256883,76.02078143,76.02372546,76.0254804,76.03550296,76.03550296,76.03550296,76.03550296,76.03550296,76.03550296,76.03550296,76.03550296,76.05554468,76.05554468,76.05554468,76.05554468,76.07339363,76.07339363,76.07339363,76.07339363,76.07339363,76.10718421,76.10718421,76.10718421,76.10718421,76.10718421,76.10718421,76.10718421,76.10749019,76.10749019,76.10749019,76.12464833,76.12876057,76.13287282,76.13698507,76.14109731,76.14520956,76.14932181,76.15343405,76.1575463,76.16165855,76.16577079,76.16988304,76.17399528,76.17810753,76.18221978,76.18633202,76.19044427,76.19455652,76.19866876,76.20278101,76.20689326,76.2110055,76.21511775,76.21922999,76.22334224,76.22745449,76.23156673,76.23567898,76.23979123,76.24390347,76.24801572,76.25212797,76.25624021,76.26035246,76.26446471,76.26857695,76.2726892,76.27680144,76.28091369,76.28502594,76.28913818
24,83.22982398,83.22982398,83.22982398,83.22982398,83.22982398,82.68022239,82.42360822,81.90374776,81.58413189,81.46552834,81.36534717,81.3544464,81.35295699,81.35522471,81.36255383,81.37098151,81.37714433,81.33496184,81.29049954,81.30067063,81.30149838,81.29180109,81.29605219,81.30480638,81.31119262,81.31405038,81.31637701,81.31171039,81.31312116,81.32814796,81.32814796,81.32814796,81.32814796,81.32814796,81.32814796,81.32814796,81.32814796,81.34170322,81.34170322,81.34170322,81.34170322,81.36183077,81.36183077,81.36183077,81.36183077,81.36183077,81.38947121,81.38947121,81.38947121,81.38947121,81.38947121,81.38947121,81.38947121,81.39294118,81.39294118,81.39294118,81.40590703,81.40955549,81.41320395,81.41685241,81.42050086,81.42414932,81.42779778,81.43144624,81.4350947,81.43874315,81.44239161,81.44604007,81.44968853,81.45333699,81.45698544,81.4606339,81.46428236,81.46793082,81.47157928,81.47522773,81.47887619,81.48252465,81.48617311,81.48982157,81.49347002,81.49711848,81.50076694,81.5044154,81.50806386,81.51171231,81.51536077,81.51900923,81.52265769,81.52630614,81.5299546,81.53360306,81.53725152,81.54089998,81.54454843,81.54819689,81.55184535
