  Ages,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,418.09,418.09,418.09,418.09,418.09,408.23,412.315,413.853,415.462,416.634,417.371,417.527,417.216,416.584,415.816,414.909,413.841,412.695,411.548,410.42,409.384,408.499,407.88,407.557,407.56,407.994,408.941,410.406,412.363,414.766,417.69525,420.6245,423.55375,426.483,428.6854,430.8878,433.0902,435.2926,437.495,438.0898,438.6846,439.2794,439.8742,440.469,440.3244,440.1798,440.0352,439.8906,439.746,439.7888,439.8316,439.8744,439.9172,439.96,440.421,442.6720619,443.080271,443.4884801,443.8966892,444.3048983,444.7131074,445.1213165,445.5295255,445.9377346,446.3459437,446.7541528,447.1623619,447.570571,447.9787801,448.3869892,448.7951983,449.2034074,449.6116165,450.0198255,450.4280346,450.8362437,451.2444528,451.6526619,452.060871,452.4690801,452.8772892,453.2854983,453.6937074,454.1019165,454.5101255,454.9183346,455.3265437,455.7347528,456.1429619,456.551171,456.9593801,457.3675892,457.7757983
1,413.082,413.082,413.082,413.082,413.082,418.746,408.933,413.014,414.763,416.245,417.457,418.102,418.264,417.961,417.335,416.573,415.672,414.61,413.469,412.329,411.205,410.174,409.294,408.678,408.359,408.366,408.802,409.751,411.22,413.178,415.96425,418.7505,421.53675,424.323,426.82,429.317,431.814,434.311,436.808,437.6814,438.5548,439.4282,440.3016,441.175,441.099,441.023,440.947,440.871,440.795,440.7416,440.6882,440.6348,440.5814,440.528,440.826,444.1646905,444.6950476,445.2254048,445.7557619,446.286119,446.8164762,447.3468333,447.8771905,448.4075476,448.9379048,449.4682619,449.998619,450.5289762,451.0593333,451.5896905,452.1200476,452.6504048,453.1807619,453.711119,454.2414762,454.7718333,455.3021905,455.8325476,456.3629048,456.8932619,457.423619,457.9539762,458.4843333,459.0146905,459.5450476,460.0754048,460.6057619,461.136119,461.6664762,462.1968333,462.7271905,463.2575476,463.7879048
2,405.537,405.537,405.537,405.537,405.537,413.937,419.626,409.805,414.126,415.72,417.243,418.347,418.994,419.157,418.856,418.232,417.474,416.574,415.514,414.374,413.236,412.113,411.083,410.204,409.59,409.273,409.281,409.718,410.667,412.137,414.654,417.171,419.688,422.205,424.9368,427.6686,430.4004,433.1322,435.864,437.0476,438.2312,439.4148,440.5984,441.782,441.8122,441.8424,441.8726,441.9028,441.933,441.8094,441.6858,441.5622,441.4386,441.315,441.46,445.8764524,446.5504589,447.2244654,447.8984719,448.5724784,449.2464848,449.9204913,450.5944978,451.2685043,451.9425108,452.6165173,453.2905238,453.9645303,454.6385368,455.3125433,455.9865498,456.6605563,457.3345628,458.0085693,458.6825758,459.3565823,460.0305887,460.7045952,461.3786017,462.0526082,462.7266147,463.4006212,464.0746277,464.7486342,465.4226407,466.0966472,466.7706537,467.4446602,468.1186667,468.7926732,469.4666797,470.1406861,470.8146926
3,402.076,402.076,402.076,402.076,402.076,406.342,414.761,420.44,410.846,415.02,416.653,418.072,419.177,419.824,419.988,419.688,419.065,418.308,417.408,416.349,415.21,414.073,412.951,411.921,411.043,410.429,410.112,410.121,410.558,411.507,413.65275,415.7985,417.94425,420.09,422.967,425.844,428.721,431.598,434.475,435.9948,437.5146,439.0344,440.5542,442.074,442.2514,442.4288,442.6062,442.7836,442.961,442.797,442.633,442.469,442.305,442.141,442.161,447.593519,448.4296658,449.2658126,450.1019593,450.9381061,451.7742528,452.6103996,453.4465463,454.2826931,455.1188398,455.9549866,456.7911333,457.6272801,458.4634268,459.2995736,460.1357203,460.9718671,461.8080139,462.6441606,463.4803074,464.3164541,465.1526009,465.9887476,466.8248944,467.6610411,468.4971879,469.3333346,470.1694814,471.0056281,471.8417749,472.6779216,473.5140684,474.3502152,475.1863619,476.0225087,476.8586554,477.6948022,478.5309489
4,406.462,406.462,406.462,406.462,406.462,402.797,407.083,415.491,421.388,411.652,415.863,417.393,418.813,419.919,420.566,420.732,420.433,419.81,419.054,418.155,417.096,415.958,414.821,413.7,412.67,411.792,411.179,410.862,410.871,411.308,413.00425,414.7005,416.39675,418.093,421.0036,423.9142,426.8248,429.7354,432.646,434.516,436.386,438.256,440.126,441.996,442.3628,442.7296,443.0964,443.4632,443.83,443.6586,443.4872,443.3158,443.1444,442.973,442.897,449.2398333,450.2514113,451.2629892,452.2745671,453.286145,454.2977229,455.3093009,456.3208788,457.3324567,458.3440346,459.3556126,460.3671905,461.3787684,462.3903463,463.4019242,464.4135022,465.4250801,466.436658,467.4482359,468.4598139,469.4713918,470.4829697,471.4945476,472.5061255,473.5177035,474.5292814,475.5408593,476.5524372,477.5640152,478.5755931,479.587171,480.5987489,481.6103268,482.6219048,483.6334827,484.6450606,485.6566385,486.6682165
5,393.429,393.429,393.429,393.429,393.429,407.072,403.427,407.703,416.319,422.08,412.38,416.493,418.024,419.445,420.551,421.199,421.367,421.068,420.446,419.69,418.792,417.733,416.596,415.459,414.339,413.309,412.431,411.819,411.502,411.511,412.71525,413.9195,415.12375,416.328,419.1536,421.9792,424.8048,427.6304,430.456,432.6612,434.8664,437.0716,439.2768,441.482,442.0808,442.6796,443.2784,443.8772,444.476,444.3354,444.1948,444.0542,443.9136,443.773,443.618,450.7099286,451.9014675,453.0930065,454.2845455,455.4760844,456.6676234,457.8591623,459.0507013,460.2422403,461.4337792,462.6253182,463.8168571,465.0083961,466.1999351,467.391474,468.583013,469.7745519,470.9660909,472.1576299,473.3491688,474.5407078,475.7322468,476.9237857,478.1153247,479.3068636,480.4984026,481.6899416,482.8814805,484.0730195,485.2645584,486.4560974,487.6476364,488.8391753,490.0307143,491.2222532,492.4137922,493.6053312,494.7968701
6,384.619,384.619,384.619,384.619,384.619,393.958,407.616,403.961,408.428,416.919,422.713,412.924,417.038,418.569,419.991,421.098,421.747,421.916,421.617,420.996,420.24,419.342,418.284,417.147,416.011,414.891,413.861,412.984,412.372,412.055,412.772,413.489,414.206,414.923,417.5442,420.1654,422.7866,425.4078,428.029,430.527,433.025,435.523,438.021,440.519,441.3942,442.2694,443.1446,444.0198,444.895,444.8208,444.7466,444.6724,444.5982,444.524,444.331,451.948519,453.3162892,454.6840593,456.0518294,457.4195996,458.7873697,460.1551398,461.52291,462.8906801,464.2584502,465.6262203,466.9939905,468.3617606,469.7295307,471.0973009,472.465071,473.8328411,475.2006113,476.5683814,477.9361515,479.3039216,480.6716918,482.0394619,483.407232,484.7750022,486.1427723,487.5105424,488.8783126,490.2460827,491.6138528,492.9816229,494.3493931,495.7171632,497.0849333,498.4527035,499.8204736,501.1882437,502.5560139
7,369.723,369.723,369.723,369.723,369.723,385.114,394.466,408.115,404.639,408.988,417.508,423.218,413.43,417.545,419.077,420.5,421.607,422.256,422.426,422.127,421.507,420.751,419.854,418.796,417.659,416.524,415.404,414.374,413.498,412.886,413.15625,413.4265,413.69675,413.967,416.275,418.583,420.891,423.199,425.507,428.2396,430.9722,433.7048,436.4374,439.17,440.3542,441.5384,442.7226,443.9068,445.091,445.1224,445.1538,445.1852,445.2166,445.248,445.042,452.9382571,454.4713455,456.0044338,457.5375221,459.0706104,460.6036987,462.136787,463.6698753,465.2029636,466.7360519,468.2691403,469.8022286,471.3353169,472.8684052,474.4014935,475.9345818,477.4676701,479.0007584,480.5338468,482.0669351,483.6000234,485.1331117,486.6662,488.1992883,489.7323766,491.2654649,492.7985532,494.3316416,495.8647299,497.3978182,498.9309065,500.4639948,501.9970831,503.5301714,505.0632597,506.5963481,508.1294364,509.6625247
8,363.362,363.362,363.362,363.362,363.362,370.196,385.599,394.943,408.759,405.173,409.549,417.989,423.7,413.913,418.028,419.561,420.984,422.092,422.741,422.911,422.613,421.993,421.238,420.341,419.283,418.147,417.012,415.892,414.862,413.987,413.86625,413.7455,413.62475,413.504,415.4114,417.3188,419.2262,421.1336,423.041,425.9184,428.7958,431.6732,434.5506,437.428,438.9486,440.4692,441.9898,443.5104,445.031,445.2096,445.3882,445.5668,445.7454,445.924,445.742,453.6131905,455.2922165,456.9712424,458.6502684,460.3292944,462.0083203,463.6873463,465.3663723,467.0453983,468.7244242,470.4034502,472.0824762,473.7615022,475.4405281,477.1195541,478.7985801,480.4776061,482.156632,483.835658,485.514684,487.19371,488.8727359,490.5517619,492.2307879,493.9098139,495.5888398,497.2678658,498.9468918,500.6259177,502.3049437,503.9839697,505.6629957,507.3420216,509.0210476,510.7000736,512.3790996,514.0581255,515.7371515
9,353.097,353.097,353.097,353.097,353.097,363.833,370.678,386.072,395.573,409.284,405.725,410.028,418.468,424.179,414.393,418.508,420.042,421.465,422.573,423.223,423.393,423.095,422.476,421.721,420.824,419.767,418.631,417.496,416.376,415.347,414.8985,414.45,414.0015,413.553,414.9984,416.4438,417.8892,419.3346,420.78,423.6906,426.6012,429.5118,432.4224,435.333,437.2042,439.0754,440.9466,442.8178,444.689,445.057,445.425,445.793,446.161,446.529,446.414,453.9208286,455.7183195,457.5158104,459.3133013,461.1107922,462.9082831,464.705774,466.5032649,468.3007558,470.0982468,471.8957377,473.6932286,475.4907195,477.2882104,479.0857013,480.8831922,482.6806831,484.478174,486.2756649,488.0731558,489.8706468,491.6681377,493.4656286,495.2631195,497.0606104,498.8581013,500.6555922,502.4530831,504.250574,506.0480649,507.8455558,509.6430468,511.4405377,513.2380286,515.0355195,516.8330104,518.6305013,520.4279922
