Ages,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,403.602,403.602,403.602,403.602,403.602,401.05,397.715,396.709,396.36,396.835,397.937,400.042,402.894,405.432,407.46,408.907,409.752,410.057,409.91,409.429,408.732,407.914,407.079,406.257,405.507,404.886,404.486,404.395,404.696,405.465,405.465,405.465,410.673,410.673,410.673,410.673,410.673,423.507,423.507,423.507,423.507,423.507,432.122,432.122,432.122,432.122,432.122,435.767,435.767,435.767,435.767,435.767,437.371,437.371,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055,438.055
1,387.641,387.641,387.641,387.641,387.641,403.457,400.983,397.637,396.618,396.256,396.714,397.797,399.903,402.756,405.295,407.324,408.773,409.62,409.93,409.786,409.309,408.615,407.801,406.971,406.153,405.406,404.789,404.392,404.305,404.61,404.61,404.61,408.431,408.431,408.431,408.431,408.431,420.992,420.992,420.992,420.992,420.992,430.823,430.823,430.823,430.823,430.823,435.238,435.238,435.238,435.238,435.238,437.043,437.043,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653,437.653
2,374.939,374.939,374.939,374.939,374.939,387.793,403.66,401.176,397.821,396.791,396.418,396.859,397.944,400.051,402.905,405.446,407.476,408.926,409.774,410.086,409.943,409.467,408.774,407.961,407.132,406.316,405.57,404.955,404.558,404.472,404.472,404.472,406.825,406.825,406.825,406.825,406.825,418.55,418.55,418.55,418.55,418.55,429.53,429.53,429.53,429.53,429.53,434.838,434.838,434.838,434.838,434.838,436.938,436.938,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512,437.512
3,367.38,367.38,367.38,367.38,367.38,375.176,388.077,403.932,401.439,398.074,397.035,396.644,397.086,398.172,400.281,403.136,405.677,407.709,409.16,410.008,410.321,410.179,409.703,409.011,408.199,407.37,406.555,405.81,405.196,404.799,404.799,404.799,405.792,405.792,405.792,405.792,405.792,416.113,416.113,416.113,416.113,416.113,428.053,428.053,428.053,428.053,428.053,434.376,434.376,434.376,434.376,434.376,436.877,436.877,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47,437.47
4,362.38,362.38,362.38,362.38,362.38,367.595,375.442,388.331,404.173,401.67,398.294,397.238,396.848,397.291,398.378,400.488,403.344,405.886,407.919,409.37,410.219,410.532,410.391,409.915,409.224,408.412,407.584,406.769,406.024,405.411,405.411,405.411,405.237,405.237,405.237,405.237,405.237,413.69,413.69,413.69,413.69,413.69,426.292,426.292,426.292,426.292,426.292,433.734,433.734,433.734,433.734,433.734,436.76,436.76,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408,437.408
5,350.403,350.403,350.403,350.403,350.403,362.292,367.557,375.393,388.27,404.101,401.588,398.195,397.14,396.751,397.194,398.282,400.392,403.248,405.791,407.824,409.275,410.125,410.438,410.297,409.822,409.131,408.32,407.492,406.677,405.934,405.934,405.934,404.841,404.841,404.841,404.841,404.841,411.138,411.138,411.138,411.138,411.138,423.982,423.982,423.982,423.982,423.982,432.611,432.611,432.611,432.611,432.611,436.274,436.274,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014,437.014
6,339.207,339.207,339.207,339.207,339.207,350.166,362.103,367.356,375.183,388.047,403.868,401.336,397.944,396.89,396.502,396.945,398.033,400.144,403,405.543,407.576,409.028,409.878,410.191,410.052,409.577,408.886,408.076,407.249,406.434,406.434,406.434,404.683,404.683,404.683,404.683,404.683,408.731,408.731,408.731,408.731,408.731,421.299,421.299,421.299,421.299,421.299,431.135,431.135,431.135,431.135,431.135,435.558,435.558,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437,436.437
7,339.184,339.184,339.184,339.184,339.184,339.038,350.048,361.973,367.214,375.029,387.881,403.683,401.153,397.761,396.708,396.32,396.764,397.852,399.963,402.819,405.363,407.396,408.848,409.698,410.013,409.874,409.399,408.708,407.899,407.072,407.072,407.072,404.904,404.904,404.904,404.904,404.904,406.78,406.78,406.78,406.78,406.78,418.511,418.511,418.511,418.511,418.511,429.494,429.494,429.494,429.494,429.494,434.807,434.807,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863,435.863
8,348.814,348.814,348.814,348.814,348.814,339.415,339.32,350.318,362.229,367.457,375.259,388.091,403.893,401.363,397.973,396.92,396.533,396.977,398.065,400.176,403.033,405.577,407.61,409.062,409.912,410.227,410.089,409.614,408.923,408.114,408.114,408.114,405.732,405.732,405.732,405.732,405.732,405.721,405.721,405.721,405.721,405.721,416.048,416.048,416.048,416.048,416.048,427.989,427.989,427.989,427.989,427.989,434.317,434.317,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605,435.605
9,358.515,358.515,358.515,358.515,358.515,349.391,340.039,339.933,350.918,362.816,368.031,375.814,388.646,404.447,401.918,398.53,397.477,397.091,397.535,398.623,400.734,403.592,406.136,408.169,409.621,410.471,410.786,410.649,410.174,409.483,409.483,409.483,407.034,407.034,407.034,407.034,407.034,405.512,405.512,405.512,405.512,405.512,413.966,413.966,413.966,413.966,413.966,426.572,426.572,426.572,426.572,426.572,434.017,434.017,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591,435.591
