Ages,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,403.602,403.602,403.602,403.602,403.602,400.713,378.259,368.848,360.896,355.308,351.489,350.791,352.64,354.152,355.212,355.757,355.807,355.419,354.686,353.715,352.62,351.483,350.342,349.178,347.955,346.674,345.396,344.198,343.162,342.367,342.367,342.367,341.692,341.692,341.692,341.692,341.692,341.52,341.52,341.52,341.52,341.52,336.725,336.725,336.725,336.725,336.725,331.844,331.844,331.844,331.844,331.844,328.661,328.661,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524,327.524
1,387.641,387.641,387.641,387.641,387.641,403.336,400.41,377.961,368.547,360.587,354.988,351.153,350.457,352.306,353.817,354.877,355.424,355.474,355.088,354.356,353.387,352.294,351.158,350.018,348.855,347.634,346.354,345.078,343.881,342.846,342.846,342.846,341.356,341.356,341.356,341.356,341.356,341.603,341.603,341.603,341.603,341.603,337.562,337.562,337.562,337.562,337.562,332.351,332.351,332.351,332.351,332.351,328.941,328.941,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789,327.789
2,374.939,374.939,374.939,374.939,374.939,387.706,403.367,400.431,377.98,368.556,360.586,354.971,351.139,350.445,352.295,353.806,354.867,355.414,355.465,355.08,354.349,353.38,352.288,351.152,350.013,348.851,347.63,346.351,345.075,343.878,343.878,343.878,341.552,341.552,341.552,341.552,341.552,341.738,341.738,341.738,341.738,341.738,338.68,338.68,338.68,338.68,338.68,333.244,333.244,333.244,333.244,333.244,329.53,329.53,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359,328.359
3,367.38,367.38,367.38,367.38,367.38,375.097,387.835,403.483,400.538,378.08,368.649,360.662,355.049,351.219,350.525,352.376,353.887,354.949,355.497,355.548,355.164,354.433,353.464,352.372,351.238,350.099,348.937,347.716,346.437,345.161,345.161,345.161,342.136,342.136,342.136,342.136,342.136,341.757,341.757,341.757,341.757,341.757,339.782,339.782,339.782,339.782,339.782,334.316,334.316,334.316,334.316,334.316,330.231,330.231,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031,329.031
4,362.38,362.38,362.38,362.38,362.38,367.515,375.206,387.932,403.566,400.612,378.145,368.698,360.713,355.101,351.273,350.579,352.43,353.942,355.004,355.552,355.604,355.222,354.491,353.522,352.43,351.296,350.157,348.996,347.775,346.496,346.496,346.496,342.99,342.99,342.99,342.99,342.99,341.663,341.663,341.663,341.663,341.663,340.699,340.699,340.699,340.699,340.699,335.435,335.435,335.435,335.435,335.435,330.955,330.955,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679,329.679
5,350.403,350.403,350.403,350.403,350.403,362.209,367.315,374.996,387.71,403.333,400.369,377.886,368.44,360.458,354.847,351.02,350.326,352.177,353.689,354.752,355.3,355.352,354.97,354.24,353.271,352.179,351.045,349.906,348.745,347.524,347.524,347.524,343.774,343.774,343.774,343.774,343.774,341.271,341.271,341.271,341.271,341.271,341.101,341.101,341.101,341.101,341.101,336.313,336.313,336.313,336.313,336.313,331.439,331.439,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043,330.043
6,339.207,339.207,339.207,339.207,339.207,350.079,361.849,366.946,374.618,387.319,402.93,399.949,377.469,368.025,360.044,354.433,350.607,349.914,351.765,353.277,354.34,354.888,354.94,354.558,353.828,352.86,351.768,350.634,349.495,348.334,348.334,348.334,344.559,344.559,344.559,344.559,344.559,340.841,340.841,340.841,340.841,340.841,341.087,341.087,341.087,341.087,341.087,337.048,337.048,337.048,337.048,337.048,331.841,331.841,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296,330.296
7,339.184,339.184,339.184,339.184,339.184,338.95,349.789,361.548,366.633,374.293,386.982,402.575,399.594,377.117,367.674,359.695,354.085,350.259,349.567,351.418,352.93,353.993,354.541,354.593,354.211,353.481,352.513,351.421,350.287,349.148,349.148,349.148,345.487,345.487,345.487,345.487,345.487,340.691,340.691,340.691,340.691,340.691,340.879,340.879,340.879,340.879,340.879,337.821,337.821,337.821,337.821,337.821,332.387,332.387,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684,330.684
8,348.814,348.814,348.814,348.814,348.814,339.333,339.072,349.898,361.643,366.715,374.362,387.031,402.624,399.643,377.169,367.726,359.749,354.139,350.314,349.622,351.473,352.985,354.048,354.596,354.648,354.266,353.536,352.568,351.476,350.342,350.342,350.342,346.821,346.821,346.821,346.821,346.821,341.245,341.245,341.245,341.245,341.245,340.865,340.865,340.865,340.865,340.865,338.892,338.892,338.892,338.892,338.892,333.427,333.427,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553,331.553
9,358.515,358.515,358.515,358.515,358.515,349.324,339.821,339.548,350.362,362.093,367.153,374.78,387.449,403.041,400.061,377.589,368.147,360.172,354.562,350.737,350.046,351.897,353.409,354.472,355.02,355.072,354.69,353.96,352.992,351.9,351.9,351.9,348.466,348.466,348.466,348.466,348.466,342.462,342.462,342.462,342.462,342.462,341.136,341.136,341.136,341.136,341.136,340.173,340.173,340.173,340.173,340.173,334.911,334.911,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868,332.868
