  Ages,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,418.09,418.09,418.09,418.09,418.09,408.23,412.315,413.853,415.462,416.634,417.371,417.527,417.216,416.584,415.816,414.909,413.841,412.695,411.548,410.42,409.384,408.499,407.88,407.557,407.56,407.994,408.941,410.406,412.363,414.766,426.483,426.483,426.483,426.483,437.495,437.495,437.495,437.495,437.495,440.469,440.469,440.469,440.469,440.469,439.746,439.746,439.746,439.746,439.746,439.96,439.96,439.96,439.96,439.96,440.421,440.8000714,440.9214156,441.0427597,441.1641039,441.2854481,441.4067922,441.5281364,441.6494805,441.7708247,441.8921688,442.013513,442.1348571,442.2562013,442.3775455,442.4988896,442.6202338,442.7415779,442.8629221,442.9842662,443.1056104,443.2269545,443.3482987,443.4696429,443.590987,443.7123312,443.8336753,443.9550195,444.0763636,444.1977078,444.3190519,444.4403961,444.5617403,444.6830844,444.8044286,444.9257727,445.0471169,445.168461,445.2898052
1,413.082,413.082,413.082,413.082,413.082,418.746,408.933,413.014,414.763,416.245,417.457,418.102,418.264,417.961,417.335,416.573,415.672,414.61,413.469,412.329,411.205,410.174,409.294,408.678,408.359,408.366,408.802,409.751,411.22,413.178,424.323,424.323,424.323,424.323,436.808,436.808,436.808,436.808,436.808,441.175,441.175,441.175,441.175,441.175,440.795,440.795,440.795,440.795,440.795,440.528,440.528,440.528,440.528,440.528,440.826,441.941881,442.1298615,442.317842,442.5058225,442.693803,442.8817835,443.0697641,443.2577446,443.4457251,443.6337056,443.8216861,444.0096667,444.1976472,444.3856277,444.5736082,444.7615887,444.9495693,445.1375498,445.3255303,445.5135108,445.7014913,445.8894719,446.0774524,446.2654329,446.4534134,446.6413939,446.8293745,447.017355,447.2053355,447.393316,447.5812965,447.7692771,447.9572576,448.1452381,448.3332186,448.5211991,448.7091797,448.8971602
2,405.537,405.537,405.537,405.537,405.537,413.937,419.626,409.805,414.126,415.72,417.243,418.347,418.994,419.157,418.856,418.232,417.474,416.574,415.514,414.374,413.236,412.113,411.083,410.204,409.59,409.273,409.281,409.718,410.667,412.137,422.205,422.205,422.205,422.205,435.864,435.864,435.864,435.864,435.864,441.782,441.782,441.782,441.782,441.782,441.933,441.933,441.933,441.933,441.933,441.315,441.315,441.315,441.315,441.315,441.46,443.4061667,443.6901472,443.9741277,444.2581082,444.5420887,444.8260693,445.1100498,445.3940303,445.6780108,445.9619913,446.2459719,446.5299524,446.8139329,447.0979134,447.3818939,447.6658745,447.949855,448.2338355,448.517816,448.8017965,449.0857771,449.3697576,449.6537381,449.9377186,450.2216991,450.5056797,450.7896602,451.0736407,451.3576212,451.6416017,451.9255823,452.2095628,452.4935433,452.7775238,453.0615043,453.3454848,453.6294654,453.9134459
3,402.076,402.076,402.076,402.076,402.076,406.342,414.761,420.44,410.846,415.02,416.653,418.072,419.177,419.824,419.988,419.688,419.065,418.308,417.408,416.349,415.21,414.073,412.951,411.921,411.043,410.429,410.112,410.121,410.558,411.507,420.09,420.09,420.09,420.09,434.475,434.475,434.475,434.475,434.475,442.074,442.074,442.074,442.074,442.074,442.961,442.961,442.961,442.961,442.961,442.141,442.141,442.141,442.141,442.141,442.161,445.0109286,445.4213766,445.8318247,446.2422727,446.6527208,447.0631688,447.4736169,447.8840649,448.294513,448.704961,449.1154091,449.5258571,449.9363052,450.3467532,450.7572013,451.1676494,451.5780974,451.9885455,452.3989935,452.8094416,453.2198896,453.6303377,454.0407857,454.4512338,454.8616818,455.2721299,455.6825779,456.093026,456.503474,456.9139221,457.3243701,457.7348182,458.1452662,458.5557143,458.9661623,459.3766104,459.7870584,460.1975065
4,406.462,406.462,406.462,406.462,406.462,402.797,407.083,415.491,421.388,411.652,415.863,417.393,418.813,419.919,420.566,420.732,420.433,419.81,419.054,418.155,417.096,415.958,414.821,413.7,412.67,411.792,411.179,410.862,410.871,411.308,418.093,418.093,418.093,418.093,432.646,432.646,432.646,432.646,432.646,441.996,441.996,441.996,441.996,441.996,443.83,443.83,443.83,443.83,443.83,442.973,442.973,442.973,442.973,442.973,442.897,446.7040714,447.2697143,447.8353571,448.401,448.9666429,449.5322857,450.0979286,450.6635714,451.2292143,451.7948571,452.3605,452.9261429,453.4917857,454.0574286,454.6230714,455.1887143,455.7543571,456.32,456.8856429,457.4512857,458.0169286,458.5825714,459.1482143,459.7138571,460.2795,460.8451429,461.4107857,461.9764286,462.5420714,463.1077143,463.6733571,464.239,464.8046429,465.3702857,465.9359286,466.5015714,467.0672143,467.6328571
5,393.429,393.429,393.429,393.429,393.429,407.072,403.427,407.703,416.319,422.08,412.38,416.493,418.024,419.445,420.551,421.199,421.367,421.068,420.446,419.69,418.792,417.733,416.596,415.459,414.339,413.309,412.431,411.819,411.502,411.511,416.328,416.328,416.328,416.328,430.456,430.456,430.456,430.456,430.456,441.482,441.482,441.482,441.482,441.482,444.476,444.476,444.476,444.476,444.476,443.773,443.773,443.773,443.773,443.773,443.618,448.3957381,449.1392771,449.882816,450.626355,451.3698939,452.1134329,452.8569719,453.6005108,454.3440498,455.0875887,455.8311277,456.5746667,457.3182056,458.0617446,458.8052835,459.5488225,460.2923615,461.0359004,461.7794394,462.5229784,463.2665173,464.0100563,464.7535952,465.4971342,466.2406732,466.9842121,467.7277511,468.47129,469.214829,469.958368,470.7019069,471.4454459,472.1889848,472.9325238,473.6760628,474.4196017,475.1631407,475.9066797
6,384.619,384.619,384.619,384.619,384.619,393.958,407.616,403.961,408.428,416.919,422.713,412.924,417.038,418.569,419.991,421.098,421.747,421.916,421.617,420.996,420.24,419.342,418.284,417.147,416.011,414.891,413.861,412.984,412.372,412.055,414.923,414.923,414.923,414.923,428.029,428.029,428.029,428.029,428.029,440.519,440.519,440.519,440.519,440.519,444.895,444.895,444.895,444.895,444.895,444.524,444.524,444.524,444.524,444.524,444.331,450.0315476,450.9687619,451.9059762,452.8431905,453.7804048,454.717619,455.6548333,456.5920476,457.5292619,458.4664762,459.4036905,460.3409048,461.278119,462.2153333,463.1525476,464.0897619,465.0269762,465.9641905,466.9014048,467.838619,468.7758333,469.7130476,470.6502619,471.5874762,472.5246905,473.4619048,474.399119,475.3363333,476.2735476,477.2107619,478.1479762,479.0851905,480.0224048,480.959619,481.8968333,482.8340476,483.7712619,484.7084762
7,369.723,369.723,369.723,369.723,369.723,385.114,394.466,408.115,404.639,408.988,417.508,423.218,413.43,417.545,419.077,420.5,421.607,422.256,422.426,422.127,421.507,420.751,419.854,418.796,417.659,416.524,415.404,414.374,413.498,412.886,413.967,413.967,413.967,413.967,425.507,425.507,425.507,425.507,425.507,439.17,439.17,439.17,439.17,439.17,445.091,445.091,445.091,445.091,445.091,445.248,445.248,445.248,445.248,445.248,445.042,451.5845714,452.7237662,453.862961,455.0021558,456.1413506,457.2805455,458.4197403,459.5589351,460.6981299,461.8373247,462.9765195,464.1157143,465.2549091,466.3941039,467.5332987,468.6724935,469.8116883,470.9508831,472.0900779,473.2292727,474.3684675,475.5076623,476.6468571,477.7860519,478.9252468,480.0644416,481.2036364,482.3428312,483.482026,484.6212208,485.7604156,486.8996104,488.0388052,489.178,490.3171948,491.4563896,492.5955844,493.7347792
8,363.362,363.362,363.362,363.362,363.362,370.196,385.599,394.943,408.759,405.173,409.549,417.989,423.7,413.913,418.028,419.561,420.984,422.092,422.741,422.911,422.613,421.993,421.238,420.341,419.283,418.147,417.012,415.892,414.862,413.987,413.504,413.504,413.504,413.504,423.041,423.041,423.041,423.041,423.041,437.428,437.428,437.428,437.428,437.428,445.031,445.031,445.031,445.031,445.031,445.924,445.924,445.924,445.924,445.924,445.742,452.9745238,454.3147965,455.6550693,456.995342,458.3356147,459.6758874,461.0161602,462.3564329,463.6967056,465.0369784,466.3772511,467.7175238,469.0577965,470.3980693,471.738342,473.0786147,474.4188874,475.7591602,477.0994329,478.4397056,479.7799784,481.1202511,482.4605238,483.8007965,485.1410693,486.481342,487.8216147,489.1618874,490.5021602,491.8424329,493.1827056,494.5229784,495.8632511,497.2035238,498.5437965,499.8840693,501.224342,502.5646147
9,353.097,353.097,353.097,353.097,353.097,363.833,370.678,386.072,395.573,409.284,405.725,410.028,418.468,424.179,414.393,418.508,420.042,421.465,422.573,423.223,423.393,423.095,422.476,421.721,420.824,419.767,418.631,417.496,416.376,415.347,413.553,413.553,413.553,413.553,420.78,420.78,420.78,420.78,420.78,435.333,435.333,435.333,435.333,435.333,444.689,444.689,444.689,444.689,444.689,446.529,446.529,446.529,446.529,446.529,446.414,454.1225714,455.6528961,457.1832208,458.7135455,460.2438701,461.7741948,463.3045195,464.8348442,466.3651688,467.8954935,469.4258182,470.9561429,472.4864675,474.0167922,475.5471169,477.0774416,478.6077662,480.1380909,481.6684156,483.1987403,484.7290649,486.2593896,487.7897143,489.320039,490.8503636,492.3806883,493.911013,495.4413377,496.9716623,498.501987,500.0323117,501.5626364,503.092961,504.6232857,506.1536104,507.6839351,509.2142597,510.7445844
