Ages,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083
0,403.602,403.602,403.602,403.602,403.602,401.391,417.204,425.076,432.756,439.442,444.951,449.868,454.456,458.612,462.134,464.892,466.882,468.155,468.819,469.01,468.847,468.454,467.974,467.536,467.311,467.422,468.029,469.222,471.063,473.623,473.623,473.623,485.629,485.629,485.629,485.629,485.629,514.831,514.831,514.831,514.831,514.831,541.367,541.367,541.367,541.367,541.367,557.165,557.165,557.165,557.165,557.165,565.906,565.906,569.22,569.22,569.22,569.22,569.22,569.22,569.22,569.22,569.22,569.22,569.22,569.22,569.22,569.22,569.22,569.22,569.22,569.22,569.22,569.22,569.22,569.22,569.22,569.22,569.22,569.22
1,387.641,387.641,387.641,387.641,387.641,403.578,401.563,417.343,425.196,432.856,439.522,445.01,449.927,454.516,458.673,462.199,464.961,466.954,468.233,468.903,469.1,468.944,468.559,468.084,467.653,467.434,467.553,468.165,469.365,471.21,471.21,471.21,481.094,481.094,481.094,481.094,481.094,508.885,508.885,508.885,508.885,508.885,537.059,537.059,537.059,537.059,537.059,555.007,555.007,555.007,555.007,555.007,564.577,564.577,567.746,567.746,567.746,567.746,567.746,567.746,567.746,567.746,567.746,567.746,567.746,567.746,567.746,567.746,567.746,567.746,567.746,567.746,567.746,567.746,567.746,567.746,567.746,567.746,567.746,567.746
2,374.939,374.939,374.939,374.939,374.939,387.881,403.953,401.927,417.694,425.534,433.181,439.828,445.318,450.237,454.827,458.985,462.514,465.277,467.271,468.552,469.224,469.423,469.27,468.887,468.413,467.985,467.767,467.887,468.501,469.703,469.703,469.703,477.414,477.414,477.414,477.414,477.414,503.105,503.105,503.105,503.105,503.105,532.443,532.443,532.443,532.443,532.443,552.632,552.632,552.632,552.632,552.632,563.341,563.341,566.493,566.493,566.493,566.493,566.493,566.493,566.493,566.493,566.493,566.493,566.493,566.493,566.493,566.493,566.493,566.493,566.493,566.493,566.493,566.493,566.493,566.493,566.493,566.493,566.493,566.493
3,367.38,367.38,367.38,367.38,367.38,375.254,388.322,404.381,402.347,418.1,425.929,433.556,440.206,445.696,450.617,455.208,459.367,462.897,465.661,467.656,468.938,469.611,469.812,469.66,469.279,468.806,468.378,468.161,468.283,468.898,468.898,468.898,474.515,474.515,474.515,474.515,474.515,497.513,497.513,497.513,497.513,497.513,527.467,527.467,527.467,527.467,527.467,549.91,549.91,549.91,549.91,549.91,562.063,562.063,565.343,565.343,565.343,565.343,565.343,565.343,565.343,565.343,565.343,565.343,565.343,565.343,565.343,565.343,565.343,565.343,565.343,565.343,565.343,565.343,565.343,565.343,565.343,565.343,565.343,565.343
4,362.38,362.38,362.38,362.38,362.38,367.675,375.677,388.733,404.779,402.735,418.474,426.285,433.914,440.565,446.057,450.979,455.569,459.729,463.26,466.024,468.02,469.303,469.976,470.178,470.028,469.648,469.177,468.75,468.534,468.656,468.656,468.656,472.321,472.321,472.321,472.321,472.321,492.181,492.181,492.181,492.181,492.181,522.115,522.115,522.115,522.115,522.115,546.721,546.721,546.721,546.721,546.721,560.598,560.598,564.132,564.132,564.132,564.132,564.132,564.132,564.132,564.132,564.132,564.132,564.132,564.132,564.132,564.132,564.132,564.132,564.132,564.132,564.132,564.132,564.132,564.132,564.132,564.132,564.132,564.132
5,350.403,350.403,350.403,350.403,350.403,362.376,367.799,375.789,388.832,404.868,402.814,418.534,426.345,433.974,440.626,446.118,451.04,455.631,459.791,463.323,466.087,468.084,469.368,470.042,470.246,470.096,469.717,469.246,468.82,468.604,468.604,468.604,470.545,470.545,470.545,470.545,470.545,486.985,486.985,486.985,486.985,486.985,516.207,516.207,516.207,516.207,516.207,542.766,542.766,542.766,542.766,542.766,558.598,558.598,562.526,562.526,562.526,562.526,562.526,562.526,562.526,562.526,562.526,562.526,562.526,562.526,562.526,562.526,562.526,562.526,562.526,562.526,562.526,562.526,562.526,562.526,562.526,562.526,562.526,562.526
6,339.207,339.207,339.207,339.207,339.207,350.254,362.356,367.766,375.747,388.777,404.803,402.731,418.45,426.26,433.889,440.542,446.034,450.956,455.548,459.709,463.241,466.006,468.004,469.29,469.963,470.169,470.019,469.641,469.17,468.745,468.745,468.745,469.271,469.271,469.271,469.271,469.271,482.213,482.213,482.213,482.213,482.213,510.014,510.014,510.014,510.014,510.014,538.198,538.198,538.198,538.198,538.198,556.159,556.159,560.613,560.613,560.613,560.613,560.613,560.613,560.613,560.613,560.613,560.613,560.613,560.613,560.613,560.613,560.613,560.613,560.613,560.613,560.613,560.613,560.613,560.613,560.613,560.613,560.613,560.613
7,339.184,339.184,339.184,339.184,339.184,339.127,350.306,362.396,367.794,375.763,388.781,404.789,402.718,418.436,426.245,433.875,440.527,446.02,450.943,455.536,459.697,463.229,465.995,467.993,469.28,469.953,470.16,470.01,469.633,469.162,469.162,469.162,468.646,468.646,468.646,468.646,468.646,478.184,478.184,478.184,478.184,478.184,503.884,503.884,503.884,503.884,503.884,533.232,533.232,533.232,533.232,533.232,553.429,553.429,558.534,558.534,558.534,558.534,558.534,558.534,558.534,558.534,558.534,558.534,558.534,558.534,558.534,558.534,558.534,558.534,558.534,558.534,558.534,558.534,558.534,558.534,558.534,558.534,558.534,558.534
8,348.814,348.814,348.814,348.814,348.814,339.498,339.571,350.738,362.813,368.198,376.154,389.153,405.161,403.09,418.808,426.617,434.246,440.899,446.392,451.315,455.909,460.07,463.602,466.369,468.367,469.654,470.328,470.535,470.385,470.009,470.009,470.009,468.899,468.899,468.899,468.899,468.899,475.266,475.266,475.266,475.266,475.266,498.272,498.272,498.272,498.272,498.272,528.233,528.233,528.233,528.233,528.233,550.682,550.682,556.543,556.543,556.543,556.543,556.543,556.543,556.543,556.543,556.543,556.543,556.543,556.543,556.543,556.543,556.543,556.543,556.543,556.543,556.543,556.543,556.543,556.543,556.543,556.543,556.543,556.543
9,358.515,358.515,358.515,358.515,358.515,349.458,340.259,340.321,351.476,363.538,368.91,376.847,389.846,405.854,403.783,419.501,427.31,434.939,441.592,447.085,452.008,456.603,460.764,464.296,467.064,469.062,470.349,471.024,471.231,471.081,471.081,471.081,469.812,469.812,469.812,469.812,469.812,473.394,473.394,473.394,473.394,473.394,493.262,493.262,493.262,493.262,493.262,523.203,523.203,523.203,523.203,523.203,547.819,547.819,554.519,554.519,554.519,554.519,554.519,554.519,554.519,554.519,554.519,554.519,554.519,554.519,554.519,554.519,554.519,554.519,554.519,554.519,554.519,554.519,554.519,554.519,554.519,554.519,554.519,554.519
