Age,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,79.58465347,79.58465347,79.58465347,79.58465347,79.58465347,72.42003621,70.68449543,69.14315673,67.87615755,66.17450948,64.3069047,63.02826981,62.07059462,60.65517658,59.00240548,58.12117,57.00488722,56.14737543,55.28507481,54.41516471,53.27282087,52.61820487,51.92735312,50.93981384,50.42514053,49.85787934,48.97310325,48.54331725,47.80467214,47.24333596,46.68199978,46.12066359,45.55932741,45.05846814,44.55760887,44.0567496,43.55589033,43.05503106,42.54146082,42.02789058,41.51432033,41.00075009,40.48717985,39.97014259,39.45310533,38.93606807,38.41903081,37.90199355,37.5253637,37.14873385,36.772104,36.39547415,36.0188443,35.27992715,34.86740645,34.45488576,34.04236506,33.62984436,33.2923855,32.95492663,32.61746777,32.2800089,31.94255004,31.51193149,31.08131294,30.65069438,30.22007583,29.78945728,29.44838548,29.10731368,28.76624189,28.42517009,28.08409829,27.73928249,27.39446669,27.04965089,26.70483509,26.36001929,26.11724391,24.93505487,24.5166276,24.09820033,23.67977307,23.2613458,22.84291854,22.42449127,22.00606401,21.58763674,21.16920947,20.75078221,20.33235494,19.91392768,19.49550041
1,26.39091543,26.39091543,26.39091543,26.39091543,26.39091543,24.56737603,23.84523672,23.34895006,22.75025278,22.41661146,21.60131014,21.31720248,20.80789798,20.57246651,19.84969509,19.38257683,18.92033027,18.71607711,18.51429151,18.3113851,17.85140491,17.64078755,17.42258479,17.19240352,17.20595788,16.94902196,16.41800234,16.12395482,15.81160725,15.65507089,15.49853452,15.34199816,15.18546179,15.0420275,14.89859321,14.75515891,14.61172462,14.46829033,14.28685153,14.10541272,13.92397392,13.74253511,13.56109631,13.41757179,13.27404728,13.13052276,12.98699825,12.84347373,12.65662739,12.46978106,12.28293472,12.09608839,11.90924205,11.66727781,11.59356844,11.51985906,11.44614969,11.37244031,11.24676701,11.12109372,10.99542042,10.86974713,10.74407383,10.6145942,10.48511457,10.35563493,10.2261553,10.09667567,9.934460098,9.772244526,9.610028955,9.447813383,9.285597811,9.228986442,9.172375073,9.115763705,9.059152336,9.002540967,8.771120972,8.39189522,8.252242761,8.112590301,7.972937842,7.833285383,7.693632923,7.553980464,7.414328004,7.274675545,7.135023085,6.995370626,6.855718166,6.716065707,6.576413248
2,12.36813762,12.36813762,12.36813762,12.36813762,12.36813762,11.14702932,11.01211332,10.74765279,10.63754344,10.34434038,10.05669462,9.528776906,9.51408084,9.009956001,8.766151634,8.779278895,8.543980138,8.310709735,8.332028824,8.101860643,7.870417386,7.891856114,7.656498836,7.672948254,7.684544332,7.434239029,7.434162798,7.426262337,7.153550972,7.117007045,7.080463117,7.04391919,7.007375262,6.912552035,6.817728808,6.722905582,6.628082355,6.533259128,6.463242134,6.393225139,6.323208145,6.25319115,6.183174156,6.133277291,6.083380425,6.03348356,5.983586694,5.933689829,5.840801811,5.747913793,5.655025774,5.562137756,5.469249738,5.469080671,5.40510642,5.34113217,5.277157919,5.213183668,5.153232943,5.093282218,5.033331492,4.973380767,4.913430042,4.804271106,4.69511217,4.585953234,4.476794298,4.367635362,4.309772671,4.25190998,4.194047288,4.136184597,4.078321906,4.07227579,4.066229674,4.060183557,4.054137441,4.048091325,3.819941443,3.693386428,3.625317487,3.557248546,3.489179605,3.421110664,3.353041722,3.284972781,3.21690384,3.148834899,3.080765958,3.012697016,2.944628075,2.876559134,2.808490193
3,10.91918761,10.91918761,10.91918761,10.91918761,10.91918761,9.776604585,9.612490166,9.493947608,8.939609109,8.596539134,8.564231738,8.284276193,8.01213839,7.999800005,7.746862521,7.502475817,7.513693707,7.276431638,7.292203628,7.058782007,7.078232161,6.844297306,6.862912061,6.625317888,6.639529717,6.649548342,6.398804191,6.398738681,6.136271244,6.048475071,5.960678897,5.872882724,5.78508655,5.746129066,5.707171582,5.668214098,5.629256614,5.59029913,5.519058283,5.447817436,5.376576588,5.305335741,5.234094894,5.182413955,5.130733016,5.079052077,5.027371138,4.975690199,4.930161158,4.884632116,4.839103075,4.793574033,4.748044992,4.511456726,4.44988514,4.388313554,4.326741968,4.265170382,4.209018154,4.152865926,4.096713697,4.040561469,3.984409241,3.970740825,3.95707241,3.943403994,3.929735579,3.916067163,3.858557947,3.801048731,3.743539515,3.686030299,3.628521083,3.577228779,3.525936475,3.474644172,3.423351868,3.372059564,3.368697168,3.19137666,3.136247749,3.081118839,3.025989928,2.970861018,2.915732108,2.860603197,2.805474287,2.750345376,2.695216466,2.640087556,2.584958645,2.529829735,2.474700824
4,10.05556343,10.05556343,10.05556343,10.05556343,10.05556343,9.087250587,8.735868448,8.587224735,8.231314915,8.160787924,7.826701676,7.798310534,7.521285237,7.501537815,7.240334154,6.987998113,6.993111785,6.753427364,6.765662509,6.529185459,6.545870185,6.311425953,6.075672501,6.092174602,5.852953451,5.865491528,5.874330199,5.623305021,5.623247528,5.606956135,5.590664742,5.574373349,5.558081956,5.472690499,5.387299041,5.301907584,5.216516126,5.131124669,5.057836567,4.984548466,4.911260364,4.837972263,4.764684161,4.758277821,4.751871481,4.745465142,4.739058802,4.732652462,4.639384514,4.546116566,4.452848617,4.359580669,4.266312721,4.030709263,4.029857037,4.029004811,4.028152584,4.027300358,3.973068662,3.918836966,3.864605271,3.810373575,3.756141879,3.697616569,3.639091259,3.58056595,3.52204064,3.46351533,3.452124107,3.440732884,3.429341662,3.417950439,3.406559216,3.309737697,3.212916178,3.11609466,3.019273141,2.922451622,2.918901685,2.876363381,2.823063546,2.769763711,2.716463876,2.663164041,2.609864206,2.556564371,2.503264536,2.449964701,2.396664866,2.34336503,2.290065195,2.23676536,2.183465525
5,9.339983402,9.339983402,9.339983402,9.339983402,9.339983402,8.496395469,8.296280933,8.208201019,7.815986466,7.720180802,7.638894194,7.311360594,7.284876346,7.009954135,6.741876039,6.731505189,6.479702332,6.48443735,6.244317671,6.005389837,6.018355986,5.78230865,5.7981829,5.561341598,5.576424903,5.590354098,5.602312227,5.355708292,5.359863808,5.287244666,5.214625523,5.142006381,5.069387238,5.038310773,5.007234308,4.976157844,4.945081379,4.914004914,4.838369826,4.762734737,4.687099649,4.61146456,4.535829472,4.479648948,4.423468424,4.367287899,4.311107375,4.254926851,4.208338219,4.161749587,4.115160954,4.068572322,4.02198369,4.023801972,3.964785307,3.905768643,3.846751978,3.787735313,3.735327304,3.682919295,3.630511285,3.578103276,3.525695267,3.468542365,3.411389463,3.354236562,3.29708366,3.239930758,3.183364469,3.12679818,3.070231891,3.013665602,2.957099313,2.950255195,2.943411076,2.936566958,2.929722839,2.922878721,2.69412882,2.652270712,2.60056178,2.548852848,2.497143916,2.445434984,2.393726053,2.342017121,2.290308189,2.238599257,2.186890325,2.135181394,2.083472462,2.03176353,1.980054598
6,8.70203682,8.70203682,8.70203682,8.70203682,8.70203682,7.995202878,7.714144656,7.507196554,7.170937216,7.04950515,6.963719024,6.866332844,6.546809689,6.523124476,6.501137699,5.985321,5.976125379,5.724910579,5.729088826,5.488131915,5.498034453,5.509890253,5.27283136,5.287288603,5.301798572,5.063009149,5.075639721,5.086482926,5.094113752,5.027286954,4.960460156,4.893633357,4.826806559,4.800604996,4.774403433,4.748201869,4.722000306,4.695798743,4.570778198,4.445757653,4.320737107,4.195716562,4.070696017,4.012616514,3.954537011,3.896457508,3.838378005,3.780298502,3.780057424,3.779816346,3.779575268,3.77933419,3.779093112,3.544540698,3.486245547,3.427950396,3.369655245,3.311360094,3.260818236,3.210276379,3.159734521,3.109192664,3.058650806,3.05003177,3.041412735,3.032793699,3.024174664,3.015555628,2.959453049,2.903350471,2.847247892,2.791145314,2.735042735,2.727953335,2.720863935,2.713774536,2.706685136,2.699595736,2.694933525,2.390091796,2.341809128,2.29352646,2.245243792,2.196961123,2.148678455,2.100395787,2.052113118,2.00383045,1.955547782,1.907265114,1.858982445,1.810699777,1.762417109
7,7.930955369,7.930955369,7.930955369,7.930955369,7.930955369,7.331716735,6.919328612,6.675070409,6.719388019,6.39275011,6.285086495,6.209328896,5.841121495,5.783573645,5.762677891,5.49357252,5.479165473,5.22208794,5.220062939,5.223867602,4.982474147,4.991452138,5.002200968,5.01490681,4.777206189,4.790298385,4.803243959,4.815209981,4.571509843,4.509312117,4.447114391,4.384916665,4.322718939,4.253506556,4.184294173,4.115081789,4.045869406,3.976657023,3.950478733,3.924300443,3.898122152,3.871943862,3.845765572,3.738125622,3.630485672,3.522845721,3.415205771,3.307565821,3.25910694,3.21064806,3.162189179,3.113730299,3.065271418,3.066544005,3.067641466,3.068738926,3.069836387,3.070933847,3.021714839,2.972495831,2.923276824,2.874057816,2.824838808,2.817753696,2.810668584,2.803583471,2.796498359,2.789413247,2.73401791,2.678622573,2.623227235,2.567831898,2.512436561,2.505261791,2.498087021,2.490912251,2.483737481,2.476562711,2.471560206,2.246648488,2.207847754,2.169047021,2.130246287,2.091445553,2.052644819,2.013844086,1.975043352,1.936242618,1.897441884,1.858641151,1.819840417,1.781039683,1.742238949
8,7.215111329,7.215111329,7.215111329,7.215111329,7.215111329,6.788463007,6.508315729,6.3773985,6.152189795,6.193596338,5.873325145,5.775063777,5.457472644,5.326447843,5.274036421,5.255005393,4.987929211,4.974864497,4.967228709,4.965304932,4.720473439,4.727438301,4.73594608,4.496335487,4.507742047,4.520057756,4.532429533,4.544662672,4.049751193,4.054193606,4.05863602,4.063078433,4.067520846,3.953602172,3.839683499,3.725764825,3.611846152,3.497927478,3.474521856,3.451116234,3.427710612,3.40430499,3.380899368,3.319389783,3.257880198,3.196370612,3.134861027,3.073351442,3.070839081,3.06832672,3.065814359,3.063301998,3.060789637,2.826089516,2.827269534,2.828449552,2.82962957,2.830809588,2.782649408,2.734489228,2.686329048,2.638168868,2.590008688,2.584407032,2.578805377,2.573203721,2.567602066,2.56200041,2.507472641,2.452944872,2.398417104,2.343889335,2.289361566,2.282299133,2.2752367,2.268174266,2.261111833,2.2540494,2.248833418,2.090523935,2.056637148,2.022750361,1.988863573,1.954976786,1.921089999,1.887203212,1.853316425,1.819429638,1.785542851,1.751656064,1.717769276,1.683882489,1.649995702
9,7.139903433,7.139903433,7.139903433,7.139903433,7.139903433,6.627535392,6.495633804,6.226801779,6.10134601,5.886794385,5.669036496,5.35517565,5.516452821,5.20238517,5.065804804,5.016026204,4.99795084,4.981146361,4.719711253,4.712476903,4.71065426,4.714067024,4.472538613,4.4805767,4.490188937,4.501564294,4.263076989,4.274729309,4.034118558,3.97759753,3.921076502,3.864555473,3.808034445,3.799248753,3.790463062,3.78167737,3.772891679,3.764105987,3.690978927,3.617851867,3.544724808,3.471597748,3.398470688,3.334242742,3.270014797,3.205786851,3.141558906,3.07733096,3.026188238,2.975045516,2.923902795,2.872760073,2.821617351,2.821670429,2.822788513,2.823906596,2.82502468,2.826142763,2.778779382,2.731416001,2.684052619,2.636689238,2.589325857,2.584671191,2.580016524,2.575361858,2.570707191,2.566052525,2.511773398,2.457494271,2.403215145,2.348936018,2.294656891,2.287154058,2.279651226,2.272148393,2.264645561,2.257142728,2.251228045,2.056087557,2.020336908,1.984586259,1.94883561,1.913084962,1.877334313,1.841583664,1.805833016,1.770082367,1.734331718,1.698581069,1.662830421,1.627079772,1.591329123
