Age,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,93.88101239,93.88101239,93.88101239,93.88101239,93.88101239,88.07123985,85.74708969,83.96427175,81.72742941,79.81745054,78.24857202,76.78415519,74.92627063,73.60133489,72.29598601,71.00956342,69.74459962,68.72802337,67.22060979,66.43176266,65.37988641,64.29893381,63.66182837,62.73202887,61.75138696,61.19621465,60.56624555,59.37693158,58.85330511,58.11304678,57.37278844,56.63253011,55.89227177,55.2519977,54.61172363,53.97144957,53.3311755,52.69090143,52.04241477,51.39392811,50.74544144,50.09695478,49.44846812,48.95778283,48.46709754,47.97641226,47.48572697,46.99504168,46.36495411,45.73486654,45.10477896,44.47469139,43.84460382,43.58802056,43.06609718,42.5441738,42.02225042,41.50032704,41.01619637,40.5320657,40.04793502,39.56380435,39.07967368,38.59607717,38.11248067,37.62888416,37.14528766,36.66169115,36.23118514,35.80067913,35.37017312,34.93966711,34.5091611,34.17255635,33.83595159,33.49934684,33.16274208,32.82613733,31.94641578,30.79807826,30.29061558,29.7831529,29.27569022,28.76822754,28.26076486,27.75330218,27.24583951,26.73837683,26.23091415,25.72345147,25.21598879,24.70852611,24.20106343
1,29.73844673,29.73844673,29.73844673,29.73844673,29.73844673,27.66654185,27.10894131,26.34995153,25.76258454,25.18994417,24.40267281,23.88732825,23.63930715,23.17851519,22.73461525,21.81715308,21.62411521,21.19766826,21.01454351,20.58814268,20.40147182,20.20920176,20.00858905,19.54995992,19.07608177,18.83119424,18.56683572,18.52388972,18.21493625,18.04699034,17.87904443,17.71109851,17.5431526,17.3412637,17.1393748,16.9374859,16.735597,16.5337081,16.26285109,15.99199408,15.72113707,15.45028006,15.17942305,15.04251587,14.90560869,14.76870152,14.63179434,14.49488716,14.36288923,14.2308913,14.09889337,13.96689544,13.83489751,13.60365303,13.47390591,13.34415879,13.21441167,13.08466455,12.91407336,12.74348217,12.57289097,12.40229978,12.23170859,12.05768695,11.88366532,11.70964368,11.53562205,11.36160041,11.24567501,11.12974961,11.0138242,10.8978988,10.7819734,10.63989753,10.49782165,10.35574578,10.2136699,10.07159403,10.06426138,9.595084307,9.437058596,9.279032886,9.121007176,8.962981465,8.804955755,8.646930044,8.488904334,8.330878623,8.172852913,8.014827203,7.856801492,7.698775782,7.540750071
2,13.05447658,13.05447658,13.05447658,13.05447658,13.05447658,12.30694981,11.66436157,11.45288357,10.85325911,10.57095151,10.05494308,9.789665456,9.774565151,9.532456824,9.300817041,9.07584059,8.853030129,8.872135739,8.654345443,8.437069107,8.218555565,7.998545719,8.018564191,7.792220442,7.803888287,7.809925928,7.565718023,7.557657614,7.540212439,7.442103203,7.343993966,7.24588473,7.147775493,7.054333457,6.960891421,6.867449386,6.77400735,6.680565314,6.612301187,6.54403706,6.475772933,6.407508806,6.339244679,6.291516897,6.243789115,6.196061332,6.14833355,6.100605768,6.057599686,6.014593605,5.971587523,5.928581442,5.88557536,5.658963685,5.597640821,5.536317957,5.474995093,5.413672229,5.355454924,5.297237619,5.239020313,5.180803008,5.122585703,5.060875758,4.999165813,4.937455868,4.875745923,4.814035978,4.757047373,4.700058768,4.643070162,4.586081557,4.529092952,4.479557877,4.430022802,4.380487727,4.330952652,4.281417577,4.277745457,4.104136445,4.042519645,3.980902845,3.919286045,3.857669245,3.796052446,3.734435646,3.672818846,3.611202046,3.549585246,3.487968446,3.426351646,3.364734846,3.303118046
3,11.18067979,11.18067979,11.18067979,11.18067979,11.18067979,9.833953692,9.63467713,9.264626232,8.99610736,8.905319605,8.631810139,8.36358162,8.10322556,8.090749656,7.611852606,7.379248126,7.390207736,7.164743729,6.940837735,6.958474702,6.73693936,6.755420018,6.531836656,6.548153178,6.562126323,6.32852852,6.333415343,6.333276496,6.326542034,6.241013058,6.155484082,6.069955105,5.984426129,5.89787324,5.81132035,5.724767461,5.638214571,5.551661682,5.528155429,5.504649175,5.481142922,5.457636668,5.434130415,5.384541133,5.334951851,5.28536257,5.235773288,5.186184006,5.143009939,5.099835872,5.056661806,5.013487739,4.970313672,4.51926336,4.516899164,4.514534967,4.512170771,4.509806574,4.455376601,4.400946628,4.346516656,4.292086683,4.23765671,4.135430494,4.033204278,3.930978061,3.828751845,3.726525629,3.714956384,3.703387139,3.691817895,3.68024865,3.668679405,3.576705546,3.484731687,3.392757827,3.300783968,3.208810109,3.205587125,3.153577638,3.0931724,3.032767163,2.972361925,2.911956687,2.85155145,2.791146212,2.730740974,2.670335737,2.609930499,2.549525261,2.489120024,2.428714786,2.368309548
4,10.81548778,10.81548778,10.81548778,10.81548778,10.81548778,9.425397975,9.08093568,8.654636722,8.535093459,8.251025311,8.168560652,7.899272309,7.633952002,7.613862941,7.364592465,6.886741598,6.891634981,6.663858326,6.67586983,6.451273768,6.467639048,6.245120999,6.262223378,6.037670232,6.052726511,6.065620307,5.831668878,5.836164278,5.836036553,5.759059555,5.682082557,5.605105558,5.52812856,5.491817696,5.455506832,5.419195969,5.382885105,5.346574241,5.274523715,5.20247319,5.130422664,5.058372139,4.986321613,4.934577326,4.88283304,4.831088753,4.779344467,4.72760018,4.684004851,4.640409523,4.596814194,4.553218866,4.509623537,4.28564984,4.228372165,4.171094491,4.113816816,4.056539141,4.004537843,3.952536544,3.900535246,3.848533947,3.796532649,3.740110361,3.683688073,3.627265784,3.570843496,3.514421208,3.4164519,3.318482592,3.220513285,3.122543977,3.024574669,3.018445483,3.012316297,3.006187112,3.000057926,2.99392874,2.990290101,2.748914612,2.687742726,2.62657084,2.565398953,2.504227067,2.443055181,2.381883294,2.320711408,2.259539522,2.198367635,2.137195749,2.076023863,2.014851976,1.95368009
5,9.905491452,9.905491452,9.905491452,9.905491452,9.905491452,8.837153357,8.669374814,8.33137301,8.16038517,7.812056133,7.75424848,7.437798412,7.410577045,7.147247595,6.890848953,6.643004916,6.40320255,6.407746253,6.179544282,6.190667806,6.203932816,5.980432026,5.996742569,5.772616631,5.788209417,5.802623753,5.572677405,5.580952936,5.585249114,5.515305528,5.445361941,5.375418355,5.305474768,5.272965136,5.240455503,5.207945871,5.175436238,5.142926606,5.068320856,4.993715106,4.919109356,4.844503606,4.769897856,4.715530552,4.661163248,4.606795944,4.55242864,4.498061336,4.45379634,4.409531344,4.365266347,4.321001351,4.276736355,4.053415002,3.99725768,3.941100357,3.884943035,3.828785712,3.778593676,3.72840164,3.678209604,3.628017568,3.577825532,3.522750774,3.467676015,3.412601257,3.357526498,3.30245174,3.247888222,3.193324704,3.138761186,3.084197668,3.02963415,2.979838019,2.930041888,2.880245758,2.830449627,2.780653496,2.776632713,2.608821874,2.550022974,2.491224074,2.432425173,2.373626273,2.314827373,2.256028473,2.197229573,2.138430673,2.079631773,2.020832872,1.962033972,1.903235072,1.844436172
6,9.353200223,9.353200223,9.353200223,9.353200223,9.353200223,8.624210187,8.3355398,7.914386128,7.829052636,7.66942846,7.328743806,7.26035387,6.949153761,6.685002674,6.424441431,6.407563773,6.397710094,6.158291785,6.1626562,5.934365913,5.945034588,5.719446834,5.733903857,5.749522071,5.524994595,5.539899318,5.5536775,5.323486496,5.331381725,5.267476741,5.203571756,5.139666772,5.075761787,5.04821498,5.020668173,4.993121366,4.965574559,4.938027752,4.907285876,4.876544,4.845802123,4.815060247,4.784318371,4.72662611,4.66893385,4.611241589,4.553549329,4.495857068,4.405658057,4.315459046,4.225260036,4.135061025,4.044862014,4.046735296,3.935141481,3.823547666,3.711953851,3.600360036,3.551788003,3.50321597,3.454643937,3.406071904,3.357499871,3.348027954,3.338556036,3.329084119,3.319612201,3.310140284,3.255237273,3.200334262,3.145431252,3.090528241,3.03562523,2.9849451,2.93426497,2.883584841,2.832904711,2.782224581,2.777415764,2.582106608,2.525978117,2.469849626,2.413721135,2.357592644,2.301464154,2.245335663,2.189207172,2.133078681,2.07695019,2.020821699,1.964693208,1.908564717,1.852436227
7,8.919449265,8.919449265,8.919449265,8.919449265,8.919449265,8.044112877,7.853608733,7.589501027,7.408779404,7.085492576,6.941701674,6.611960564,6.526673548,6.462391276,6.200308108,6.179338668,5.926080443,5.916977702,5.914597937,5.68203341,5.690386093,5.463079086,5.47474358,5.488565885,5.264215775,5.278551565,5.292774641,5.305922616,5.075467366,5.076950318,5.078433271,5.079916223,5.081399175,5.011175233,4.940951291,4.870727349,4.800503407,4.730279465,4.699147119,4.668014773,4.636882426,4.60575008,4.574617734,4.469053984,4.363490233,4.257926483,4.152362732,4.046798982,4.000304688,3.953810394,3.9073161,3.860821806,3.814327512,3.59142995,3.536502081,3.481574213,3.426646344,3.371718475,3.369344031,3.366969586,3.364595142,3.362220697,3.359846253,3.307177502,3.254508752,3.201840001,3.149171251,3.0965025,3.085723033,3.074943566,3.064164099,3.053384632,3.042605165,2.991055919,2.939506673,2.887957428,2.836408182,2.784858936,2.779244601,2.543890001,2.493978952,2.444067904,2.394156855,2.344245806,2.294334757,2.244423708,2.19451266,2.144601611,2.094690562,2.044779513,1.994868464,1.944957416,1.895046367
8,8.250530097,8.250530097,8.250530097,8.250530097,8.250530097,7.288413312,7.515874044,6.830704777,6.845346509,6.659037547,6.344527357,6.216496669,6.132755282,6.03622702,5.976843318,5.716817448,5.697505205,5.682558098,5.437429373,5.435244964,5.439075263,5.210232897,5.21956578,5.230697537,5.005529919,5.019120459,5.032772938,5.04631799,4.817942016,4.762687132,4.707432249,4.652177365,4.596922481,4.533568003,4.470213525,4.406859047,4.343504569,4.280150091,4.251517975,4.22288586,4.194253744,4.165621629,4.136989513,4.074575163,4.012160813,3.949746464,3.887332114,3.824917764,3.732139852,3.639361941,3.546584029,3.453806118,3.361028206,3.361894495,3.363277536,3.364660576,3.366043617,3.367426657,3.321322011,3.275217365,3.22911272,3.183008074,3.136903428,3.08578048,3.034657533,2.983534585,2.932411638,2.88128869,2.871456307,2.861623924,2.851791541,2.841959158,2.832126775,2.780482059,2.728837343,2.677192628,2.625547912,2.573903196,2.56792702,2.425837438,2.382465118,2.339092799,2.295720479,2.252348159,2.208975839,2.16560352,2.1222312,2.07885888,2.03548656,1.992114241,1.948741921,1.905369601,1.861997281
9,7.924221799,7.924221799,7.924221799,7.924221799,7.924221799,7.415809958,7.00942768,6.987613808,6.568177684,6.348090201,6.404303692,6.09339963,5.970576997,5.890238932,5.788083783,5.731206419,5.472359824,5.453894436,5.203098208,5.195111872,4.956980491,4.96046978,4.967733389,4.73963974,4.74973639,4.761689352,4.774602932,4.54819652,4.560423207,4.507809793,4.455196379,4.402582964,4.34996955,4.339931782,4.329894014,4.319856247,4.309818479,4.299780711,4.225490328,4.151199945,4.076909562,4.002619179,3.928328796,3.908799792,3.889270788,3.869741785,3.850212781,3.830683777,3.736013931,3.641344084,3.546674238,3.452004391,3.357334545,3.357349574,3.302614253,3.247878932,3.19314361,3.138408289,3.138072175,3.137736062,3.137399948,3.137063835,3.136727721,3.086675029,3.036622336,2.986569644,2.936516951,2.886464259,2.877016936,2.867569613,2.858122289,2.848674966,2.839227643,2.786975595,2.734723547,2.682471498,2.63021945,2.577967402,2.571189818,2.43394073,2.393040203,2.352139675,2.311239148,2.27033862,2.229438093,2.188537565,2.147637038,2.10673651,2.065835983,2.024935456,1.984034928,1.943134401,1.902233873
