"Population and migration > Population > Projections > Local authority > 2011-based > Population projections by local authority and year"
""

Filters:
Gender: @Female

"","","","","",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
"Wales","","","","",1559283,1564269,1569488,1574915,1580527,1586270,1592073,1597877,1603634,1609303,1614857,1620264,1625493,1630504,1635282,1639807,1644063,1648077,1651867,1655429,1658766,1661900,1664836,1667580,1670139,1672532
"Wales","Blaenau Gwent","All ages","","",35502,35426,35365,35313,35270,35233,35200,35167,35132,35093,35049,34999,34941,34873,34797,34713,34620,34520,34414,34301,34181,34055,33924,33789,33652,33511
"","","All ages","Aged 15 and under","",6147,6085,6062,5992,5972,5962,5976,6006,6045,6053,6051,5955,5908,5848,5810,5734,5672,5590,5502,5407,5308,5206,5105,5008,4916,4830
"","","","Aged 15 and under","Age 0",368,382,384,385,386,384,380,376,370,363,355,346,338,329,321,314,306,300,295,290,286,282,280,278,277,277
"","","","","Age 1",391,368,382,384,385,386,385,381,376,370,363,355,347,339,330,322,314,307,301,296,291,286,283,280,279,278
"","","","","Age 10",361,340,324,350,351,437,379,384,354,385,363,376,378,380,380,379,375,370,364,357,349,341,333,324,316,308
"","","","","Age 11",389,362,341,325,350,352,437,380,385,354,385,363,377,379,380,381,379,376,371,365,358,350,342,333,325,317
"","","","","Age 12",401,389,362,341,325,350,352,438,380,385,355,386,363,377,379,380,381,380,376,371,365,358,350,342,334,325
"","","","","Age 13",450,400,388,361,340,324,350,351,437,379,384,354,385,362,376,378,379,380,379,375,370,364,357,349,341,333
"","","","","Age 14",399,448,398,386,359,338,323,348,349,435,377,383,352,383,361,375,376,378,378,377,373,368,362,355,347,339
"","","","","Age 15",437,400,449,399,387,360,339,323,348,350,435,378,383,353,383,361,375,377,378,379,378,374,369,363,356,348
"","","","","Age 2",361,393,370,384,386,387,388,386,383,378,372,365,357,348,340,332,323,316,309,302,297,292,288,284,282,280
"","","","","Age 3",390,359,390,368,382,384,385,386,384,380,375,370,363,355,346,338,329,321,314,306,300,295,290,286,282,280
"","","","","Age 4",383,388,358,389,366,380,382,383,384,383,379,374,368,361,353,345,336,328,320,312,305,299,294,289,284,281
