"Population and migration > Population > Projections > Local authority > 2011-based > Population projections by local authority and year"
""

Filters:
Gender: @Male

"","","","","",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
"Wales","","","","",1504475,1512387,1520407,1528521,1536712,1544901,1553012,1560992,1568806,1576424,1583810,1590931,1597766,1604288,1610488,1616367,1621904,1627136,1632106,1636820,1641311,1645590,1649669,1653570,1657338,1661004
"Wales","Blaenau Gwent","All ages","","",34310,34258,34212,34169,34131,34091,34050,34002,33949,33888,33817,33737,33645,33543,33431,33309,33178,33037,32889,32733,32571,32403,32229,32054,31876,31698
"","","All ages","Aged 15 and under","",6327,6269,6218,6177,6157,6110,6114,6191,6207,6193,6179,6134,6112,6025,5906,5782,5659,5571,5477,5377,5272,5165,5059,4956,4859,4769
"","","","Aged 15 and under","Age 0",445,400,402,403,404,402,398,393,387,379,371,362,354,344,336,328,320,314,308,303,299,295,292,290,289,289
"","","","","Age 1",450,442,398,399,400,401,400,396,390,384,377,368,360,351,342,333,325,318,311,306,301,296,292,289,288,287
"","","","","Age 10",369,291,345,368,359,382,351,406,430,426,419,376,377,378,378,377,373,368,362,354,346,337,328,319,311,303
"","","","","Age 11",420,366,288,342,365,356,379,348,402,427,423,416,373,374,375,375,374,370,365,358,351,343,334,325,316,308
"","","","","Age 12",394,418,364,287,340,363,354,377,346,400,425,421,414,371,372,373,373,372,368,363,356,349,341,332,323,314
"","","","","Age 13",416,396,420,366,289,343,365,357,380,348,403,427,424,416,373,374,375,376,374,370,365,359,351,343,334,326
"","","","","Age 14",426,417,397,421,367,290,344,367,358,381,349,404,428,425,417,374,376,376,377,375,371,366,360,352,344,335
"","","","","Age 15",432,427,418,399,423,369,291,345,368,359,382,351,405,430,426,419,376,377,378,378,376,373,367,361,354,345
"","","","","Age 2",441,438,430,386,388,388,389,388,384,378,372,365,356,348,339,330,321,314,306,299,294,289,284,280,278,276
"","","","","Age 3",416,441,437,430,386,387,388,389,387,383,378,372,365,356,347,339,330,321,313,305,299,293,288,284,280,277
"","","","","Age 4",356,411,436,432,425,381,383,383,384,382,378,373,367,360,351,343,334,325,316,308,300,294,289,283,279,275
"","","","","Age 5",390,358,413,438,434,426,383,384,385,386,384,380,375,369,361,353,344,336,327,318,310,302,296,290,285,281
"","","","","Age 6",364,387,355,410,435,431,424,381,382,383,383,382,378,373,366,359,351,342,333,324,316,308,300,293,288,283
"","","","","Age 7",371,362,385,353,409,433,429,422,379,380,381,381,380,376,371,364,357,349,340,331,322,314,306,298,292,286
"","","","","Age 8",347,370,361,384,352,407,432,428,421,378,379,380,380,379,375,370,363,356,348,339,330,321,313,305,297,290
"","","","","Age 9",290,344,367,358,381,350,404,429,425,417,375,376,377,377,375,372,366,360,353,344,336,327,318,309,301,294
"","","","Aged 16 to 64","",22303,22093,21963,21810,21697,21611,21501,21301,21166,21087,20967,20835,20712,20604,20512,20433,20292,20115,19912,19724,19560,19398,19232,19023,18844,18700
"","","","Aged 16 to 64","Age 16",434,432,427,418,399,423,369,291,345,368,358,382,350,405,429,425,418,376,377,378,378,376,373,367,361,354
"","","","","Age 17",492,433,431,427,417,398,422,368,291,345,366,357,381,349,404,428,424,417,375,376,377,377,375,372,366,360
"","","","","Age 18",494,488,430,427,422,413,394,418,365,288,340,362,353,376,346,399,423,420,414,372,372,373,373,371,368,363
"","","","","Age 19",454,454,448,392,388,383,374,355,376,326,253,300,322,315,337,309,359,383,381,374,334,333,334,334,332,328
"","","","","Age 20",471,441,441,434,379,376,371,361,343,363,312,242,289,310,304,324,298,348,371,368,361,322,321,322,322,320
"","","","","Age 21",459,470,440,440,433,378,375,370,361,342,362,311,242,288,309,303,323,298,347,370,367,360,321,321,321,321
"","","","","Age 22",483,475,485,455,455,448,392,389,385,376,357,377,325,254,303,325,318,339,312,363,387,383,375,335,335,336
"","","","","Age 23",434,493,484,495,464,465,458,402,399,395,385,366,388,336,262,313,336,328,350,321,373,397,393,385,345,345
"","","","","Age 24",427,439,498,489,500,469,470,464,407,404,400,391,371,394,341,267,318,341,333,355,326,378,402,399,391,350
"","","","","Age 25",446,428,440,500,491,502,471,472,466,409,406,401,392,374,397,343,268,319,342,335,356,327,379,404,401,393
"","","","","Age 26",462,445,427,439,499,490,502,471,472,465,408,405,401,392,373,397,342,267,319,342,334,356,326,379,404,400
"","","","","Age 27",400,468,451,433,444,505,496,507,476,477,471,413,410,406,397,379,402,348,272,324,348,340,361,331,385,409
"","","","","Age 28",413,400,468,451,433,444,505,496,507,476,477,471,413,410,406,397,379,402,348,272,324,348,340,362,332,385
"","","","","Age 29",395,412,399,467,450,432,444,504,495,507,475,477,470,413,410,406,397,378,402,347,271,324,348,340,361,331
"","","","","Age 30",393,398,416,403,471,454,435,447,508,499,510,479,480,474,416,414,410,401,382,406,351,275,328,351,343,365
"","","","","Age 31",424,396,401,418,405,474,456,438,450,511,502,513,481,483,477,419,416,412,403,385,409,354,277,330,354,346
"","","","","Age 32",405,423,395,400,417,404,472,455,437,449,509,500,512,480,482,476,418,415,411,402,384,408,353,276,329,353
"","","","","Age 33",378,405,423,395,400,418,404,473,456,437,449,510,501,512,481,482,476,418,416,412,403,385,409,354,277,330
"","","","","Age 34",375,377,404,422,394,399,417,403,472,455,436,448,509,500,511,480,481,475,417,415,411,402,384,408,353,276
"","","","","Age 35",357,373,375,402,420,392,397,415,402,470,453,434,446,506,498,509,478,479,473,416,413,409,401,382,407,352
"","","","","Age 36",406,356,372,374,401,419,391,396,413,400,468,451,433,445,505,496,508,477,478,472,415,412,408,400,381,405
"","","","","Age 37",402,403,354,369,371,398,416,388,393,411,398,465,448,430,442,502,493,505,474,475,469,412,410,406,397,379
"","","","","Age 38",440,399,400,350,366,368,394,412,385,390,407,394,461,444,427,438,498,489,501,470,472,465,409,406,402,393
"","","","","Age 39",503,436,395,396,347,362,364,391,408,381,386,403,391,457,441,423,435,494,486,497,467,468,462,405,403,398
"","","","","Age 40",479,499,432,391,392,343,359,361,387,405,378,383,400,387,453,437,420,431,490,482,493,463,464,458,402,399
"","","","","Age 41",525,479,498,432,391,392,343,359,360,387,404,377,382,399,387,453,437,419,431,490,481,493,462,464,457,401
"","","","","Age 42",565,526,479,499,432,391,392,344,359,361,388,405,378,383,400,388,454,438,420,432,491,482,494,463,464,458
"","","","","Age 43",518,561,522,475,494,429,388,389,340,356,358,384,401,375,380,397,384,450,434,417,428,487,478,490,459,461
"","","","","Age 44",516,517,560,521,475,494,428,388,388,340,356,358,384,401,374,380,396,384,450,434,417,428,486,478,489,459
"","","","","Age 45",518,515,516,559,520,474,493,428,387,388,340,355,357,383,400,374,379,396,384,449,433,416,427,486,477,489
"","","","","Age 46",541,515,512,514,556,517,472,491,425,385,386,338,353,355,381,398,372,377,394,382,447,431,414,425,484,475
"","","","","Age 47",553,537,512,509,510,553,514,469,488,423,382,383,335,350,352,378,396,369,374,391,379,444,428,411,423,481
"","","","","Age 48",520,551,536,511,508,509,551,513,467,486,421,381,382,334,349,352,377,395,368,373,390,378,443,427,411,422
"","","","","Age 49",522,515,546,531,506,503,504,546,508,462,481,416,377,377,330,345,347,373,390,364,369,386,374,438,423,406
"","","","","Age 50",460,522,515,546,531,506,503,505,546,509,463,482,418,378,379,332,347,349,375,391,366,371,387,376,440,424
"","","","","Age 51",479,460,522,515,546,530,506,503,504,546,508,463,482,418,378,379,332,347,349,375,392,366,371,387,376,440
"","","","","Age 52",470,480,461,523,516,547,532,507,504,506,548,510,465,484,420,380,381,334,349,351,377,394,368,373,390,378
"","","","","Age 53",423,467,478,458,520,513,544,529,504,502,503,545,507,463,482,418,378,379,332,348,350,375,392,366,372,388
"","","","","Age 54",467,421,465,475,456,518,511,542,527,502,500,501,543,506,461,480,417,377,378,332,347,349,374,391,365,371
"","","","","Age 55",423,463,417,461,471,452,514,507,538,523,499,496,498,539,502,458,477,414,375,375,329,344,346,372,389,363
"","","","","Age 56",384,418,458,412,456,466,447,508,502,532,518,494,491,493,534,497,454,472,410,371,372,326,341,343,368,385
"","","","","Age 57",416,381,415,454,410,453,463,445,505,499,529,515,491,488,490,531,495,451,470,407,369,369,324,339,341,366
"","","","","Age 58",421,411,377,410,449,405,448,458,440,500,494,524,510,486,484,485,526,490,447,465,403,365,365,320,335,337
"","","","","Age 59",407,419,409,375,409,448,404,446,457,439,498,492,522,508,485,482,484,524,488,445,464,402,364,365,320,334
"","","","","Age 60",434,404,416,406,372,405,444,401,443,453,435,495,489,519,505,481,479,481,521,486,443,461,400,363,363,319
"","","","","Age 61",431,430,400,412,402,369,402,441,398,439,450,432,491,485,515,501,478,476,478,518,483,440,458,398,361,361
"","","","","Age 62",482,422,420,391,403,393,361,393,431,389,430,441,424,482,476,505,492,469,467,469,509,474,433,450,391,354
"","","","","Age 63",464,481,421,420,391,403,393,361,393,431,389,430,440,423,481,475,505,492,469,467,469,508,474,433,451,391
"","","","","Age 64",538,455,472,413,412,383,395,386,354,386,424,382,423,433,417,474,468,497,484,462,460,462,501,467,426,444
"","","","Aged 65 and over","",5680,5895,6030,6182,6277,6370,6435,6510,6576,6608,6671,6768,6822,6914,7013,7093,7227,7351,7500,7633,7739,7840,7939,8075,8173,8229
"","","","Aged 65 and over","Age 65",388,530,449,465,408,406,378,390,381,350,382,418,378,418,428,412,468,463,492,479,457,455,458,496,463,422
"","","","","Age 66",410,381,521,441,458,401,400,373,384,376,345,376,412,373,412,422,406,462,457,485,473,451,450,452,490,457
"","","","","Age 67",393,402,373,511,433,449,394,393,366,377,369,339,370,406,367,406,416,400,455,450,478,466,445,443,446,483
"","","","","Age 68",381,384,393,365,500,424,440,386,385,359,370,362,332,363,398,360,399,408,393,447,442,470,458,438,436,438
"","","","","Age 69",352,369,372,381,355,486,412,428,375,375,349,360,353,324,354,388,351,389,399,384,437,432,460,448,428,427
"","","","","Age 70",333,341,358,362,370,345,473,401,417,366,365,340,351,344,316,345,379,343,380,390,375,427,423,450,438,419
