"Population and migration > Population > Projections > Local authority > 2008-based > Population projections by local authority and year"
""

Filters:
Gender: Persons

"","","",2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
"Isle of Anglesey","All Ages","",68799,69019,69238,69460,69682,69903,70124,70344,70562,70778,70988,71191,71386,71570,71741,71896,72034,72154,72256,72340,72411,72468,72511,72541,72558,72563
"","All Ages","Age 0",777,782,776,772,768,764,761,759,759,757,754,752,748,742,735,727,719,711,705,701,699,698,697,697,699,701
"","","Age 1",709,788,792,787,783,779,775,772,770,769,767,764,762,758,752,745,737,729,721,715,711,709,708,707,708,710
"","","Age 2",730,716,796,800,794,790,786,782,779,777,776,774,771,769,765,760,752,744,736,729,722,718,716,715,714,715
"","","Age 3",706,735,721,801,805,800,795,791,787,784,782,782,779,777,775,771,765,758,749,742,734,727,724,722,721,720
"","","Age 4",750,718,747,732,814,818,812,807,803,799,797,795,794,792,789,787,783,778,770,762,754,746,740,736,734,733
"","","Age 5",690,758,725,754,739,822,826,820,815,811,807,804,802,802,800,797,795,791,786,778,770,762,754,748,744,742
"","","Age 6",697,696,764,731,760,745,828,832,826,821,817,813,810,808,808,806,803,801,797,792,784,776,768,760,754,750
"","","Age 7",750,705,704,773,739,769,754,838,841,835,830,826,822,819,817,817,815,812,810,806,801,793,785,777,769,763
"","","Age 8",777,758,713,711,781,747,777,761,845,849,842,837,833,830,827,825,824,822,820,817,814,808,800,792,784,777
"","","Age 9",783,784,765,719,718,788,753,783,767,852,855,849,844,840,836,834,832,831,829,826,824,821,815,807,799,791
"","","Age 10",768,782,783,763,718,716,786,752,782,766,851,854,848,843,839,835,832,830,829,828,825,823,819,814,806,798
"","","Age 11",821,770,783,785,765,719,718,788,753,784,767,852,856,850,845,841,837,834,832,831,829,827,825,821,815,808
"","","Age 12",795,824,773,787,788,768,723,721,792,757,787,771,856,859,853,848,844,840,837,835,835,833,830,828,824,819
"","","Age 13",878,801,830,779,793,794,774,728,727,798,763,793,776,862,865,859,854,850,846,843,841,841,839,836,834,830
"","","Age 14",847,881,803,833,781,795,796,776,730,729,800,765,795,779,864,868,861,856,852,848,845,843,843,841,838,836
"","","Age 15",891,850,884,806,836,784,798,800,780,733,732,803,768,798,781,868,871,864,859,855,851,848,846,846,844,841
"","","Age 16",932,890,849,883,805,835,783,797,799,779,732,731,802,766,797,781,866,870,863,858,854,850,847,846,845,843
"","","Age 17",895,928,887,847,880,802,832,780,794,796,776,730,729,799,763,794,777,862,866,860,856,851,848,845,843,842
"","","Age 18",860,866,898,859,820,850,776,803,753,765,767,748,703,701,767,734,764,749,830,836,832,827,823,819,816,814
"","","Age 19",774,704,706,734,698,661,686,618,639,594,603,603,586,544,543,601,576,602,593,665,675,671,666,662,658,655
"","","Age 20",691,738,672,675,701,665,631,651,588,606,564,573,572,553,513,516,570,547,571,566,634,644,639,635,631,627
"","","Age 21",703,695,743,675,680,705,668,633,654,591,610,568,577,576,557,517,519,574,551,576,570,640,648,643,639,635
"","","Age 22",699,766,757,808,735,741,769,730,692,715,650,672,628,638,638,618,577,577,637,612,638,630,706,711,705,700
