CODE,AREA,COMPONENT,2004Est,2005Est,2006Est,2007Est,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
00EH,Darlington,Population,48.8,48.8,48.8,48.8,48.8,48.8,49.2,49.5,49.8,50.2,50.5,50.9,51.3,51.6,52,52.4,52.8,53.1,53.4,53.8,54.1,54.3,54.6,54.9,55.2,55.4,55.7,55.9,56.1,56.3
00EH,Darlington,Natural Change,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0
00EH,Darlington,Births,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
00EH,Darlington,Deaths,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6
00EH,Darlington,All Migration Net,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
00EH,Darlington,Internal Migration In,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,2,2,2,2,2,2,2
00EH,Darlington,Internal Migration Out,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
00EH,Darlington,International Migration In,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
00EH,Darlington,International Migration Out,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
00EH,Darlington,Cross Border Migration In,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00EH,Darlington,Cross Border Migration Out,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00DA,Leeds,Population,390.3,390.3,390.3,390.3,390.3,390.3,397.2,403.7,410,416.1,422,427.7,433.4,438.9,444.4,449.7,454.8,459.9,465,470.1,475.2,480.2,485.3,490.3,495.3,500.1,504.7,509.2,513.6,517.9
00DA,Leeds,Natural Change,2,2,2,2,2,2,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,2.9,3,3,3,3,3,3,2.9,2.9,2.8,2.8,2.7,2.7,2.7,2.6,2.6
00DA,Leeds,Births,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.8,5.9,5.9,5.9,6,6,6,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
