CODE,AREA,AGE GROUP,2004Est,2005Est,2006Est,2007Est,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
00EH,Darlington,0-4,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
00EH,Darlington,05-Sep,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,3,3.1,3.1,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1
00EH,Darlington,Oct-14,3,3,3,3,3,3,3,2.9,2.8,2.8,2.7,2.7,2.8,2.9,3.1,3.1,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
00EH,Darlington,15-19,3,3,3,3,3,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.7,2.6,2.6,2.5,2.6,2.6,2.7,2.8,2.9,2.9,3,2.9,2.9,2.9,2.9,2.9,2.9,2.9
00EH,Darlington,20-24,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.7,2.6,2.6,2.5,2.5,2.4,2.4,2.4,2.4,2.3,2.3,2.2,2.2,2.2,2.3,2.4,2.4,2.5,2.5,2.5,2.6,2.5
00EH,Darlington,25-29,2.9,2.9,2.9,2.9,2.9,2.9,3,3.1,3.3,3.4,3.5,3.5,3.5,3.4,3.4,3.3,3.2,3.2,3.1,3.1,3.1,3,3,2.9,2.9,2.9,2.9,3,3,3.1
00EH,Darlington,30-34,3,3,3,3,3,3,3,3,3.1,3.1,3.2,3.2,3.4,3.5,3.6,3.7,3.7,3.7,3.6,3.6,3.5,3.5,3.4,3.4,3.3,3.3,3.2,3.2,3.1,3.1
00EH,Darlington,35-39,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.3,3.1,3,3,3,3.1,3.2,3.2,3.2,3.3,3.4,3.5,3.6,3.7,3.7,3.7,3.7,3.7,3.6,3.5,3.5,3.4,3.4
00EH,Darlington,40-44,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.7,3.7,3.6,3.6,3.5,3.3,3.1,3,3,3,3.1,3.2,3.2,3.3,3.3,3.4,3.6,3.7,3.7,3.7,3.7,3.7,3.7
00EH,Darlington,45-49,3.8,3.8,3.8,3.8,3.8,3.9,4,4,4,3.9,3.8,3.8,3.8,3.7,3.6,3.6,3.5,3.3,3.1,3,3,3,3.1,3.2,3.2,3.3,3.4,3.5,3.6,3.7
00EH,Darlington,50-54,3.3,3.3,3.3,3.3,3.3,3.4,3.5,3.6,3.7,3.8,3.9,3.9,4,3.9,3.9,3.8,3.8,3.7,3.7,3.6,3.5,3.4,3.3,3.1,3,3,3,3.1,3.1,3.2
