Year,BirthMProj,BirthFProj,BirthMExp,BirthFExp,DeathMProj,DeathFProj,DeathMExp,DeathFExp,MigMProj,MigFProj,MigMExp,MigFExp
0,474.49,450.57,414.863,395.106,294.113504644,314.163301188,268.349,279.514,1.57117290605,1.70813251024,86.856,77.644
1,476.33,452.985,416.359,396.533,281.346164074,300.609040681,268.902,278.741,1.69687177116,1.57783658682,98.434,85.066
2,477.94,454.135,417.555,397.673,271.348120602,287.758095314,269.774,278.233,1.70056100699,1.67483002044,90.788,80.212
3,478.745,456.665,418.247,398.33,263.442923744,276.806223136,270.968,278.025,1.60182391683,1.61257682286,92.612,81.388
4,480.24,456.435,418.412,398.487,256.599239117,269.138471727,272.468,278.122,1.72615231563,1.66931347509,87.108,77.892
5,479.78,456.665,418.071,398.163,253.563440348,263.9571873,274.306,278.559,1.64794264004,1.62022751595,87.108,77.892
6,479.205,456.55,417.409,397.533,251.133066092,259.462409939,276.458,279.318,1.62924833103,1.5398436169,87.108,77.892
7,478.285,457.24,416.613,396.775,249.18738543,255.709975251,278.943,280.448,1.65748111182,1.63842440267,87.108,77.892
8,477.48,453.79,415.677,395.884,247.773817046,252.051848715,281.731,281.95,1.67054842403,1.56144937399,87.108,77.892
9,476.215,453.33,414.582,394.841,247.243586004,251.252262518,284.812,283.828,1.64046408482,1.61102365595,87.108,77.892
10,474.95,451.835,413.411,393.723,248.007770911,249.976449066,288.18,286.077,1.73894597684,1.53985503296,87.108,77.892
11,473.455,450.8,412.24,392.608,248.180275684,250.909727127,291.923,288.755,1.71977746871,1.57455148641,87.108,77.892
12,472.19,449.535,411.089,391.515,248.633468554,250.969737827,295.885,291.765,1.61454265868,1.54541110675,87.108,77.892
13,470.35,448.845,410.031,390.505,249.579656665,252.207571938,299.963,295.047,1.6547523708,1.5581177204,87.108,77.892
14,469.2,448.04,409.126,389.644,251.637633763,252.999143123,304.219,298.639,1.69709109585,1.56463042083,87.108,77.892
15,468.05,447.58,408.489,389.035,253.73024929,253.56762379,308.619,302.517,1.68736877215,1.54390513531,87.108,77.892
16,467.245,447.465,408.148,388.711,255.60900556,255.272557848,313.16,306.647,1.72059188205,1.57803590902,87.108,77.892
17,466.9,446.775,408.136,388.7,258.732903407,258.208951644,317.743,310.986,1.70251194909,1.56557109622,87.108,77.892
18,467.705,445.97,408.558,389.101,261.112339631,258.330345694,322.387,315.502,1.6818810872,1.49733247095,87.108,77.892
19,468.165,446.66,409.492,389.994,262.949952379,260.327823361,327.01,320.126,1.62232215724,1.48962616038,87.108,77.892
20,468.625,448.73,410.949,391.38,267.293482365,264.326490173,331.581,324.833,1.71990398935,1.50418820889,87.108,77.892
21,470.35,449.65,412.898,393.237,271.108308332,268.137796552,336.058,329.579,1.72622933611,1.51802995188,87.108,77.892
22,472.535,451.605,415.295,395.519,275.007911887,271.574366528,340.367,334.309,1.65040704613,1.51872809848,87.108,77.892
23,475.41,454.023404,422.506,402.386,280.047716698,277.582900786,350.086,345.493,1.74591886075,1.55590184989,87.108,77.892
24,460.954116343,441.082259999,422.506,402.386,245.479118299,241.870268663,350.086,345.493,1.70775588119,1.49513152899,87.108,77.892
25,468.238192768,448.160531556,422.506,402.386,250.638223066,247.280086862,350.086,345.493,1.71029464782,1.48885024255,87.108,77.892
26,476.161867897,455.848684008,422.506,402.386,255.482188387,252.349312073,350.086,345.493,1.71283341445,1.4825689561,87.108,77.892
27,484.489341861,463.921702534,434.245,413.567,260.016181817,257.079599857,364.424,362.454,1.71537218108,1.47628766966,87.108,77.892
28,493.140261769,472.302991757,434.245,413.567,250.166522241,247.784377279,364.424,362.454,1.71791094771,1.47000638322,87.108,77.892
29,501.932466737,480.819569144,434.245,413.567,254.667412091,252.421525156,364.424,362.454,1.72044971434,1.46372509677,87.108,77.892
30,510.756891175,489.368252467,434.245,413.567,259.020383612,256.874322477,364.424,362.454,1.72298848097,1.45744381033,87.108,77.892
31,519.599271036,497.936234801,434.245,413.567,263.135892692,261.063464924,364.424,362.454,1.7255272476,1.45116252388,87.108,77.892
32,528.203752369,506.279432105,440.23,419.267,267.031108675,265.010646545,376.491,376.956,1.72806601423,1.44488123744,87.108,77.892
33,536.314957654,514.155153616,440.23,419.267,256.481639846,254.933000687,376.491,376.956,1.73060478086,1.43859995099,87.108,77.892
34,543.861015626,521.4949654,440.23,419.267,260.507618555,258.978450213,376.491,376.956,1.73314354749,1.43231866455,87.108,77.892
35,550.840662099,528.299307318,440.23,419.267,264.582317303,263.096952334,376.491,376.956,1.73568231412,1.4260373781,87.108,77.892
36,557.182322737,534.508844616,440.23,419.267,268.470774635,267.028658555,376.491,376.956,1.73822108076,1.41975609166,87.108,77.892
37,562.693482654,539.933041204,440.514,419.537,272.175522248,270.782337842,385.563,388.541,1.74075984739,1.41347480521,87.108,77.892
38,567.315103061,544.514933938,440.514,419.537,261.805808168,261.536228124,385.563,388.541,1.74329861402,1.40719351877,87.108,77.892
39,571.208640729,548.409473032,440.514,419.537,265.613214793,265.358347139,385.563,388.541,1.74583738065,1.40091223232,87.108,77.892
40,574.482316898,551.720109014,440.514,419.537,269.321084261,269.118015762,385.563,388.541,1.74837614728,1.39463094588,87.108,77.892
41,577.235089871,554.541161631,440.514,419.537,272.791737673,272.65107331,385.563,388.541,1.75091491391,1.38834965943,87.108,77.892
42,579.485046308,556.891605993,439.977,419.026,276.01637538,275.948280584,391.136,396.571,1.75345368054,1.38206837299,87.108,77.892
43,581.320110463,558.853004752,439.977,419.735,264.003184297,263.909734273,391.136,399.079,1.75599244717,1.37578708654,87.108,77.892
44,583.006886766,560.680268263,439.977,419.735,267.265057625,267.239958595,391.136,399.079,1.7585312138,1.3695058001,87.108,77.892
45,584.662439371,562.484652479,439.977,419.735,270.172528104,270.198911845,391.136,399.079,1.76106998043,1.36322451365,87.108,77.892
46,586.509655528,564.476180306,439.977,419.735,272.781773834,272.848138843,391.136,399.079,1.76360874706,1.35694322721,87.108,77.892
47,588.696406653,566.795276291,440.722,419.735,275.092197629,275.180353047,392.603,399.079,1.76614751369,1.35066194076,87.108,77.892
48,591.194143008,569.412893434,442.719,421.638,274.152848228,274.193922066,392.665,399.092,1.76868628032,1.34438065432,87.108,77.892
49,594.147421957,572.466563099,442.719,421.638,265.084864879,265.255343974,392.665,399.092,1.77122504695,1.33809936788,87.108,77.892
50,597.662599272,576.058554978,442.719,421.638,266.945449484,267.000474447,392.665,399.092,1.77376381358,1.33181808143,87.108,77.892
51,601.78656915,580.234412386,442.719,421.638,268.541811465,268.449120104,392.665,399.092,1.77630258021,1.32553679499,87.108,77.892
52,606.553291716,585.027910958,448.558,427.197,269.884971876,269.609589109,392.368,396.648,1.77884134684,1.31925550854,87.108,77.892
53,611.985381171,590.463099439,448.558,427.197,258.544540796,259.129204576,392.368,396.648,1.78138011348,1.3129742221,87.108,77.892
54,618.141635635,596.598337834,448.558,427.197,259.918171018,260.218280523,392.368,396.648,1.78391888011,1.30669293565,87.108,77.892
55,624.993983408,603.414377108,448.558,427.197,261.215173171,261.218353216,392.368,396.648,1.78645764674,1.30041164921,87.108,77.892
56,632.580125493,610.945283093,448.558,427.197,262.361402125,262.046142292,392.368,396.648,1.78899641337,1.29413036276,87.108,77.892
57,640.981489498,619.268080004,456.387,434.655,263.379814357,262.731202905,394.055,393.627,1.79153518,1.28784907632,87.108,77.892
58,650.141500741,628.329890655,456.387,434.655,252.356032132,252.805890031,394.055,393.627,1.79407394663,1.28156778987,87.108,77.892
59,660.004189047,638.07930982,456.387,434.655,253.552171141,253.604184038,394.055,393.627,1.79661271326,1.27528650343,87.108,77.892
60,670.508377275,648.458549682,456.387,434.655,254.645521295,254.28654646,394.055,393.627,1.79915147989,1.26900521698,87.108,77.892
61,681.6216371,659.434912857,456.387,434.655,255.620048596,254.846325287,394.055,393.627,1.80169024652,1.26272393054,87.108,77.892
62,693.217807901,670.882753456,462.356,440.339,256.47476897,255.282059295,399.245,393.282,1.80422901315,1.25644264409,87.108,77.892
63,705.180209267,682.690760357,462.356,440.339,243.487258036,242.301290577,399.245,393.282,1.80676777978,1.25016135765,87.108,77.892
64,717.324615514,694.689002139,462.356,440.339,244.521415036,242.89735952,399.245,393.282,1.80930654641,1.2438800712,87.108,77.892
