OA, NHH, Npers, detached, semi, terraced, flat, zero_to_nine, Age_10_to_19, Age_20_to_29, Age_30_to_39, Age_40_to_49, Age_50_to_59, Age_60_to_69, Age_70_to_79, Age_80plus, car_none, car_one, car_two_plus, Economically_Active, Economically_Inactive, White, Asian, Black, Other, Good, Fair, Not_good, house_size_1, house_size_2, house_size_3, house_size_4, house_size_5, house_size_6, house_size_7, house_size_8_plus, house_represent_1, house_represent_0, with_LLTI, without_LLTI, SWD, Married, Prof_manag, Intermediate, Non_manual, unemployed, student, no_qualifications, Level_1_2, Level_3_plus, room_1_4, room_5_6, room_7_plus, Males, Females, Owned, Council, Private_rented
00MC,109246, 227833, 0.5,0.5,0.5,0.5,32325.8085024,26734.6142479,26470.9289446,27559.1793642,19987.8773521,19614.7819139,27736.7882592,23131.1366922,24271.5327623,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,115593.503797,112239.144242,0.5,0.5,0.5,
29UL,59499, 121859, 0.5,0.5,0.5,0.5,14600.8455154,13422.0544149,13546.5262346,13439.592269,11700.6521602,12113.0121932,11443.1723768,10944.1540274,20649.382653,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,61417.1230139,60442.2688306,0.5,0.5,0.5,
00MA,75742, 153742, 0.5,0.5,0.5,0.5,20186.5522033,18046.5511722,17667.3331789,17905.6444982,14835.659151,13626.5480304,14510.2504934,15548.3603216,21414.7112367,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,77703.4176739,76038.192612,0.5,0.5,0.5,
00MG,165439, 366593, 0.5,0.5,0.5,0.5,51563.4845727,45169.2051345,42418.486881,43315.9176041,36643.0453615,29170.8725134,33827.1432859,36854.3875919,47630.3231882,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,183247.416824,183345.449309,0.5,0.5,0.5,
00MF,100641, 189814, 0.5,0.5,0.5,0.5,21451.5130629,21167.2570974,21195.439748,21526.9784927,20221.7247064,18204.0587468,15661.6628662,19770.9493049,30614.0611279,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,93709.4478377,96104.1973155,0.5,0.5,0.5,
00ME,87927, 183599, 0.5,0.5,0.5,0.5,23940.4884304,21309.6905952,20622.7737495,20310.5586885,18247.8112464,16106.7404404,16065.6482049,18846.2053257,28149.1151287,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,90851.0986835,92747.933126,0.5,0.5,0.5,
00MD,93179, 234225, 0.5,0.5,0.5,0.5,38476.8211288,31412.3757942,28662.6279185,29438.8459289,22680.2583572,17313.5402332,22357.0652965,22482.4631046,21401.2735719,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,118492.394402,115732.876931,0.5,0.5,0.5,
29UD,68610, 147236, 0.5,0.5,0.5,0.5,22590.5673874,18581.714108,18356.9448543,17226.7206454,12984.7173571,11541.2658707,13614.8651528,13227.0726063,19111.9891073,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,72412.9668662,74822.8902231,0.5,0.5,0.5,
29UE,62868, 122270, 0.5,0.5,0.5,0.5,13073.6319185,12838.8740059,12975.0074448,13474.268493,12168.258009,12701.6858449,11383.427526,11073.9492352,22580.8538601,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,62358.9176762,59911.0386612,0.5,0.5,0.5,
29UG,61933, 135824, 0.5,0.5,0.5,0.5,17989.9790025,16197.5129361,16072.7200436,15639.5958325,13196.9140382,12726.9433932,12885.2087284,12032.3738775,19082.6824772,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,67084.59032,68739.3400091,0.5,0.5,0.5,
