Year,BirthMProj,BirthFProj,BirthMExp,BirthFExp,DeathMProj,DeathFProj,DeathMExp,DeathFExp,MigMProj,MigFProj,MigMExp,MigFExp
0,350.71,333.03,414.863,395.106,396.753446391,423.877410107,268.349,279.514,312.663408304,339.918369538,86.856,77.644
1,352.07,334.815,416.359,396.533,412.831880587,440.247456328,268.902,278.741,337.677482461,313.989480777,98.434,85.066
2,353.26,335.665,417.555,397.673,429.791181988,451.073487011,269.774,278.233,338.411640391,333.291174067,90.788,80.212
3,353.855,337.535,418.247,398.33,440.458267278,458.545014002,270.968,278.025,318.76295945,320.902787749,92.612,81.388
4,354.96,337.365,418.412,398.487,452.027848102,465.678811301,272.468,278.122,343.50431081,332.193381543,87.108,77.892
5,354.62,337.535,418.071,398.163,459.558383397,471.024479414,274.306,278.559,327.940585368,322.425275675,87.108,77.892
6,354.195,337.45,417.409,397.533,469.764476484,475.353661681,276.458,279.318,324.220417874,306.428879762,87.108,77.892
7,353.515,337.96,416.613,396.775,475.579195351,479.220824579,278.943,280.448,329.838741252,326.046456132,87.108,77.892
8,352.92,335.41,415.677,395.884,479.815987419,479.33720226,281.731,281.95,332.439136382,310.728425424,87.108,77.892
9,351.985,335.07,414.582,394.841,494.677739408,488.142631074,284.812,283.828,326.452352879,320.593707534,87.108,77.892
10,351.05,333.965,413.411,393.723,503.091258815,494.000637689,288.18,286.077,346.050249391,306.43115156,87.108,77.892
11,349.945,333.2,412.24,392.608,508.941347047,495.590311062,291.923,288.755,342.235716273,313.335745795,87.108,77.892
12,349.01,332.265,411.089,391.515,513.577527045,499.343536801,295.885,291.765,321.293989078,307.536810244,87.108,77.892
13,347.65,331.755,410.031,390.505,511.082013458,500.313830065,299.963,295.047,329.295721789,310.065426359,87.108,77.892
14,346.8,331.16,409.126,389.644,526.909763194,512.59938983,304.219,298.639,337.721128075,311.361453745,87.108,77.892
15,345.95,330.82,408.489,389.035,537.557798337,521.843769735,308.619,302.517,335.786385657,307.237121926,87.108,77.892
16,345.355,330.735,408.148,388.711,544.5056173,528.79525858,313.16,306.647,342.397784527,314.029145896,87.108,77.892
17,345.1,330.225,408.136,388.7,549.365893857,534.206224486,317.743,310.986,338.79987787,311.548648149,87.108,77.892
18,345.695,329.63,408.558,389.101,547.054672435,531.482290505,322.387,315.502,334.694336352,297.96916172,87.108,77.892
19,346.035,330.14,409.492,389.994,562.945687871,545.887492481,327.01,320.126,322.84210929,296.435605915,87.108,77.892
20,346.375,331.67,410.949,391.38,571.961628789,555.583606672,331.581,324.833,342.260893881,299.333453569,87.108,77.892
21,347.65,332.35,412.898,393.237,578.426343071,561.032737012,336.058,329.579,343.519637886,302.087960424,87.108,77.892
22,349.265,333.795,415.295,395.519,578.242310868,562.436438843,340.367,334.309,328.431002179,302.226891598,87.108,77.892
23,351.39,335.582516,422.506,402.386,582.840175842,568.242263578,350.086,345.493,347.437853289,309.624468128,87.108,77.892
24,364.473317499,348.658501544,422.506,402.386,648.651925916,630.872268945,350.086,345.493,339.843420356,297.53117427,87.108,77.892
25,364.179109308,348.477909152,422.506,402.386,657.792623086,639.667481612,350.086,345.493,340.348634916,296.281198267,87.108,77.892
26,363.810031568,348.227783604,422.506,402.386,666.612350115,647.364120808,350.086,345.493,340.853849475,295.031222265,87.108,77.892
27,363.25907801,347.805007686,434.245,413.567,675.960225985,655.371118995,364.424,362.454,341.359064035,293.781246262,87.108,77.892
28,362.415628115,347.102869397,434.245,413.567,646.899262702,626.519108972,364.424,362.454,341.864278594,292.53127026,87.108,77.892
29,361.305419299,346.144639879,434.245,413.567,661.026338629,639.127182625,364.424,362.454,342.369493154,291.281294257,87.108,77.892
30,359.812260316,344.81741026,434.245,413.567,674.017950598,650.897901456,364.424,362.454,342.874707713,290.031318255,87.108,77.892
31,357.761560724,342.952438239,434.245,413.567,686.530935467,662.46752432,364.424,362.454,343.379922273,288.781342252,87.108,77.892
32,355.449113095,340.832511993,440.23,419.267,698.494328244,674.109273484,376.491,376.956,343.885136832,287.53136625,87.108,77.892
33,352.913394204,338.493335448,440.23,419.267,668.752584813,645.768781605,376.491,376.956,344.390351392,286.281390247,87.108,77.892
34,350.287907151,336.061832463,440.23,419.267,685.211467236,662.307878179,376.491,376.956,344.895565951,285.031414245,87.108,77.892
35,347.548440286,333.513337806,440.23,419.267,699.437625591,676.806026294,376.491,376.956,345.400780511,283.781438242,87.108,77.892
36,344.811740972,330.959429663,440.23,419.267,711.923096327,689.437574299,376.491,376.956,345.90599507,282.53146224,87.108,77.892
37,342.260333204,328.573932759,440.514,419.537,723.264498247,701.079065402,385.563,388.541,346.41120963,281.281486237,87.108,77.892
38,339.923501658,326.385484794,440.514,419.537,691.985922944,671.274686172,385.563,388.541,346.916424189,280.031510235,87.108,77.892
39,337.881489727,324.471735909,440.514,419.537,707.269422623,685.854329052,385.563,388.541,347.421638749,278.781534232,87.108,77.892
40,336.000455795,322.70329215,440.514,419.537,720.540154921,698.333344536,385.563,388.541,347.926853308,277.53155823,87.108,77.892
41,334.347598007,321.146578518,440.514,419.537,732.390382467,709.222210501,385.563,388.541,348.432067868,276.281582227,87.108,77.892
42,332.912044071,319.790944177,439.977,419.026,743.388867418,719.155916931,391.136,396.571,348.937282427,275.031606225,87.108,77.892
43,331.690114867,318.639220504,439.977,419.735,711.800179138,688.105385868,391.136,399.079,349.442496987,273.781630222,87.108,77.892
44,330.639852852,317.647637606,439.977,419.735,726.933161033,700.463110116,391.136,399.079,349.947711546,272.53165422,87.108,77.892
45,329.712742617,316.772117511,439.977,419.735,741.210121209,711.720274408,391.136,399.079,350.452926106,271.281678217,87.108,77.892
46,328.883449817,315.990394079,439.977,419.735,754.664824141,722.681710619,391.136,399.079,350.958140665,270.031702215,87.108,77.892
47,328.132378713,315.284953773,440.722,419.735,767.660298066,732.998273058,392.603,399.079,351.463355225,268.781726212,87.108,77.892
48,327.515012573,314.710571831,442.719,421.638,771.380390533,734.117061476,392.665,399.092,351.968569784,267.53175021,87.108,77.892
49,326.952172949,314.192294215,442.719,421.638,749.949038504,711.196613645,392.665,399.092,352.473784344,266.281774207,87.108,77.892
50,326.481181342,313.766377019,442.719,421.638,767.073243152,724.64767942,392.665,399.092,352.978998903,265.031798205,87.108,77.892
51,326.039094873,313.371569834,442.719,421.638,783.404171458,738.063340718,392.665,399.092,353.484213463,263.781822202,87.108,77.892
52,325.643761352,313.024454828,448.558,427.197,798.69683283,750.650557911,392.368,396.648,353.989428022,262.5318462,87.108,77.892
53,325.262887501,312.692266537,448.558,427.197,765.03116606,716.526632105,392.368,396.648,354.494642582,261.281870197,87.108,77.892
54,324.9193612,312.39696054,448.558,427.197,786.530934394,735.598115595,392.368,396.648,354.999857141,260.031894195,87.108,77.892
55,324.608756258,312.130823644,448.558,427.197,804.895576804,752.470643123,392.368,396.648,355.505071701,258.781918192,87.108,77.892
56,324.254911294,311.818704422,448.558,427.197,820.848617536,766.478271448,392.368,396.648,356.01028626,257.53194219,87.108,77.892
57,323.860229881,311.464195129,456.387,434.655,835.334431619,778.988232973,394.055,393.627,356.51550082,256.281966187,87.108,77.892
