OA, NHH, Npers, detached, semi, terraced, flat, zero_to_nine, Age_10_to_19, Age_20_to_29, Age_30_to_39, Age_40_to_49, Age_50_to_59, Age_60_to_69, Age_70_to_79, Age_80plus, car_none, car_one, car_two_plus, Economically_Active, Economically_Inactive, White, Asian, Black, Other, Good, Fair, Not_good, house_size_1, house_size_2, house_size_3, house_size_4, house_size_5, house_size_6, house_size_7, house_size_8_plus, house_represent_1, house_represent_0, with_LLTI, without_LLTI, SWD, Married, Prof_manag, Intermediate, Non_manual, unemployed, student, no_qualifications, Level_1_2, Level_3_plus, room_1_4, room_5_6, room_7_plus, Males, Females, Owned, Council, Private_rented
00MC,71973, 151275, 0.5,0.5,0.5,0.5,14461.4966422,16744.6643396,33965.138809,26930.1934854,24150.289889,18169.6311051,5404.35347556,3794.8325569,7654.42673375,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,79072.1214094,72202.9056271,0.5,0.5,0.5,
29UL,70920, 137951, 0.5,0.5,0.5,0.5,10877.7140763,11771.7661903,10937.5153371,14042.0895877,16809.5780908,17676.0275042,23463.2055843,18661.9511451,13711.4823809,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,68917.7140019,69033.6158948,0.5,0.5,0.5,
00MA,69251, 135329, 0.5,0.5,0.5,0.5,12890.6732079,15633.9346717,12077.3009153,19034.6281709,22225.7777977,20005.5366381,16675.1687805,9406.33490157,7379.36890967,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,68613.0181346,66715.7058587,0.5,0.5,0.5,
00MG,160999, 322802, 0.5,0.5,0.5,0.5,35470.1931387,38104.597169,18529.1767086,45647.4156527,53256.1504999,43935.8642947,42092.580329,25839.1611456,19927.0921747,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,159185.877042,163616.354071,0.5,0.5,0.5,
00MF,102660, 189391, 0.5,0.5,0.5,0.5,19963.6340942,24771.6185047,7844.56238526,21031.5903515,30464.8070281,26217.4431849,25866.6841537,17786.1898963,15444.1699488,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,98330.7147283,91059.9848193,0.5,0.5,0.5,
00ME,93744, 178471, 0.5,0.5,0.5,0.5,16721.6269686,21565.5052196,8561.62490515,22831.3721465,28484.3049455,24880.609305,24426.8449442,15861.9291053,15137.3698133,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,89485.3677536,88985.8195996,0.5,0.5,0.5,
00MD,66448, 153887, 0.5,0.5,0.5,0.5,18132.1956389,18189.2131537,14778.6450648,27313.9531644,28157.3319888,22064.5912692,15491.5888342,5090.58633667,4669.17554946,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,81824.9046712,72062.3763289,0.5,0.5,0.5,
29UD,70026, 132254, 0.5,0.5,0.5,0.5,11824.6504461,13031.9613041,11136.0390827,20591.2387376,22713.2928814,19662.641718,16826.8038882,8593.31294167,7874.01538989,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,67115.8736818,65138.082708,0.5,0.5,0.5,
29UE,67528, 132439, 0.5,0.5,0.5,0.5,12119.6828246,13274.1327166,10943.0795608,12677.7135342,14661.377233,15409.2819362,21206.6912633,18155.483475,13991.7986575,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,63576.5011434,68862.7400576,0.5,0.5,0.5,
29UG,58402, 135018, 0.5,0.5,0.5,0.5,14303.6272783,16079.4754038,12541.6849568,17464.264434,19637.4873738,18275.5748989,17261.5037398,10956.1928157,8498.389546,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,67021.1475349,67997.0529122,0.5,0.5,0.5,
